timestamp,tds_v,tempC,ph_v
19,0.03710,25.000,6.03871
20,0.03226,25.000,6.04355
20,0.02903,25.000,6.04194
21,0.03065,25.000,6.03871
21,0.03387,25.000,6.03871
22,0.04194,25.000,6.03871
23,0.04032,25.000,6.04032
23,0.02903,25.000,6.03871
24,0.02742,25.000,6.03065
24,0.01452,25.000,6.04516
25,0.03226,25.000,6.04516
25,0.03065,25.000,6.04194
26,0.03710,25.000,6.04194
27,0.02258,25.000,6.03871
27,0.02903,25.000,6.04194
28,0.01935,25.000,6.04032
28,0.03871,25.000,6.03871
29,0.02581,25.000,6.04032
30,0.02742,25.000,6.04355
30,0.02258,25.000,6.04355
31,0.03226,25.000,6.04355
31,0.03871,25.000,6.04032
32,0.03548,25.000,6.04032
33,0.03387,25.000,6.03387
33,0.02742,25.000,6.04839
34,0.03387,25.000,6.03871
34,0.02581,25.000,6.03548
35,0.02581,25.000,6.04032
36,0.03548,25.000,6.04355
36,0.03548,25.000,6.04677
37,0.04516,25.000,6.04516
37,0.01774,25.000,6.04677
38,0.03226,25.000,6.04032
39,0.02419,25.000,6.03871
39,0.03387,25.000,6.04032
40,0.02581,25.000,6.03548
40,0.02581,25.000,6.03710
41,0.02581,25.000,6.04516
42,0.02258,25.000,6.03387
42,0.03387,25.000,6.04516
43,0.02903,25.000,6.03871
43,0.03065,25.000,6.04194
44,0.03226,25.000,6.04355
45,0.03065,25.000,6.03710
45,0.02258,25.000,6.03387
46,0.02097,25.000,6.04516
46,0.03226,25.000,6.03871
47,0.03065,25.000,6.03710
47,0.01935,25.000,6.04194
48,0.02742,25.000,6.04032
49,0.03226,25.000,6.04032
49,0.02419,25.000,6.03387
50,0.02419,25.000,6.03387
50,0.02419,25.000,6.03710
51,0.02419,25.000,6.03871
52,0.03226,25.000,6.03710
52,0.03387,25.000,6.03226
53,0.02419,25.000,6.04032
53,0.02581,25.000,6.04194
53,0.02581,25.000,6.03871
54,0.02742,25.000,6.04194
54,0.02742,25.000,6.04032
55,0.04355,25.000,6.04194
55,0.03548,25.000,6.03871
56,0.02581,25.000,6.04516
57,0.03710,25.000,6.04194
57,0.02903,25.000,6.04355
58,0.03871,25.000,6.03548
58,0.02903,25.000,6.04355
59,0.03065,25.000,6.04355
59,0.02903,25.000,6.04032
60,0.03710,25.000,6.04355
61,0.03065,25.000,6.03710
61,0.03226,25.000,6.04032
62,0.03387,25.000,6.04194
62,0.03871,25.000,6.03871
63,0.03065,25.000,6.03871
64,0.02581,25.000,6.04516
64,0.03871,25.000,6.05323
65,0.03065,25.000,6.04355
65,0.03548,25.000,6.04677
66,0.03387,25.000,6.04194
67,0.03387,25.000,6.04355
67,0.06129,25.000,6.03871
68,0.02581,25.000,6.03548
68,0.03226,25.000,6.04194
69,0.02581,25.000,6.03871
69,0.03226,25.000,6.03871
70,0.02742,25.000,6.04355
71,0.02419,25.000,6.04194
71,0.03871,25.000,6.04677
72,0.02581,25.000,6.03548
72,0.02419,25.000,6.04032
73,0.03387,25.000,6.03548
74,0.02097,25.000,6.03871
74,0.03548,25.000,6.04355
75,0.02742,25.000,6.04194
75,0.02581,25.000,6.04355
76,0.03387,25.000,6.04032
77,0.02903,25.000,6.04516
77,0.01774,25.000,6.04194
78,0.02419,25.000,6.04355
78,0.03226,25.000,6.03871
79,0.02903,25.000,6.03710
80,0.02581,25.000,6.04032
80,0.01935,25.000,6.03871
81,0.03226,25.000,6.04516
81,0.03548,25.000,6.04677
82,0.02903,25.000,6.04355
83,0.02742,25.000,6.04355
83,0.02419,25.000,6.04516
84,0.02581,25.000,6.04355
84,0.03387,25.000,6.03387
85,0.02581,25.000,6.03548
86,0.03226,25.000,6.03710
86,0.02903,25.000,6.04839
87,0.03548,25.000,6.04032
87,0.02903,25.000,6.04032
88,0.02581,25.000,6.04677
88,0.02742,25.000,6.04355
89,0.03226,25.000,6.04677
90,0.03387,25.000,6.04516
90,0.02903,25.000,6.04194
91,0.03548,25.000,6.04194
91,0.02903,25.000,6.03548
92,0.02903,25.000,6.04839
93,0.03226,25.000,6.02903
93,0.02742,25.000,6.04194
94,0.03387,25.000,6.04677
