timestamp,tds_v,tempC,ph_v
19,0.00968,17.500,6.03387
19,0.02258,17.500,6.03065
20,0.02742,17.500,6.03387
21,0.03065,17.500,6.03226
21,0.03871,17.500,6.03710
22,0.03226,17.500,6.03710
22,0.02258,17.500,6.02742
23,0.02903,17.500,6.03871
24,0.03065,17.500,6.02742
24,0.01613,17.500,6.03387
25,0.02258,17.500,6.03226
25,0.03065,17.500,6.03226
26,0.02581,17.500,6.03710
26,0.03548,17.500,6.03548
27,0.02903,17.500,6.03710
28,0.03387,17.500,6.02742
28,0.02581,17.500,6.03065
29,0.02903,17.500,6.03710
29,0.03548,17.500,6.03871
30,0.02581,17.500,6.04355
31,0.02742,17.500,6.03226
31,0.03065,17.500,6.03387
32,0.02903,17.500,6.03871
32,0.02419,17.500,6.03387
33,0.03065,17.500,6.04194
34,0.01613,17.500,6.03387
34,0.02903,17.500,6.03548
35,0.02419,17.500,6.04032
35,0.02419,17.500,6.03065
36,0.02258,17.500,6.04355
37,0.02742,17.500,6.03065
37,0.02742,17.500,6.03226
38,0.03387,17.500,6.03871
38,0.02258,17.500,6.03387
39,0.02419,17.500,6.04032
40,0.02742,17.500,6.03548
40,0.02742,17.500,6.03710
41,0.03548,17.500,6.04194
41,0.02903,17.500,6.03548
42,0.01935,17.500,6.04194
43,0.02581,17.500,6.04032
43,0.02581,17.500,6.03387
44,0.03065,17.500,6.03548
44,0.03387,17.500,6.03065
45,0.02258,17.500,6.03387
46,0.02258,17.500,6.03871
46,0.03387,17.500,6.03387
47,0.03226,17.500,6.03226
47,0.02581,17.500,6.03548
48,0.02097,17.500,6.03871
49,0.02742,17.500,6.03387
49,0.02742,17.500,6.03548
50,0.03065,17.500,6.03387
50,0.03226,17.500,6.03226
51,0.02903,17.500,6.04032
51,0.03548,17.500,6.04032
52,0.02903,17.500,6.03548
53,0.03065,17.500,6.03387
53,0.03065,17.500,6.03871
54,0.03548,17.500,6.03548
54,0.03387,17.500,6.04839
55,0.02742,17.500,6.04032
56,0.03548,17.500,6.03387
56,0.03226,17.500,6.03548
57,0.03065,17.500,6.03548
57,0.03387,17.500,6.04032
58,0.01129,17.500,6.03871
59,0.02903,17.500,6.04677
59,0.02742,17.500,6.04032
59,0.03065,17.500,6.03226
59,0.02258,17.500,6.03387
60,0.05645,17.500,6.03548
61,0.02742,17.500,6.03871
61,0.03065,17.500,6.04032
62,0.02903,17.500,6.03226
62,0.03226,17.500,6.04355
63,0.04355,17.500,6.04032
64,0.02903,17.500,6.04194
64,0.02581,17.500,6.03065
65,0.05000,17.500,6.03387
65,0.02903,17.500,6.04677
66,0.02742,17.500,6.03226
66,0.02581,17.500,6.03710
67,0.03226,17.500,6.03548
68,0.02581,17.500,6.03710
68,0.03387,17.500,6.03065
69,0.02742,17.500,6.03548
69,0.02581,17.500,6.03871
70,0.02419,17.500,6.03548
71,0.04194,17.500,6.03548
71,0.03226,17.500,6.02581
72,0.04194,17.500,6.03710
72,0.02258,17.500,6.03710
73,0.02742,17.500,6.03065
74,0.02903,17.500,6.03226
74,0.03226,17.500,6.03710
75,0.02258,17.500,6.03065
75,0.02581,17.500,6.04032
76,0.02903,17.500,6.03387
77,0.01774,17.500,6.03548
77,0.01129,17.500,6.04355
78,0.02742,17.500,6.03226
78,0.02903,17.500,6.03548
79,0.02903,17.500,6.03387
80,0.03065,17.500,6.03710
80,0.03387,17.500,6.03710
81,0.03065,17.500,6.03871
81,0.02742,17.500,6.03548
82,0.02742,17.500,6.04032
83,0.02581,17.500,6.03710
83,0.02742,17.500,6.03871
84,0.02419,17.500,6.03548
84,0.02581,17.500,6.04194
85,0.02742,17.500,6.04032
86,0.02097,17.500,6.04194
86,0.03226,17.500,6.04194
87,0.01774,17.500,6.03871
87,0.05323,17.500,6.03710
88,0.03226,17.500,6.04194
89,0.02903,17.500,6.03548
89,0.03065,17.500,6.03548
90,0.02258,17.500,6.03065
90,0.02419,17.500,6.03871
91,0.02742,17.500,6.03548
92,0.04194,17.500,6.03871
92,0.02258,17.500,6.04355
93,0.02903,17.500,6.03065
93,0.02742,17.500,6.03710
94,0.03387,17.500,6.03710
