timestamp,tds_v,tempC,ph_v
20,0.02581,17.500,6.04032
21,0.03065,17.500,6.03710
21,0.02581,17.500,6.03548
22,0.02419,17.500,6.03548
22,0.01613,17.500,6.04032
23,0.01774,17.500,6.03065
24,0.03226,17.500,6.04355
24,0.03226,17.500,6.03548
25,0.02742,17.500,6.04032
25,0.03226,17.500,6.04194
26,0.02581,17.500,6.03710
27,0.03065,17.500,6.04032
27,0.02581,17.500,6.04032
28,0.03065,17.500,6.04032
28,0.02903,17.500,6.03871
29,0.02581,17.500,6.04194
30,0.01935,17.500,6.04032
30,0.02097,17.500,6.04516
31,0.02903,17.500,6.03871
31,0.02903,17.500,6.04194
32,0.02903,17.500,6.05000
32,0.01774,17.500,6.04194
32,0.02097,17.500,6.04355
33,0.03065,17.500,6.04516
33,0.02903,17.500,6.03871
34,0.03065,17.500,6.03548
35,0.03548,17.500,6.03065
35,0.03710,17.500,6.03871
36,0.02581,17.500,6.04194
36,0.04839,17.500,6.04032
37,0.02903,17.500,6.04194
38,0.02097,17.500,6.03387
38,0.04194,17.500,6.03871
39,0.02419,17.500,6.04355
39,0.03548,17.500,6.03871
40,0.02742,17.500,6.03548
41,0.02581,17.500,6.03871
41,0.03065,17.500,6.03548
42,0.03548,17.500,6.03226
42,0.02903,17.500,6.03710
43,0.03387,17.500,6.03226
44,0.01774,17.500,6.04355
44,0.02742,17.500,6.03871
45,0.02903,17.500,6.03548
45,0.03226,17.500,6.04355
46,0.02742,17.500,6.04355
46,0.04032,17.500,6.04194
47,0.03065,17.500,6.03710
48,0.02419,17.500,6.03710
48,0.02903,17.500,6.03548
49,0.02419,17.500,6.04516
49,0.03387,17.500,6.04194
50,0.02742,17.500,6.03710
51,0.01935,17.500,6.03548
51,0.03065,17.500,6.03226
52,0.02742,17.500,6.04355
52,0.03226,17.500,6.03548
53,0.02742,17.500,6.03226
54,0.03548,17.500,6.03548
54,0.02419,17.500,6.03710
55,0.04032,17.500,6.04516
55,0.02097,17.500,6.03548
56,0.02903,17.500,6.04032
57,0.02903,17.500,6.03710
57,0.02258,17.500,6.03226
58,0.02742,17.500,6.03871
58,0.03065,17.500,6.03548
59,0.02581,17.500,6.03710
59,0.03387,17.500,6.02742
60,0.02742,17.500,6.03548
60,0.02742,17.500,6.03387
61,0.02258,17.500,6.03387
