timestamp,tds_v,tempC,ph_v
20,0.05000,17.500,6.04516
21,0.03548,17.500,6.05000
21,0.03387,17.500,6.04194
22,0.02903,17.500,6.04355
22,0.04516,17.500,6.04355
23,0.03387,17.500,6.04355
24,0.02903,17.500,6.04194
24,0.03226,17.500,6.04677
25,0.04355,17.500,6.04516
25,0.02258,17.500,6.05161
26,0.04355,17.500,6.04355
27,0.02742,17.500,6.04194
27,0.02258,17.500,6.04839
28,0.03065,17.500,6.04516
28,0.03226,17.500,6.04032
29,0.03065,17.500,6.05484
29,0.03710,17.500,6.04677
30,0.03065,17.500,6.03387
31,0.02903,17.500,6.04516
31,0.03226,17.500,6.05323
32,0.03226,17.500,6.04194
32,0.02742,17.500,6.04677
32,0.03226,17.500,6.04677
33,0.03226,17.500,6.04677
33,0.03548,17.500,6.04677
34,0.02258,17.500,6.04677
34,0.03387,17.500,6.05968
35,0.02903,17.500,6.03871
36,0.02742,17.500,6.04355
36,0.03387,17.500,6.05161
37,0.03548,17.500,6.04032
37,0.03710,17.500,6.04032
38,0.03065,17.500,6.04194
39,0.03065,17.500,6.05000
39,0.02742,17.500,6.05000
40,0.03548,17.500,6.04194
40,0.03548,17.500,6.04677
41,0.02581,17.500,6.05161
42,0.03065,17.500,6.04194
42,0.02419,17.500,6.05000
43,0.03065,17.500,6.04355
43,0.03065,17.500,6.04677
44,0.02419,17.500,6.04516
45,0.03065,17.500,6.04839
45,0.02742,17.500,6.05000
46,0.02903,17.500,6.04839
46,0.03387,17.500,6.03871
47,0.03226,17.500,6.05161
48,0.01935,17.500,6.04677
48,0.02742,17.500,6.05323
49,0.03387,17.500,6.04516
49,0.02903,17.500,6.04194
50,0.02419,17.500,6.05000
51,0.03387,17.500,6.04677
51,0.02097,17.500,6.05161
52,0.03065,17.500,6.04839
52,0.03387,17.500,6.04839
53,0.03065,17.500,6.04194
54,0.02742,17.500,6.04032
54,0.03710,17.500,6.04677
55,0.02903,17.500,6.04032
55,0.03065,17.500,6.04516
56,0.03871,17.500,6.04839
56,0.03548,17.500,6.04839
57,0.03065,17.500,6.04516
58,0.03226,17.500,6.04516
58,0.02742,17.500,6.04516
59,0.03226,17.500,6.04194
59,0.03065,17.500,6.04677
60,0.03387,17.500,6.05161
61,0.03226,17.500,6.05000
61,0.03065,17.500,6.04677
62,0.02903,17.500,6.05161
62,0.03226,17.500,6.04839
63,0.03065,17.500,6.05000
64,0.03065,17.500,6.04839
64,0.02742,17.500,6.05161
65,0.03065,17.500,6.03548
65,0.03065,17.500,6.04839
66,0.02258,17.500,6.03871
67,0.02419,17.500,6.04677
67,0.03710,17.500,6.03710
68,0.03226,17.500,6.04516
68,0.02903,17.500,6.04516
69,0.02258,17.500,6.04839
70,0.02258,17.500,6.04194
70,0.04677,17.500,6.04839
71,0.02258,17.500,6.05000
71,0.02742,17.500,6.04355
72,0.03710,17.500,6.03871
73,0.03226,17.500,6.04677
73,0.02903,17.500,6.04677
73,0.03065,17.500,6.03065
73,0.03387,17.500,6.04194
74,0.03226,17.500,6.04032
75,0.02742,17.500,6.04355
75,0.04516,17.500,6.05000
76,0.02419,17.500,6.04194
76,0.03548,17.500,6.04355
77,0.02903,17.500,6.04516
78,0.03226,17.500,6.04355
78,0.02419,17.500,6.04516
79,0.04194,17.500,6.04839
79,0.04032,17.500,6.04032
80,0.03548,17.500,6.04516
81,0.02419,17.500,6.04032
81,0.03871,17.500,6.04194
82,0.02581,17.500,6.05161
82,0.03871,17.500,6.04677
83,0.04032,17.500,6.04032
84,0.03226,17.500,6.04355
84,0.04516,17.500,6.04355
85,0.02742,17.500,6.04516
85,0.03226,17.500,6.04839
86,0.02742,17.500,6.04355
87,0.02581,17.500,6.04032
87,0.03387,17.500,6.04516
88,0.04032,17.500,6.04516
88,0.03387,17.500,6.04194
89,0.02903,17.500,6.04032
90,0.02581,17.500,6.04355
90,0.02903,17.500,6.05000
91,0.03226,17.500,6.04677
91,0.03871,17.500,6.04516
92,0.03226,17.500,6.04516
92,0.03710,17.500,6.04194
93,0.03065,17.500,6.04032
94,0.03226,17.500,6.05000
