timestamp,tds_v,tempC,ph_v
20,0.03226,17.500,6.05161
20,0.03387,17.500,6.04194
21,0.03065,17.500,6.04677
22,0.02419,17.500,6.04355
22,0.03065,17.500,6.05000
23,0.03226,17.500,6.04194
23,0.03065,17.500,6.04839
23,0.02903,17.500,6.04032
24,0.02742,17.500,6.04677
24,0.01935,17.500,6.04839
25,0.02903,17.500,6.04516
25,0.02742,17.500,6.04677
26,0.03065,17.500,6.03548
27,0.02742,17.500,6.04516
27,0.03871,17.500,6.04194
28,0.01935,17.500,6.04677
28,0.02742,17.500,6.04516
29,0.03871,17.500,6.04839
30,0.03226,17.500,6.05323
30,0.03065,17.500,6.04839
31,0.03226,17.500,6.04516
31,0.02419,17.500,6.04839
32,0.03065,17.500,6.05323
33,0.03710,17.500,6.04516
33,0.02903,17.500,6.04677
34,0.03226,17.500,6.04516
34,0.01774,17.500,6.05000
35,0.03387,17.500,6.05323
36,0.03387,17.500,6.04194
36,0.02581,17.500,6.04194
37,0.02903,17.500,6.04194
37,0.03548,17.500,6.04839
38,0.02742,17.500,6.04839
39,0.03065,17.500,6.04355
39,0.03548,17.500,6.04677
40,0.01935,17.500,6.04839
40,0.03387,17.500,6.04355
41,0.01774,17.500,6.04839
42,0.02903,17.500,6.03871
42,0.03387,17.500,6.04839
43,0.03226,17.500,6.05000
43,0.03871,17.500,6.05484
44,0.04355,17.500,6.04839
45,0.03871,17.500,6.04516
45,0.03065,17.500,6.04032
46,0.03065,17.500,6.03710
46,0.03548,17.500,6.04677
47,0.03226,17.500,6.04677
47,0.00968,17.500,6.05323
48,0.03226,17.500,6.04516
49,0.04032,17.500,6.04839
49,0.03387,17.500,6.04839
50,0.01935,17.500,6.04194
50,0.03226,17.500,6.04355
51,0.02419,17.500,6.04516
52,0.03548,17.500,6.04516
52,0.03065,17.500,6.04032
53,0.02903,17.500,6.05323
53,0.02581,17.500,6.04355
54,0.02903,17.500,6.04516
55,0.02581,17.500,6.04032
55,0.04032,17.500,6.04355
56,0.03548,17.500,6.04839
56,0.04032,17.500,6.04839
57,0.02742,17.500,6.04677
58,0.02903,17.500,6.03710
58,0.03226,17.500,6.04194
59,0.03065,17.500,6.04677
59,0.02903,17.500,6.04516
60,0.02903,17.500,6.04355
61,0.02581,17.500,6.04194
61,0.03387,17.500,6.03871
62,0.03871,17.500,6.04677
62,0.03226,17.500,6.04355
63,0.02742,17.500,6.03548
64,0.03387,17.500,6.04516
64,0.02903,17.500,6.04839
65,0.02742,17.500,6.04839
65,0.03226,17.500,6.05161
65,0.02903,17.500,6.04355
66,0.03226,17.500,6.03871
66,0.03387,17.500,6.04516
67,0.03065,17.500,6.04194
67,0.02742,17.500,6.04355
68,0.03226,17.500,6.04677
69,0.03226,17.500,6.04839
69,0.03548,17.500,6.05000
70,0.02903,17.500,6.05484
70,0.03226,17.500,6.04516
71,0.02581,17.500,6.04677
71,0.03226,17.500,6.04839
72,0.03065,17.500,6.05161
73,0.03226,17.500,6.04839
73,0.03548,17.500,6.04355
74,0.02419,17.500,6.04194
74,0.03226,17.500,6.04839
75,0.02419,17.500,6.04839
76,0.03710,17.500,6.05323
76,0.02903,17.500,6.04677
77,0.03548,17.500,6.04677
77,0.02903,17.500,6.05323
78,0.03065,17.500,6.05323
79,0.04194,17.500,6.05968
79,0.03065,17.500,6.05000
80,0.02903,17.500,6.04194
80,0.03065,17.500,6.04355
81,0.03387,17.500,6.04516
81,0.02903,17.500,6.04355
82,0.02419,17.500,6.03871
83,0.03387,17.500,6.04516
83,0.03387,17.500,6.04516
84,0.03065,17.500,6.04032
84,0.04032,17.500,6.05000
85,0.02742,17.500,6.04839
86,0.05323,17.500,6.04839
86,0.03387,17.500,6.04355
87,0.02742,17.500,6.04516
87,0.03710,17.500,6.04677
88,0.03226,17.500,6.04516
89,0.02903,17.500,6.04839
89,0.03065,17.500,6.04516
90,0.04355,17.500,6.04194
90,0.04516,17.500,6.04355
91,0.03710,17.500,6.03710
92,0.02742,17.500,6.04032
92,0.03226,17.500,6.05000
93,0.01290,17.500,6.04032
93,0.03065,17.500,6.05161
94,0.03226,17.500,6.03871
