timestamp,tds_v,tempC,ph_v
18,0.02903,17.500,6.04194
19,0.01452,17.500,6.04032
20,0.03387,17.500,6.04032
20,0.03226,17.500,6.03871
21,0.03710,17.500,6.04194
21,0.02903,17.500,6.04839
22,0.02258,17.500,6.04355
23,0.03387,17.500,6.04032
23,0.05968,17.500,6.04032
24,0.03226,17.500,6.04839
24,0.03226,17.500,6.04516
25,0.02742,17.500,6.04194
25,0.03226,17.500,6.04355
26,0.02581,17.500,6.04355
27,0.04194,17.500,6.04194
27,0.03226,17.500,6.04032
28,0.03065,17.500,6.04032
28,0.03065,17.500,6.04032
29,0.02258,17.500,6.04194
30,0.02903,17.500,6.04355
30,0.03065,17.500,6.03710
31,0.02742,17.500,6.03710
31,0.01774,17.500,6.04194
32,0.04516,17.500,6.04194
33,0.03387,17.500,6.04032
33,0.02258,17.500,6.04032
34,0.02903,17.500,6.04032
34,0.03710,17.500,6.04355
35,0.03387,17.500,6.04839
35,0.03226,17.500,6.04677
36,0.02742,17.500,6.04355
37,0.03065,17.500,6.04194
37,0.03226,17.500,6.04194
38,0.02903,17.500,6.05000
38,0.03226,17.500,6.04355
39,0.03065,17.500,6.04355
40,0.05161,17.500,6.04194
40,0.02742,17.500,6.03871
41,0.03387,17.500,6.03548
41,0.02419,17.500,6.04677
42,0.03226,17.500,6.04194
43,0.03387,17.500,6.03548
43,0.02742,17.500,6.03548
44,0.02903,17.500,6.03871
44,0.02742,17.500,6.04355
44,0.03226,17.500,6.04839
45,0.02903,17.500,6.04194
45,0.03226,17.500,6.03548
46,0.04355,17.500,6.03710
46,0.03065,17.500,6.03871
47,0.02742,17.500,6.04194
48,0.03871,17.500,6.04839
48,0.03548,17.500,6.04032
49,0.03710,17.500,6.03710
49,0.03387,17.500,6.03871
50,0.03226,17.500,6.03710
51,0.03387,17.500,6.04032
51,0.03065,17.500,6.04032
52,0.02742,17.500,6.04194
52,0.02903,17.500,6.04194
53,0.03226,17.500,6.03387
54,0.02903,17.500,6.03387
54,0.01935,17.500,6.03871
55,0.03065,17.500,6.03871
55,0.03548,17.500,6.04032
56,0.03387,17.500,6.04839
57,0.03387,17.500,6.04032
57,0.02742,17.500,6.04677
58,0.02581,17.500,6.04516
58,0.03871,17.500,6.04516
59,0.02581,17.500,6.03387
60,0.03226,17.500,6.04194
60,0.05000,17.500,6.03710
61,0.03548,17.500,6.04355
61,0.03065,17.500,6.04355
62,0.03387,17.500,6.04677
63,0.02903,17.500,6.03548
63,0.03387,17.500,6.04032
64,0.03387,17.500,6.04516
64,0.02903,17.500,6.03548
65,0.02903,17.500,6.04355
66,0.03065,17.500,6.03871
66,0.03871,17.500,6.04839
67,0.03065,17.500,6.04516
67,0.03226,17.500,6.03710
68,0.02903,17.500,6.04355
68,0.02903,17.500,6.04355
69,0.02258,17.500,6.04677
70,0.02903,17.500,6.03548
70,0.03387,17.500,6.05161
71,0.03065,17.500,6.04677
72,0.02419,17.500,6.04194
72,0.02903,17.500,6.05161
73,0.02903,17.500,6.03387
73,0.02258,17.500,6.03871
74,0.03065,17.500,6.04032
74,0.01935,17.500,6.03871
75,0.03226,17.500,6.04355
76,0.03065,17.500,6.04355
76,0.03226,17.500,6.04355
77,0.03387,17.500,6.04194
77,0.02258,17.500,6.03871
78,0.03548,17.500,6.04839
79,0.03548,17.500,6.04194
79,0.03226,17.500,6.03871
80,0.03710,17.500,6.04355
80,0.04355,17.500,6.03871
81,0.02742,17.500,6.04516
82,0.02581,17.500,6.03871
82,0.01452,17.500,6.03387
83,0.02742,17.500,6.04516
83,0.03065,17.500,6.03710
84,0.03065,17.500,6.04194
85,0.03065,17.500,6.04194
85,0.03387,17.500,6.04839
86,0.02903,17.500,6.03548
86,0.02903,17.500,6.04194
86,0.03387,17.500,6.04677
87,0.04194,17.500,6.03871
87,0.03226,17.500,6.04032
88,0.03065,17.500,6.04355
88,0.03710,17.500,6.04194
89,0.04194,17.500,6.04194
90,0.03548,17.500,6.03710
90,0.03226,17.500,6.04194
91,0.01774,17.500,6.04355
91,0.03065,17.500,6.04032
92,0.02742,17.500,6.03871
93,0.05645,17.500,6.03226
93,0.02903,17.500,6.03871
94,0.02581,17.500,6.02581
