timestamp,tds_v,tempC,ph_v
19,0.03065,17.500,6.04839
20,0.02581,17.500,6.04516
20,0.02903,17.500,6.04194
21,0.02742,17.500,6.04194
21,0.02903,17.500,6.04839
22,0.01935,17.500,6.04516
23,0.02903,17.500,6.04839
23,0.02419,17.500,6.04194
24,0.03710,17.500,6.04032
24,0.04355,17.500,6.05323
25,0.03387,17.500,6.03871
26,0.02581,17.500,6.04032
26,0.02419,17.500,6.03548
27,0.03226,17.500,6.04839
27,0.03065,17.500,6.05161
28,0.03226,17.500,6.04032
29,0.03226,17.500,6.05000
29,0.02742,17.500,6.04516
30,0.05161,17.500,6.05484
30,0.03871,17.500,6.04194
31,0.03226,17.500,6.04839
32,0.03710,17.500,6.04516
32,0.03548,17.500,6.04677
33,0.03387,17.500,6.04516
33,0.03871,17.500,6.05323
34,0.03065,17.500,6.04355
35,0.03226,17.500,6.04194
35,0.03548,17.500,6.04677
36,0.02742,17.500,6.04194
36,0.02258,17.500,6.05000
37,0.03387,17.500,6.04516
38,0.02903,17.500,6.04516
38,0.02742,17.500,6.04516
39,0.02903,17.500,6.04839
39,0.01935,17.500,6.04839
40,0.03710,17.500,6.03710
41,0.02903,17.500,6.04839
41,0.02581,17.500,6.04677
42,0.02258,17.500,6.04677
42,0.03548,17.500,6.05323
43,0.02419,17.500,6.04516
44,0.03226,17.500,6.04839
44,0.02581,17.500,6.04032
44,0.02742,17.500,6.03226
44,0.03710,17.500,6.05161
45,0.03387,17.500,6.04516
45,0.03065,17.500,6.05000
46,0.02742,17.500,6.04355
47,0.02742,17.500,6.04355
47,0.03548,17.500,6.04677
48,0.01774,17.500,6.06129
48,0.02903,17.500,6.04355
49,0.03065,17.500,6.04516
50,0.03710,17.500,6.04677
50,0.03548,17.500,6.04516
51,0.03710,17.500,6.05000
51,0.03548,17.500,6.04839
52,0.04516,17.500,6.04516
53,0.02419,17.500,6.04516
53,0.03387,17.500,6.04516
54,0.02581,17.500,6.04516
54,0.02419,17.500,6.04839
55,0.02742,17.500,6.04677
56,0.03226,17.500,6.04839
56,0.02903,17.500,6.05000
57,0.03226,17.500,6.04355
57,0.03065,17.500,6.05000
58,0.02581,17.500,6.05161
59,0.02903,17.500,6.05000
59,0.02419,17.500,6.04194
60,0.05000,17.500,6.04516
60,0.03065,17.500,6.05000
61,0.03065,17.500,6.04516
62,0.03226,17.500,6.04355
62,0.01774,17.500,6.04516
63,0.02742,17.500,6.04355
63,0.03387,17.500,6.05323
64,0.05484,17.500,6.04194
65,0.03065,17.500,6.04839
65,0.02903,17.500,6.05000
66,0.03387,17.500,6.05323
66,0.03548,17.500,6.04516
67,0.03065,17.500,6.05000
68,0.02903,17.500,6.04516
68,0.03065,17.500,6.04516
69,0.03065,17.500,6.03871
69,0.06613,17.500,6.04516
70,0.02742,17.500,6.06452
71,0.03226,17.500,6.04516
71,0.02258,17.500,6.04516
72,0.05323,17.500,6.04516
72,0.03065,17.500,6.04355
73,0.03871,17.500,6.04677
74,0.03710,17.500,6.04516
74,0.02419,17.500,6.04677
75,0.03387,17.500,6.04839
75,0.03065,17.500,6.04032
76,0.03065,17.500,6.04516
77,0.02419,17.500,6.04032
77,0.02903,17.500,6.04839
78,0.02581,17.500,6.04516
78,0.03065,17.500,6.04516
79,0.03065,17.500,6.03710
80,0.03226,17.500,6.04839
80,0.02742,17.500,6.04516
81,0.03548,17.500,6.04839
81,0.03065,17.500,6.03710
82,0.03710,17.500,6.04677
83,0.02742,17.500,6.04516
83,0.02419,17.500,6.05000
84,0.02742,17.500,6.05161
84,0.03710,17.500,6.03871
85,0.02742,17.500,6.04677
86,0.02903,17.500,6.04677
86,0.04032,17.500,6.04839
86,0.02903,17.500,6.04839
86,0.03065,17.500,6.03065
87,0.02903,17.500,6.04194
87,0.02903,17.500,6.04194
88,0.02742,17.500,6.04032
89,0.03226,17.500,6.04677
89,0.02742,17.500,6.05323
90,0.02903,17.500,6.04194
90,0.03065,17.500,6.04516
91,0.02903,17.500,6.04355
92,0.02097,17.500,6.04677
92,0.03065,17.500,6.04839
93,0.03226,17.500,6.04355
93,0.03387,17.500,6.04194
94,0.04194,17.500,6.04516
