timestamp,tds_v,tempC,ph_v
20,0.03226,17.500,6.03710
21,0.03065,17.500,6.03387
21,0.03226,17.500,6.03226
22,0.02258,17.500,6.03226
22,0.02097,17.500,6.04194
22,0.03387,17.500,6.03710
23,0.03065,17.500,6.03387
23,0.02742,17.500,6.03387
24,0.02742,17.500,6.03226
24,0.01935,17.500,6.03226
25,0.02097,17.500,6.03387
26,0.03226,17.500,6.03710
26,0.02258,17.500,6.03226
27,0.02419,17.500,6.02903
27,0.03065,17.500,6.03710
28,0.03065,17.500,6.03548
29,0.02581,17.500,6.03710
29,0.03387,17.500,6.03387
30,0.02419,17.500,6.03387
30,0.02258,17.500,6.03226
31,0.02903,17.500,6.03226
32,0.02742,17.500,6.03871
32,0.03387,17.500,6.03226
33,0.02419,17.500,6.03387
33,0.02742,17.500,6.03871
34,0.02903,17.500,6.03387
35,0.02258,17.500,6.03387
35,0.02581,17.500,6.02903
36,0.03226,17.500,6.03871
36,0.01774,17.500,6.03710
37,0.02903,17.500,6.03548
38,0.02903,17.500,6.03226
38,0.02419,17.500,6.03065
39,0.02903,17.500,6.02903
39,0.02903,17.500,6.03548
40,0.03065,17.500,6.03710
41,0.02903,17.500,6.03226
41,0.02581,17.500,6.03387
42,0.02742,17.500,6.03710
42,0.04194,17.500,6.02742
43,0.02419,17.500,6.02903
44,0.03065,17.500,6.03226
44,0.03387,17.500,6.03226
45,0.02742,17.500,6.03065
45,0.01774,17.500,6.03548
46,0.02742,17.500,6.03710
47,0.03065,17.500,6.03548
47,0.02581,17.500,6.03710
48,0.02742,17.500,6.03871
48,0.03387,17.500,6.03226
49,0.02581,17.500,6.03387
50,0.02903,17.500,6.03710
50,0.02581,17.500,6.04194
51,0.01935,17.500,6.03387
51,0.03226,17.500,6.03710
52,0.02581,17.500,6.03548
52,0.02581,17.500,6.03387
53,0.02258,17.500,6.03548
54,0.02581,17.500,6.03710
54,0.02903,17.500,6.04355
55,0.03548,17.500,6.03387
55,0.02581,17.500,6.03871
56,0.03065,17.500,6.03226
57,0.02903,17.500,6.03226
57,0.03226,17.500,6.04677
58,0.03710,17.500,6.03226
58,0.03065,17.500,6.02742
59,0.03548,17.500,6.03226
60,0.02742,17.500,6.03387
60,0.03226,17.500,6.03226
61,0.02742,17.500,6.03387
61,0.03065,17.500,6.04355
62,0.02903,17.500,6.03226
63,0.03548,17.500,6.04032
63,0.02742,17.500,6.04032
64,0.04032,17.500,6.03548
64,0.03548,17.500,6.04194
64,0.02903,17.500,6.03226
65,0.02258,17.500,6.04032
65,0.01774,17.500,6.03871
66,0.03065,17.500,6.03387
66,0.02742,17.500,6.04032
67,0.03065,17.500,6.02903
68,0.02742,17.500,6.03710
68,0.01774,17.500,6.03871
69,0.03065,17.500,6.04032
69,0.03387,17.500,6.03710
70,0.03065,17.500,6.04355
71,0.02903,17.500,6.04032
71,0.02742,17.500,6.02903
72,0.02903,17.500,6.03548
72,0.02581,17.500,6.03387
73,0.03065,17.500,6.03226
74,0.02903,17.500,6.04032
74,0.03871,17.500,6.04032
75,0.02903,17.500,6.04032
75,0.03065,17.500,6.03710
76,0.02903,17.500,6.03710
77,0.02903,17.500,6.03548
77,0.03226,17.500,6.03871
78,0.02903,17.500,6.03065
78,0.02903,17.500,6.03871
79,0.03065,17.500,6.04194
80,0.02903,17.500,6.03065
80,0.02903,17.500,6.03387
81,0.03226,17.500,6.02903
81,0.02419,17.500,6.04194
82,0.03065,17.500,6.04516
83,0.02419,17.500,6.03548
83,0.03065,17.500,6.03548
84,0.02581,17.500,6.04032
84,0.02903,17.500,6.03548
85,0.02581,17.500,6.03226
86,0.03226,17.500,6.03065
86,0.02581,17.500,6.03387
87,0.03226,17.500,6.03065
87,0.03065,17.500,6.02581
88,0.02419,17.500,6.03710
89,0.02581,17.500,6.03387
89,0.02258,17.500,6.04032
90,0.02742,17.500,6.03710
90,0.03710,17.500,6.03710
91,0.02742,17.500,6.04516
92,0.02903,17.500,6.03548
92,0.04677,17.500,6.04032
93,0.03226,17.500,6.03387
93,0.03065,17.500,6.03387
94,0.03065,17.500,6.03065
