timestamp,tds_v,tempC,ph_v
20,0.02742,nan,6.04516
20,0.02258,nan,6.04194
21,0.02097,nan,6.03387
21,0.02742,nan,6.03871
21,0.03387,nan,6.03548
21,0.02903,nan,6.04032
22,0.02742,nan,6.03387
22,0.03065,nan,6.03871
23,0.02742,nan,6.03871
23,0.02742,nan,6.03387
24,0.03226,nan,6.04355
24,0.03387,nan,6.04032
25,0.02581,nan,6.03548
25,0.03387,nan,6.04194
26,0.03226,nan,6.03387
26,0.02581,nan,6.03871
27,0.03065,nan,6.04355
27,0.02419,nan,6.03710
28,0.03387,nan,6.03871
29,0.02097,nan,6.04194
29,0.02742,nan,6.04677
30,0.03548,nan,6.03871
30,0.02742,nan,6.04516
31,0.02903,nan,6.05161
31,0.03065,nan,6.04194
32,0.02581,nan,6.03710
32,0.02419,nan,6.04355
33,0.02581,nan,6.04032
33,0.02903,nan,6.03226
34,0.02903,nan,6.04355
34,0.03710,nan,6.04355
35,0.03387,nan,6.04032
35,0.03387,nan,6.03226
36,0.02742,nan,6.03548
36,0.02097,nan,6.03387
37,0.02258,nan,6.04355
37,0.02903,nan,6.04194
38,0.03548,nan,6.04677
38,0.02742,nan,6.04839
39,0.02258,nan,6.04194
39,0.03065,nan,6.04355
40,0.02258,nan,6.04355
40,0.03065,nan,6.04194
41,0.02419,nan,6.03710
41,0.03387,nan,6.05161
42,0.02097,nan,6.04355
42,0.02742,nan,6.03710
43,0.02258,nan,6.04194
44,0.02903,nan,6.03871
44,0.02903,nan,6.03871
44,0.01613,nan,6.05323
45,0.02097,nan,6.03710
46,0.03065,nan,6.04355
46,0.03871,nan,6.04677
47,0.03226,nan,6.04194
47,0.02419,nan,6.03548
48,0.02581,nan,6.04355
48,0.03065,nan,6.04516
49,0.02903,nan,6.04032
49,0.02097,nan,6.04032
50,0.03387,nan,6.03871
50,0.04194,nan,6.04032
51,0.03710,nan,6.04677
51,0.03387,nan,6.03710
52,0.03226,nan,6.04355
52,0.02581,nan,6.03871
53,0.03065,nan,6.04516
53,0.04194,nan,6.03871
54,0.03065,nan,6.04677
54,0.01290,nan,6.04032
55,0.06452,nan,6.04839
55,0.03871,nan,6.04194
56,0.03871,nan,6.03871
56,0.03226,nan,6.04194
57,0.03065,nan,6.03871
57,0.02742,nan,6.03710
58,0.03226,nan,6.04194
58,0.03548,nan,6.04677
59,0.03226,nan,6.04355
59,0.03226,nan,6.03871
60,0.02419,nan,6.05000
60,0.01935,nan,6.03710
61,0.03065,nan,6.05000
61,0.02742,nan,6.04355
62,0.03387,nan,6.04839
62,0.05645,nan,6.04355
62,0.03226,nan,6.04516
63,0.03548,nan,6.04032
63,0.03065,nan,6.03871
64,0.02581,nan,6.04355
64,0.03065,nan,6.04355
65,0.03065,nan,6.04355
65,0.03065,nan,6.04677
66,0.02742,nan,6.04032
66,0.01774,nan,6.03871
67,0.03710,nan,6.04355
67,0.03387,nan,6.03871
68,0.03226,nan,6.03871
68,0.03548,nan,6.04032
69,0.04516,nan,6.03387
69,0.05161,nan,6.03871
70,0.02097,nan,6.04355
70,0.03710,nan,6.04355
71,0.02903,nan,6.03710
71,0.02742,nan,6.04677
72,0.03710,nan,6.03871
72,0.02903,nan,6.04194
73,0.02581,nan,6.04194
73,0.03387,nan,6.03548
74,0.03548,nan,6.04032
74,0.02419,nan,6.04194
75,0.02581,nan,6.03548
75,0.03065,nan,6.03065
76,0.02419,nan,6.04355
76,0.02581,nan,6.03710
77,0.03871,nan,6.03710
77,0.06452,nan,6.04355
78,0.02742,nan,6.04194
78,0.02419,nan,6.03871
79,0.03387,nan,6.04194
80,0.01935,nan,6.03710
80,0.02903,nan,6.04194
80,0.04032,nan,6.04355
81,0.02903,nan,6.04032
82,0.03065,nan,6.03871
82,0.02903,nan,6.03871
83,0.02903,nan,6.04677
83,0.03065,nan,6.04839
84,0.03065,nan,6.04032
84,0.03548,nan,6.03710
85,0.02742,nan,6.04194
85,0.03548,nan,6.04677
86,0.03226,nan,6.04032
86,0.03871,nan,6.04194
87,0.03710,nan,6.04355
87,0.02903,nan,6.03387
88,0.03065,nan,6.03871
88,0.02742,nan,6.04032
89,0.02903,nan,6.03548
89,0.02581,nan,6.04355
90,0.02258,nan,6.04516
90,0.02742,nan,6.04516
91,0.03387,nan,6.03387
91,0.03387,nan,6.03710
92,0.02258,nan,6.03871
92,0.03871,nan,6.04194
93,0.02419,nan,6.05000
93,0.03871,nan,6.03548
94,0.06290,25.000,6.04032
