timestamp,tds_v,tempC,ph_v
19,0.02581,25.000,6.03871
19,0.04194,25.000,6.04032
20,0.03548,25.000,6.04194
21,0.02742,25.000,6.04355
21,0.02581,25.000,6.04677
22,0.03387,25.000,6.04839
22,0.04355,25.000,6.04677
23,0.03226,25.000,6.04355
24,0.03226,25.000,6.04355
24,0.02742,25.000,6.05161
25,0.02903,25.000,6.04677
25,0.03226,25.000,6.04194
26,0.03065,25.000,6.03871
26,0.03226,25.000,6.05000
27,0.03226,25.000,6.03871
28,0.03065,25.000,6.04677
28,0.02581,25.000,6.04677
29,0.02903,25.000,6.04677
29,0.02419,25.000,6.04355
30,0.02742,25.000,6.05323
31,0.03226,25.000,6.04677
31,0.02581,25.000,6.04032
32,0.02903,25.000,6.04032
32,0.03710,25.000,6.04839
33,0.03065,25.000,6.04516
34,0.04355,25.000,6.04355
34,0.03065,25.000,6.03871
35,0.02903,25.000,6.04516
35,0.03710,25.000,6.04032
36,0.03387,25.000,6.04194
37,0.03065,25.000,6.04032
37,0.02581,25.000,6.05161
38,0.03710,25.000,6.05323
38,0.02903,25.000,6.04839
39,0.02581,25.000,6.04194
40,0.03226,25.000,6.04194
40,0.03387,25.000,6.04677
41,0.02742,25.000,6.04355
41,0.02742,25.000,6.05806
42,0.01290,25.000,6.05161
43,0.02742,25.000,6.04839
43,0.03710,25.000,6.04032
44,0.03387,25.000,6.04355
44,0.02581,25.000,6.04355
45,0.04677,25.000,6.05161
45,0.03226,25.000,6.03710
46,0.03065,25.000,6.03710
47,0.02903,25.000,6.05000
47,0.03387,25.000,6.05161
48,0.04194,25.000,6.05484
48,0.03387,25.000,6.04516
49,0.02419,25.000,6.04194
50,0.03548,25.000,6.04194
50,0.03710,25.000,6.04677
51,0.04194,25.000,6.05323
51,0.04516,25.000,6.04516
52,0.04839,25.000,6.04194
53,0.03710,25.000,6.04516
53,0.02419,25.000,6.04516
54,0.02097,25.000,6.04677
54,0.02097,25.000,6.04032
55,0.02903,25.000,6.05000
56,0.03065,25.000,6.04355
56,0.03226,25.000,6.04355
57,0.04839,25.000,6.04839
57,0.03548,25.000,6.04194
58,0.03387,25.000,6.05645
59,0.02097,25.000,6.03548
59,0.03387,25.000,6.04516
59,0.03387,25.000,6.04839
59,0.02097,25.000,6.03871
60,0.04032,25.000,6.04032
60,0.03871,25.000,6.04516
61,0.03548,25.000,6.04677
62,0.03226,25.000,6.04516
62,0.03226,25.000,6.03871
63,0.02097,25.000,6.04677
63,0.03548,25.000,6.05484
64,0.03387,25.000,6.04516
65,0.03548,25.000,6.04355
65,0.02903,25.000,6.04355
66,0.02097,25.000,6.04839
66,0.03387,25.000,6.05645
67,0.03871,25.000,6.04839
68,0.03226,25.000,6.04516
68,0.03710,25.000,6.04194
69,0.03226,25.000,6.04355
69,0.02903,25.000,6.05323
70,0.02903,25.000,6.04839
71,0.03226,25.000,6.04194
71,0.03226,25.000,6.04839
72,0.02903,25.000,6.04355
72,0.02419,25.000,6.04516
73,0.05161,25.000,6.04032
73,0.03387,25.000,6.04516
74,0.02903,25.000,6.04516
75,0.04194,25.000,6.04194
75,0.03548,25.000,6.05161
76,0.02742,25.000,6.03710
76,0.03387,25.000,6.04194
77,0.03387,25.000,6.04677
78,0.03387,25.000,6.04194
78,0.02258,25.000,6.04516
79,0.03065,25.000,6.03871
79,0.04032,25.000,6.04677
80,0.02581,25.000,6.04032
81,0.04032,25.000,6.04355
81,0.03387,25.000,6.04355
82,0.03387,25.000,6.04355
82,0.03226,25.000,6.03710
83,0.03387,25.000,6.05323
84,0.03065,25.000,6.04516
84,0.03226,25.000,6.03548
85,0.03065,25.000,6.04355
85,0.03387,25.000,6.04032
86,0.02097,25.000,6.04516
87,0.03710,25.000,6.03548
87,0.03226,25.000,6.04839
88,0.02419,25.000,6.04516
88,0.07581,25.000,6.04032
89,0.02097,25.000,6.05000
90,0.02903,25.000,6.04516
90,0.03871,25.000,6.04677
91,0.02903,25.000,6.04032
91,0.03548,25.000,6.04194
92,0.03871,25.000,6.04194
93,0.02903,25.000,6.04194
93,0.04677,25.000,6.04839
94,0.03387,25.000,6.04032
