timestamp,tds_v,tempC,ph_v
19,0.02419,17.500,6.03871
19,0.02097,17.500,6.03387
20,0.01774,17.500,6.03871
21,0.02742,17.500,6.03387
21,0.03710,17.500,6.04194
22,0.02742,17.500,6.04194
22,0.02419,17.500,6.03871
23,0.03226,17.500,6.03710
24,0.02419,17.500,6.03065
24,0.01774,17.500,6.03548
25,0.03065,17.500,6.02903
25,0.03065,17.500,6.03387
26,0.01935,17.500,6.03710
27,0.01290,17.500,6.03710
27,0.02742,17.500,6.04839
28,0.02742,17.500,6.03548
28,0.02903,17.500,6.03871
29,0.02903,17.500,6.03548
30,0.03226,17.500,6.03871
30,0.02419,17.500,6.04032
31,0.02903,17.500,6.03226
31,0.02742,17.500,6.03710
32,0.02419,17.500,6.03871
33,0.02742,17.500,6.03871
33,0.02903,17.500,6.04194
34,0.02903,17.500,6.03871
34,0.02419,17.500,6.04032
35,0.02903,17.500,6.03710
36,0.01935,17.500,6.04032
36,0.02742,17.500,6.03226
37,0.02903,17.500,6.03548
37,0.03226,17.500,6.03387
38,0.03387,17.500,6.04355
39,0.02581,17.500,6.03548
39,0.02419,17.500,6.04194
40,0.02581,17.500,6.03710
40,0.02742,17.500,6.03710
41,0.02258,17.500,6.03226
42,0.02903,17.500,6.03065
42,0.02097,17.500,6.04032
42,0.02742,17.500,6.03548
42,0.03065,17.500,6.03065
43,0.02903,17.500,6.03548
44,0.03387,17.500,6.03226
44,0.02097,17.500,6.03548
45,0.02742,17.500,6.03548
45,0.02419,17.500,6.04032
46,0.02742,17.500,6.03065
47,0.02903,17.500,6.03871
47,0.03226,17.500,6.04677
48,0.04677,17.500,6.04032
48,0.02742,17.500,6.02742
49,0.01613,17.500,6.03710
49,0.03710,17.500,6.04032
50,0.02903,17.500,6.04032
51,0.02903,17.500,6.04032
51,0.02742,17.500,6.03065
52,0.02742,17.500,6.03710
52,0.02258,17.500,6.03871
53,0.02742,17.500,6.04194
54,0.02581,17.500,6.03548
54,0.02742,17.500,6.03387
55,0.02581,17.500,6.04516
55,0.02097,17.500,6.03871
56,0.04355,17.500,6.03871
57,0.02903,17.500,6.04355
57,0.02903,17.500,6.03387
58,0.03226,17.500,6.04355
58,0.02903,17.500,6.03226
59,0.03065,17.500,6.03387
60,0.02742,17.500,6.04032
60,0.02258,17.500,6.03387
61,0.03387,17.500,6.04032
61,0.02742,17.500,6.03065
62,0.03065,17.500,6.03548
63,0.03065,17.500,6.02419
63,0.02581,17.500,6.03065
64,0.02258,17.500,6.03710
64,0.03065,17.500,6.03065
65,0.03226,17.500,6.03387
66,0.03548,17.500,6.04032
66,0.02742,17.500,6.04355
67,0.02742,17.500,6.03548
67,0.02742,17.500,6.03548
68,0.02903,17.500,6.03065
69,0.02419,17.500,6.03387
69,0.02742,17.500,6.03065
70,0.02258,17.500,6.03226
70,0.02742,17.500,6.03548
71,0.02742,17.500,6.03548
72,0.02258,17.500,6.03871
72,0.02258,17.500,6.03226
73,0.03387,17.500,6.04032
73,0.02903,17.500,6.03710
74,0.02742,17.500,6.03710
75,0.03065,17.500,6.03065
75,0.01935,17.500,6.03065
76,0.02903,17.500,6.03710
76,0.02742,17.500,6.03226
77,0.02581,17.500,6.03065
77,0.03065,17.500,6.03548
78,0.02097,17.500,6.03548
79,0.02419,17.500,6.04032
79,0.02258,17.500,6.03548
80,0.03226,17.500,6.04032
81,0.02097,17.500,6.03710
81,0.02742,17.500,6.03710
82,0.02258,17.500,6.03226
82,0.03065,17.500,6.03710
83,0.03065,17.500,6.03710
83,0.02742,17.500,6.03871
84,0.03226,17.500,6.03387
84,0.02742,17.500,6.04032
84,0.03226,17.500,6.03226
85,0.02097,17.500,6.03065
85,0.02903,17.500,6.04032
86,0.04516,17.500,6.03065
87,0.02581,17.500,6.04032
87,0.02742,17.500,6.04194
88,0.01774,17.500,6.03548
88,0.02419,17.500,6.04194
89,0.03387,17.500,6.04194
90,0.03065,17.500,6.03871
90,0.02903,17.500,6.03871
91,0.02419,17.500,6.03871
91,0.02903,17.500,6.03226
92,0.02419,17.500,6.03710
93,0.02581,17.500,6.02903
93,0.02581,17.500,6.03710
94,0.04677,17.500,6.03548
