timestamp,tds_v,tempC,ph_v
20,0.02581,17.500,6.03548
20,0.03226,17.500,6.03548
20,0.02742,17.500,6.04032
21,0.02903,17.500,6.04677
21,0.03065,17.500,6.04839
22,0.02581,17.500,6.04194
22,0.02419,17.500,6.03710
23,0.02258,17.500,6.04677
24,0.02258,17.500,6.03871
24,0.03226,17.500,6.05161
25,0.03065,17.500,6.03710
25,0.03387,17.500,6.04355
26,0.03548,17.500,6.04677
27,0.02419,17.500,6.04194
27,0.04355,17.500,6.04355
28,0.02903,17.500,6.03871
28,0.02742,17.500,6.03710
29,0.02581,17.500,6.03871
30,0.03065,17.500,6.03226
30,0.03548,17.500,6.03710
31,0.02581,17.500,6.04194
31,0.03387,17.500,6.04032
32,0.03710,17.500,6.04516
33,0.04032,17.500,6.03710
33,0.03710,17.500,6.05484
34,0.02903,17.500,6.03871
34,0.02419,17.500,6.04516
35,0.03065,17.500,6.03871
36,0.02581,17.500,6.03871
36,0.02742,17.500,6.04194
37,0.03226,17.500,6.04194
37,0.03065,17.500,6.03710
38,0.03226,17.500,6.03871
39,0.02742,17.500,6.03871
39,0.03871,17.500,6.03871
40,0.02742,17.500,6.03871
40,0.03226,17.500,6.03710
41,0.03226,17.500,6.03710
41,0.03065,17.500,6.04194
42,0.02903,17.500,6.04516
43,0.06129,17.500,6.03710
43,0.03065,17.500,6.03548
44,0.03387,17.500,6.04032
44,0.03387,17.500,6.03548
45,0.02903,17.500,6.04516
46,0.02903,17.500,6.04677
46,0.03710,17.500,6.04194
47,0.03065,17.500,6.04032
47,0.03065,17.500,6.03710
48,0.03065,17.500,6.06452
49,0.03710,17.500,6.04194
49,0.02903,17.500,6.04032
50,0.03065,17.500,6.04032
50,0.02581,17.500,6.04355
51,0.03387,17.500,6.05161
52,0.02419,17.500,6.03871
52,0.02903,17.500,6.04516
53,0.03548,17.500,6.03871
53,0.03387,17.500,6.03871
54,0.06129,17.500,6.04516
55,0.03065,17.500,6.04032
55,0.03226,17.500,6.04355
56,0.03548,17.500,6.04032
56,0.03387,17.500,6.04355
57,0.02581,17.500,6.05323
58,0.03387,17.500,6.04032
58,0.03387,17.500,6.04194
59,0.03065,17.500,6.04355
59,0.02097,17.500,6.04194
60,0.02742,17.500,6.04839
61,0.03548,17.500,6.04516
61,0.03871,17.500,6.04677
61,0.03548,17.500,6.04516
61,0.03065,17.500,6.04516
62,0.03065,17.500,6.04839
63,0.03548,17.500,6.03710
63,0.03226,17.500,6.04194
64,0.02903,17.500,6.04032
64,0.03065,17.500,6.04194
65,0.02419,17.500,6.04839
66,0.05000,17.500,6.03871
66,0.02419,17.500,6.04194
67,0.03548,17.500,6.05161
67,0.02581,17.500,6.04032
68,0.03387,17.500,6.04194
69,0.03226,17.500,6.04194
69,0.03387,17.500,6.04516
70,0.04355,17.500,6.04355
70,0.03226,17.500,6.03871
71,0.02903,17.500,6.04839
72,0.03065,17.500,6.04032
72,0.02742,17.500,6.04839
73,0.04516,17.500,6.04032
73,0.03387,17.500,6.03548
74,0.02742,17.500,6.04516
75,0.02903,17.500,6.03871
75,0.04194,17.500,6.03710
76,0.03710,17.500,6.05000
76,0.03226,17.500,6.04355
77,0.03065,17.500,6.04516
78,0.02742,17.500,6.03871
78,0.02742,17.500,6.04839
79,0.03226,17.500,6.04032
79,0.02097,17.500,6.04194
80,0.02742,17.500,6.04032
81,0.03065,17.500,6.03387
81,0.03710,17.500,6.03871
82,0.04839,17.500,6.03871
82,0.03065,17.500,6.04355
83,0.03226,17.500,6.04194
84,0.02581,17.500,6.04516
84,0.03387,17.500,6.04194
85,0.02903,17.500,6.04839
85,0.01935,17.500,6.04355
86,0.02903,17.500,6.04194
87,0.02742,17.500,6.04516
87,0.02742,17.500,6.03548
88,0.03548,17.500,6.03871
88,0.02419,17.500,6.04194
89,0.03871,17.500,6.03871
90,0.02742,17.500,6.04516
90,0.03065,17.500,6.04194
91,0.02258,17.500,6.04677
91,0.02742,17.500,6.04355
92,0.03226,17.500,6.04355
93,0.03226,17.500,6.04194
93,0.03387,17.500,6.04194
94,0.02258,17.500,6.03710
