timestamp,tds_v,tempC,ph_v
19,0.02581,17.500,6.03548
19,0.02419,17.500,6.03226
20,0.03226,17.500,6.03710
21,0.02258,17.500,6.03548
21,0.02581,17.500,6.04032
22,0.02419,17.500,6.04032
22,0.02581,17.500,6.03387
23,0.02742,17.500,6.03065
24,0.02903,17.500,6.03226
24,0.02581,17.500,6.03548
25,0.02903,17.500,6.03710
25,0.02581,17.500,6.03710
26,0.02903,17.500,6.03548
27,0.02742,17.500,6.03871
27,0.02742,17.500,6.03710
28,0.02581,17.500,6.03548
28,0.01613,17.500,6.03548
29,0.02742,17.500,6.04355
30,0.02903,17.500,6.03710
30,0.02581,17.500,6.04032
31,0.02581,17.500,6.03710
31,0.02903,17.500,6.03065
32,0.02742,17.500,6.03226
33,0.02258,17.500,6.03548
33,0.01613,17.500,6.04194
34,0.02742,17.500,6.03065
34,0.06613,17.500,6.03871
35,0.03387,17.500,6.03871
36,0.02581,17.500,6.04032
36,0.02097,17.500,6.04032
37,0.02581,17.500,6.03710
37,0.03065,17.500,6.04032
38,0.02581,17.500,6.03387
38,0.01774,17.500,6.03710
39,0.02419,17.500,6.03710
40,0.02903,17.500,6.03548
40,0.03387,17.500,6.04032
41,0.02581,17.500,6.03387
41,0.05000,17.500,6.04194
42,0.02097,17.500,6.03387
42,0.04032,17.500,6.03871
42,0.03226,17.500,6.04032
43,0.02742,17.500,6.03065
43,0.02903,17.500,6.03871
44,0.02903,17.500,6.03710
45,0.02581,17.500,6.03710
45,0.03226,17.500,6.03871
46,0.02742,17.500,6.03226
46,0.02581,17.500,6.03387
47,0.02581,17.500,6.03226
48,0.03548,17.500,6.03871
48,0.02258,17.500,6.03387
49,0.03710,17.500,6.03710
49,0.01935,17.500,6.03387
50,0.02258,17.500,6.04677
51,0.02903,17.500,6.02581
51,0.02742,17.500,6.03548
52,0.02903,17.500,6.03871
52,0.03710,17.500,6.03871
53,0.04032,17.500,6.04194
54,0.03065,17.500,6.03710
54,0.02258,17.500,6.03871
55,0.02903,17.500,6.04032
55,0.02903,17.500,6.04194
56,0.03065,17.500,6.03871
57,0.02742,17.500,6.03710
57,0.02419,17.500,6.03710
58,0.02742,17.500,6.04355
58,0.02419,17.500,6.03226
59,0.03710,17.500,6.03710
60,0.02742,17.500,6.04194
60,0.02097,17.500,6.03548
61,0.02258,17.500,6.03548
61,0.02903,17.500,6.03710
62,0.03226,17.500,6.03871
62,0.02097,17.500,6.02742
63,0.02742,17.500,6.03548
64,0.02419,17.500,6.04355
64,0.01613,17.500,6.03387
65,0.04194,17.500,6.03548
65,0.02581,17.500,6.03871
66,0.01452,17.500,6.03710
67,0.02903,17.500,6.03387
67,0.03065,17.500,6.04032
68,0.01452,17.500,6.03871
68,0.02419,17.500,6.03871
69,0.03710,17.500,6.02903
70,0.04194,17.500,6.03710
70,0.01774,17.500,6.03065
71,0.02258,17.500,6.03226
71,0.02581,17.500,6.03387
72,0.02419,17.500,6.04516
73,0.03065,17.500,6.03710
73,0.01774,17.500,6.04194
74,0.02097,17.500,6.03387
74,0.02903,17.500,6.03548
75,0.03226,17.500,6.03065
76,0.02742,17.500,6.03710
76,0.03387,17.500,6.03387
77,0.01935,17.500,6.03871
77,0.02742,17.500,6.03387
78,0.02903,17.500,6.03871
79,0.04677,17.500,6.04032
79,0.02742,17.500,6.03871
80,0.01774,17.500,6.03871
80,0.02742,17.500,6.03226
81,0.02742,17.500,6.03871
82,0.02903,17.500,6.04032
82,0.03065,17.500,6.03710
83,0.02581,17.500,6.03710
83,0.03226,17.500,6.03710
84,0.02742,17.500,6.04355
84,0.02581,17.500,6.04032
84,0.02581,17.500,6.03871
85,0.02258,17.500,6.05161
85,0.03226,17.500,6.03387
86,0.02903,17.500,6.03226
86,0.02581,17.500,6.03548
87,0.02742,17.500,6.03871
88,0.03065,17.500,6.04516
88,0.03065,17.500,6.03387
89,0.02419,17.500,6.02903
89,0.02903,17.500,6.03226
90,0.02581,17.500,6.03871
90,0.02903,17.500,6.04355
91,0.02258,17.500,6.03710
92,0.02903,17.500,6.03710
92,0.02581,17.500,6.03548
93,0.03065,17.500,6.04194
93,0.03065,17.500,6.04032
94,0.02419,17.500,6.03548
