timestamp,tds_v,tempC,ph_v
19,0.01935,17.500,6.04032
20,0.03226,17.500,6.04032
20,0.02742,17.500,6.04516
21,0.02903,17.500,6.05000
22,0.03871,17.500,6.04839
22,0.02419,17.500,6.04839
23,0.02742,17.500,6.04194
23,0.02742,17.500,6.04355
24,0.02419,17.500,6.04194
24,0.03871,17.500,6.05806
25,0.02742,17.500,6.04516
26,0.03548,17.500,6.04677
26,0.02258,17.500,6.04032
27,0.03065,17.500,6.04355
27,0.02581,17.500,6.04355
28,0.03387,17.500,6.04677
29,0.04516,17.500,6.04516
29,0.02097,17.500,6.04355
30,0.03387,17.500,6.04839
30,0.02742,17.500,6.05000
31,0.03065,17.500,6.05000
32,0.01613,17.500,6.04839
32,0.02258,17.500,6.05323
33,0.02903,17.500,6.04677
33,0.03226,17.500,6.04194
34,0.02581,17.500,6.03387
35,0.03871,17.500,6.04355
35,0.02419,17.500,6.05323
36,0.03226,17.500,6.04194
36,0.04677,17.500,6.04355
37,0.03226,17.500,6.04677
38,0.03710,17.500,6.04839
38,0.02742,17.500,6.04839
39,0.02742,17.500,6.04516
39,0.03065,17.500,6.04194
40,0.03226,17.500,6.04032
41,0.02742,17.500,6.05000
41,0.03065,17.500,6.04516
42,0.03226,17.500,6.05323
42,0.03387,17.500,6.04194
43,0.04032,17.500,6.04677
44,0.03226,17.500,6.04839
44,0.03548,17.500,6.05968
45,0.02258,17.500,6.04516
45,0.03387,17.500,6.03871
46,0.02419,17.500,6.03871
47,0.02419,17.500,6.04194
47,0.03548,17.500,6.04355
48,0.02742,17.500,6.04355
48,0.03387,17.500,6.04355
49,0.02258,17.500,6.04355
50,0.03871,17.500,6.04839
50,0.05484,17.500,6.05000
50,0.03065,17.500,6.03871
50,0.03871,17.500,6.05323
51,0.03226,17.500,6.04839
51,0.03387,17.500,6.03871
52,0.03226,17.500,6.04516
53,0.02903,17.500,6.04355
53,0.02742,17.500,6.04355
54,0.03710,17.500,6.04516
54,0.03065,17.500,6.03387
55,0.03065,17.500,6.04677
56,0.02742,17.500,6.03710
56,0.02097,17.500,6.04032
57,0.03871,17.500,6.04516
57,0.02581,17.500,6.04032
58,0.04839,17.500,6.05806
59,0.03387,17.500,6.04194
59,0.02903,17.500,6.04032
60,0.03065,17.500,6.04516
60,0.03871,17.500,6.04355
61,0.02258,17.500,6.05484
62,0.01935,17.500,6.04677
62,0.02742,17.500,6.04355
63,0.02097,17.500,6.04194
63,0.06452,17.500,6.04516
64,0.02903,17.500,6.04355
65,0.03226,17.500,6.04839
65,0.03226,17.500,6.04355
66,0.03065,17.500,6.03548
66,0.01774,17.500,6.04355
67,0.02742,17.500,6.05161
68,0.02903,17.500,6.04032
68,0.03226,17.500,6.04194
69,0.03387,17.500,6.04516
69,0.03065,17.500,6.05806
70,0.03226,17.500,6.04677
71,0.02742,17.500,6.04032
71,0.03065,17.500,6.04677
72,0.03226,17.500,6.03710
72,0.03387,17.500,6.04355
73,0.03548,17.500,6.04677
74,0.03387,17.500,6.04677
74,0.03710,17.500,6.03871
75,0.03387,17.500,6.03710
75,0.03548,17.500,6.04516
76,0.03065,17.500,6.04839
77,0.02419,17.500,6.04194
77,0.02581,17.500,6.03710
78,0.02903,17.500,6.04355
78,0.03548,17.500,6.04516
79,0.03065,17.500,6.04194
80,0.03065,17.500,6.04355
80,0.03226,17.500,6.04677
81,0.03871,17.500,6.03710
81,0.02581,17.500,6.04194
82,0.03387,17.500,6.04677
82,0.02742,17.500,6.03710
83,0.03387,17.500,6.04677
84,0.03548,17.500,6.04355
84,0.03387,17.500,6.04516
85,0.06613,17.500,6.04032
85,0.02742,17.500,6.05161
86,0.02903,17.500,6.05000
87,0.04355,17.500,6.03871
87,0.03065,17.500,6.03710
88,0.03548,17.500,6.04839
88,0.03065,17.500,6.04355
89,0.05000,17.500,6.03871
90,0.02742,17.500,6.04194
90,0.02581,17.500,6.03871
91,0.02097,17.500,6.05645
91,0.02581,17.500,6.03710
91,0.03871,17.500,6.05000
92,0.03065,17.500,6.04355
92,0.02581,17.500,6.04677
93,0.02581,17.500,6.05161
93,0.03065,17.500,6.04194
94,0.03710,17.500,6.04516
