timestamp,tds_v,tempC,ph_v
20,0.02903,17.500,6.04194
21,0.02742,17.500,6.04194
21,0.03226,17.500,6.04355
22,0.03226,17.500,6.04516
22,0.02581,17.500,6.04839
23,0.03548,17.500,6.04677
23,0.02581,17.500,6.04355
24,0.02903,17.500,6.04355
25,0.02903,17.500,6.04516
25,0.03226,17.500,6.05000
26,0.02742,17.500,6.04194
26,0.02258,17.500,6.04677
27,0.03387,17.500,6.03871
28,0.03065,17.500,6.04516
28,0.02581,17.500,6.05484
29,0.03065,17.500,6.04032
29,0.03387,17.500,6.04677
30,0.02742,17.500,6.04516
31,0.03065,17.500,6.03871
31,0.03710,17.500,6.04516
32,0.03065,17.500,6.04516
32,0.03065,17.500,6.03871
33,0.04032,17.500,6.03871
34,0.03065,17.500,6.04355
34,0.03065,17.500,6.04839
35,0.02419,17.500,6.03871
35,0.03226,17.500,6.03548
36,0.04516,17.500,6.04516
37,0.03226,17.500,6.04032
37,0.03871,17.500,6.05000
37,0.03065,17.500,6.04194
37,0.03226,17.500,6.04032
38,0.02903,17.500,6.04032
39,0.02903,17.500,6.04516
39,0.04355,17.500,6.04839
40,0.03548,17.500,6.05000
40,0.02742,17.500,6.04516
41,0.02742,17.500,6.03710
42,0.03387,17.500,6.04355
42,0.02258,17.500,6.05645
43,0.02903,17.500,6.04839
43,0.03387,17.500,6.04355
44,0.09032,17.500,6.03548
45,0.03871,17.500,6.04677
45,0.03065,17.500,6.04677
46,0.03226,17.500,6.03871
46,0.02903,17.500,6.04516
47,0.03710,17.500,6.04677
47,0.03871,17.500,6.04355
48,0.03226,17.500,6.04839
49,0.02903,17.500,6.04677
49,0.02903,17.500,6.04032
50,0.02581,17.500,6.04677
50,0.02581,17.500,6.04516
51,0.03226,17.500,6.05323
52,0.02258,17.500,6.04355
52,0.03871,17.500,6.03710
53,0.03710,17.500,6.05161
53,0.02419,17.500,6.04194
54,0.05645,17.500,6.05323
55,0.02258,17.500,6.04194
55,0.03387,17.500,6.04677
56,0.02742,17.500,6.04355
56,0.03226,17.500,6.03871
57,0.02903,17.500,6.04516
58,0.03387,17.500,6.04677
58,0.03871,17.500,6.04677
59,0.02419,17.500,6.04839
59,0.03065,17.500,6.04355
60,0.03065,17.500,6.05806
61,0.03065,17.500,6.04677
61,0.04355,17.500,6.04516
62,0.03387,17.500,6.03871
62,0.03548,17.500,6.04355
63,0.04355,17.500,6.05161
64,0.03387,17.500,6.04032
64,0.03065,17.500,6.04516
65,0.03065,17.500,6.03871
65,0.03226,17.500,6.04677
66,0.03226,17.500,6.04355
67,0.03548,17.500,6.04032
67,0.02903,17.500,6.04194
68,0.02742,17.500,6.05161
68,0.03065,17.500,6.04677
69,0.02581,17.500,6.05161
70,0.03226,17.500,6.04355
70,0.03710,17.500,6.05000
71,0.03065,17.500,6.04355
71,0.02742,17.500,6.04516
72,0.02581,17.500,6.05806
73,0.03387,17.500,6.04516
73,0.03387,17.500,6.04839
74,0.03710,17.500,6.04516
74,0.02419,17.500,6.04677
75,0.03387,17.500,6.05000
76,0.03871,17.500,6.04516
76,0.02903,17.500,6.04194
77,0.03226,17.500,6.04194
77,0.03548,17.500,6.04677
78,0.03226,17.500,6.05000
78,0.03226,17.500,6.04194
79,0.03226,17.500,6.04516
79,0.03548,17.500,6.04032
79,0.03226,17.500,6.04677
80,0.03226,17.500,6.05161
80,0.03065,17.500,6.04032
81,0.03387,17.500,6.03710
82,0.03871,17.500,6.05000
82,0.03710,17.500,6.03871
83,0.03548,17.500,6.05484
83,0.03387,17.500,6.05000
84,0.03065,17.500,6.04194
85,0.03387,17.500,6.04516
85,0.03065,17.500,6.04677
86,0.03226,17.500,6.05323
86,0.03710,17.500,6.04516
87,0.02419,17.500,6.04839
88,0.04032,17.500,6.04677
88,0.03226,17.500,6.04516
89,0.04516,17.500,6.05000
89,0.03387,17.500,6.05000
90,0.02581,17.500,6.04355
91,0.03871,17.500,6.04839
91,0.03065,17.500,6.04194
92,0.02742,17.500,6.05000
92,0.02903,17.500,6.05161
93,0.03065,17.500,6.04194
94,0.05161,17.500,6.03710
