timestamp,tds_v,tempC,ph_v
19,0.03065,17.500,6.04839
19,0.02419,17.500,6.04032
20,0.02419,17.500,6.04355
20,0.02903,17.500,6.04677
21,0.02258,17.500,6.04677
22,0.03871,17.500,6.03871
22,0.02742,17.500,6.04516
23,0.03226,17.500,6.03548
23,0.02903,17.500,6.04194
24,0.04194,17.500,6.04677
25,0.03710,17.500,6.04516
25,0.03226,17.500,6.04032
26,0.03548,17.500,6.04516
26,0.03226,17.500,6.04194
27,0.03871,17.500,6.05000
28,0.02903,17.500,6.04032
28,0.04839,17.500,6.04032
29,0.02903,17.500,6.04677
29,0.03710,17.500,6.04516
30,0.02258,17.500,6.04355
31,0.02903,17.500,6.04032
31,0.03387,17.500,6.03871
32,0.03226,17.500,6.04516
32,0.03387,17.500,6.03871
33,0.01935,17.500,6.05000
34,0.03710,17.500,6.03871
34,0.02903,17.500,6.04032
35,0.03387,17.500,6.04839
35,0.03065,17.500,6.04194
36,0.03548,17.500,6.04355
36,0.02903,17.500,6.03387
37,0.03226,17.500,6.03871
38,0.03710,17.500,6.03871
38,0.03065,17.500,6.04194
39,0.02903,17.500,6.04677
39,0.03065,17.500,6.03871
40,0.03387,17.500,6.04194
41,0.03387,17.500,6.04677
41,0.03710,17.500,6.04194
42,0.02903,17.500,6.04516
42,0.03226,17.500,6.04194
43,0.03065,17.500,6.04677
44,0.04032,17.500,6.03871
44,0.03226,17.500,6.03710
45,0.03548,17.500,6.05000
45,0.02903,17.500,6.04355
46,0.03710,17.500,6.04194
47,0.04032,17.500,6.03548
47,0.03710,17.500,6.03871
48,0.02903,17.500,6.05161
48,0.02742,17.500,6.04516
49,0.03387,17.500,6.04677
50,0.03548,17.500,6.04839
50,0.07097,17.500,6.04516
51,0.03387,17.500,6.04839
51,0.02903,17.500,6.03710
52,0.03548,17.500,6.03387
53,0.02903,17.500,6.03548
53,0.03226,17.500,6.04032
54,0.02742,17.500,6.04032
54,0.02742,17.500,6.04355
55,0.03387,17.500,6.04839
56,0.02903,17.500,6.03871
56,0.03065,17.500,6.03871
57,0.03065,17.500,6.05161
57,0.02903,17.500,6.04516
58,0.03387,17.500,6.04516
59,0.03387,17.500,6.05323
59,0.03065,17.500,6.03710
60,0.02419,17.500,6.04839
60,0.03065,17.500,6.04032
60,0.03065,17.500,6.04194
61,0.03387,17.500,6.03548
61,0.03226,17.500,6.04516
62,0.02097,17.500,6.04516
62,0.02903,17.500,6.04032
63,0.02903,17.500,6.04839
64,0.02258,17.500,6.04032
64,0.02097,17.500,6.04516
65,0.03065,17.500,6.05161
65,0.03871,17.500,6.03548
66,0.03065,17.500,6.03871
67,0.03226,17.500,6.04032
67,0.04194,17.500,6.04516
68,0.03065,17.500,6.04032
68,0.03226,17.500,6.04516
69,0.03387,17.500,6.04516
69,0.02903,17.500,6.04355
70,0.03065,17.500,6.03548
71,0.02903,17.500,6.05000
71,0.02903,17.500,6.04032
72,0.03226,17.500,6.03387
72,0.03387,17.500,6.04355
73,0.03065,17.500,6.03710
74,0.02903,17.500,6.04516
74,0.03548,17.500,6.04194
75,0.02419,17.500,6.04355
75,0.03548,17.500,6.04677
76,0.03387,17.500,6.03548
77,0.02258,17.500,6.04355
77,0.03065,17.500,6.03710
78,0.03226,17.500,6.04355
78,0.05323,17.500,6.04839
79,0.03710,17.500,6.04355
80,0.03065,17.500,6.03710
80,0.04355,17.500,6.04194
81,0.04032,17.500,6.04032
81,0.03871,17.500,6.03871
82,0.02581,17.500,6.04194
82,0.03548,17.500,6.04516
83,0.04032,17.500,6.04194
84,0.03548,17.500,6.04194
84,0.03226,17.500,6.04194
85,0.02742,17.500,6.04194
85,0.06452,17.500,6.04516
86,0.02258,17.500,6.03871
87,0.04032,17.500,6.04194
87,0.03065,17.500,6.03710
88,0.02581,17.500,6.03548
88,0.03548,17.500,6.04355
89,0.03548,17.500,6.04194
90,0.04032,17.500,6.04677
90,0.02581,17.500,6.04677
91,0.04032,17.500,6.03871
91,0.03710,17.500,6.04516
92,0.04194,17.500,6.04032
93,0.03548,17.500,6.03871
93,0.03871,17.500,6.04194
94,0.03065,17.500,6.04032
