timestamp,tds_v,tempC,ph_v
20,0.03548,17.500,6.04355
20,0.03387,17.500,6.03871
21,0.03387,17.500,6.04677
21,0.03387,17.500,6.04516
22,0.02903,17.500,6.04355
23,0.02419,17.500,6.04194
23,0.03387,17.500,6.03710
24,0.03387,17.500,6.04677
24,0.03548,17.500,6.04194
25,0.04032,17.500,6.04677
26,0.03226,17.500,6.05161
26,0.02903,17.500,6.03710
27,0.03226,17.500,6.05000
27,0.03710,17.500,6.04355
28,0.03065,17.500,6.05000
29,0.02419,17.500,6.05323
29,0.06452,17.500,6.04839
30,0.03226,17.500,6.04355
30,0.03226,17.500,6.04032
31,0.03226,17.500,6.05161
32,0.02419,17.500,6.03871
32,0.03226,17.500,6.04355
33,0.03710,17.500,6.04355
33,0.05161,17.500,6.04677
34,0.02419,17.500,6.04839
35,0.02742,17.500,6.03387
35,0.03065,17.500,6.04839
36,0.02419,17.500,6.04516
36,0.04194,17.500,6.04032
37,0.03226,17.500,6.04516
38,0.05968,17.500,6.04194
38,0.03387,17.500,6.04194
39,0.03065,17.500,6.04355
39,0.02903,17.500,6.03871
40,0.05484,17.500,6.04839
40,0.03226,17.500,6.04194
41,0.02581,17.500,6.04355
42,0.03065,17.500,6.03710
42,0.02581,17.500,6.04516
42,0.03226,17.500,6.04839
42,0.03387,17.500,6.03871
43,0.04032,17.500,6.04516
44,0.03065,17.500,6.04355
44,0.03548,17.500,6.04839
45,0.03387,17.500,6.04355
45,0.02581,17.500,6.04516
46,0.02742,17.500,6.04839
47,0.03226,17.500,6.04839
47,0.03548,17.500,6.04355
48,0.03387,17.500,6.04194
48,0.02903,17.500,6.04355
49,0.02903,17.500,6.04355
50,0.03548,17.500,6.04839
50,0.03065,17.500,6.04194
51,0.03226,17.500,6.04194
51,0.02742,17.500,6.03871
52,0.02742,17.500,6.04516
53,0.03065,17.500,6.03548
53,0.04839,17.500,6.03548
54,0.02258,17.500,6.04677
54,0.04032,17.500,6.04516
55,0.03871,17.500,6.03871
56,0.02742,17.500,6.04194
56,0.03387,17.500,6.03710
57,0.03548,17.500,6.05000
57,0.03387,17.500,6.04677
58,0.03871,17.500,6.03871
59,0.02419,17.500,6.04194
59,0.02581,17.500,6.04032
60,0.04194,17.500,6.04194
60,0.02097,17.500,6.04194
61,0.03710,17.500,6.04355
62,0.03226,17.500,6.04194
62,0.01613,17.500,6.03548
63,0.03871,17.500,6.04677
63,0.03226,17.500,6.03710
64,0.02903,17.500,6.04032
65,0.03065,17.500,6.04839
65,0.03065,17.500,6.04677
66,0.03548,17.500,6.04677
66,0.03065,17.500,6.04194
67,0.02419,17.500,6.04677
68,0.02742,17.500,6.04032
68,0.02903,17.500,6.04355
69,0.02903,17.500,6.04355
69,0.04194,17.500,6.03710
70,0.02742,17.500,6.04032
70,0.04677,17.500,6.04516
71,0.03871,17.500,6.04677
72,0.02742,17.500,6.04194
72,0.02742,17.500,6.04516
73,0.03226,17.500,6.03871
73,0.03548,17.500,6.04194
74,0.03710,17.500,6.04516
75,0.04032,17.500,6.04355
75,0.03065,17.500,6.04032
76,0.02903,17.500,6.04032
76,0.03387,17.500,6.04032
77,0.03548,17.500,6.04355
78,0.03710,17.500,6.05968
78,0.03226,17.500,6.03710
79,0.03065,17.500,6.03871
79,0.03710,17.500,6.04516
80,0.03710,17.500,6.04355
81,0.03710,17.500,6.04032
81,0.03871,17.500,6.04677
82,0.03065,17.500,6.04677
82,0.02581,17.500,6.04194
83,0.02903,17.500,6.03548
83,0.03387,17.500,6.03548
83,0.03226,17.500,6.04677
84,0.02903,17.500,6.04032
84,0.02903,17.500,6.03871
85,0.03710,17.500,6.04839
85,0.03548,17.500,6.04677
86,0.03548,17.500,6.04032
87,0.03387,17.500,6.04032
87,0.03387,17.500,6.04839
88,0.03710,17.500,6.04355
88,0.02903,17.500,6.05000
89,0.03065,17.500,6.04194
90,0.03387,17.500,6.04677
90,0.03065,17.500,6.04032
91,0.02903,17.500,6.05161
91,0.03226,17.500,6.04839
92,0.03226,17.500,6.03871
93,0.02419,17.500,6.04516
93,0.03548,17.500,6.03710
94,0.03065,17.500,6.04677
