timestamp,tds_v,tempC,ph_v
19,0.02258,17.500,6.02903
19,0.03710,17.500,6.04032
20,0.02581,17.500,6.03226
21,0.02903,17.500,6.03548
21,0.02097,17.500,6.03871
22,0.03065,17.500,6.03871
22,0.02258,17.500,6.04355
23,0.01774,17.500,6.02581
23,0.02903,17.500,6.03065
24,0.02742,17.500,6.04194
25,0.03065,17.500,6.03710
25,0.01613,17.500,6.03871
26,0.02581,17.500,6.03387
26,0.02581,17.500,6.03871
27,0.02903,17.500,6.03226
28,0.02742,17.500,6.03871
28,0.02097,17.500,6.03226
29,0.02581,17.500,6.04032
29,0.03387,17.500,6.03548
30,0.03226,17.500,6.03710
31,0.02419,17.500,6.03226
31,0.03065,17.500,6.03710
32,0.02581,17.500,6.03387
32,0.02581,17.500,6.02742
33,0.02581,17.500,6.03065
34,0.02419,17.500,6.03226
34,0.02258,17.500,6.04032
35,0.03226,17.500,6.02903
35,0.02903,17.500,6.03548
36,0.02903,17.500,6.03065
37,0.03548,17.500,6.02903
37,0.02581,17.500,6.03871
38,0.02903,17.500,6.03548
38,0.03065,17.500,6.03387
39,0.02903,17.500,6.03871
40,0.02581,17.500,6.03710
40,0.03065,17.500,6.03871
41,0.05161,17.500,6.03710
41,0.02258,17.500,6.03871
42,0.03226,17.500,6.03065
43,0.02419,17.500,6.03226
43,0.01935,17.500,6.03226
44,0.02903,17.500,6.03387
44,0.04677,17.500,6.02742
45,0.03710,17.500,6.04032
45,0.01774,17.500,6.03387
46,0.02742,17.500,6.03710
47,0.02903,17.500,6.03387
47,0.02097,17.500,6.03387
48,0.02742,17.500,6.03710
49,0.03065,17.500,6.03548
49,0.02097,17.500,6.04516
50,0.03065,17.500,6.03387
50,0.02258,17.500,6.03548
51,0.03548,17.500,6.03871
52,0.03710,17.500,6.03710
52,0.02581,17.500,6.03226
52,0.02903,17.500,6.03871
52,0.02903,17.500,6.03548
53,0.03065,17.500,6.02581
54,0.02258,17.500,6.03710
54,0.02258,17.500,6.03710
55,0.02581,17.500,6.04677
55,0.03226,17.500,6.03548
56,0.02581,17.500,6.04032
57,0.02742,17.500,6.03710
57,0.04194,17.500,6.03548
58,0.02903,17.500,6.03548
58,0.02097,17.500,6.03871
59,0.02903,17.500,6.03548
59,0.03226,17.500,6.04032
60,0.02742,17.500,6.03548
61,0.03710,17.500,6.03548
61,0.02419,17.500,6.03548
62,0.03065,17.500,6.03548
62,0.03065,17.500,6.03226
63,0.03226,17.500,6.03548
64,0.02419,17.500,6.03710
64,0.02419,17.500,6.03387
65,0.02903,17.500,6.03548
65,0.01290,17.500,6.03710
66,0.03226,17.500,6.03871
67,0.03065,17.500,6.03387
67,0.02903,17.500,6.02742
68,0.03065,17.500,6.03710
68,0.02742,17.500,6.02742
69,0.04677,17.500,6.03387
69,0.03871,17.500,6.04032
70,0.03710,17.500,6.03387
71,0.02903,17.500,6.03387
71,0.02742,17.500,6.03226
72,0.03065,17.500,6.03226
72,0.02581,17.500,6.03548
73,0.02903,17.500,6.02742
74,0.02581,17.500,6.02742
74,0.03226,17.500,6.03226
75,0.03065,17.500,6.03548
75,0.03065,17.500,6.03548
76,0.03065,17.500,6.04032
77,0.03710,17.500,6.03548
77,0.02419,17.500,6.03065
78,0.02903,17.500,6.03548
78,0.03548,17.500,6.03710
79,0.02258,17.500,6.03387
80,0.01452,17.500,6.03226
80,0.01935,17.500,6.03548
81,0.02903,17.500,6.03065
81,0.02742,17.500,6.03871
82,0.03065,17.500,6.04032
83,0.03226,17.500,6.03871
83,0.03065,17.500,6.03226
84,0.02742,17.500,6.03226
84,0.04194,17.500,6.03710
85,0.02419,17.500,6.04032
86,0.03387,17.500,6.03871
86,0.03387,17.500,6.03871
87,0.02903,17.500,6.03871
87,0.04194,17.500,6.04355
88,0.02903,17.500,6.03710
89,0.02742,17.500,6.03871
89,0.02903,17.500,6.03548
90,0.04355,17.500,6.03226
90,0.03226,17.500,6.03710
91,0.02742,17.500,6.03065
92,0.02419,17.500,6.03548
92,0.03065,17.500,6.03226
93,0.03065,17.500,6.03065
93,0.03226,17.500,6.03710
93,0.02581,17.500,6.03710
94,0.02258,17.500,6.03387
