timestamp,tds_v,tempC,ph_v
20,0.01935,17.500,6.03226
20,0.02742,17.500,6.03226
20,0.02903,17.500,6.03387
21,0.02419,17.500,6.03226
21,0.02258,17.500,6.03548
22,0.01290,17.500,6.03387
22,0.02097,17.500,6.03387
23,0.02742,17.500,6.03226
24,0.02742,17.500,6.03710
24,0.02097,17.500,6.04032
25,0.02903,17.500,6.03387
25,0.02258,17.500,6.03710
26,0.02742,17.500,6.03065
27,0.03387,17.500,6.03710
27,0.02903,17.500,6.04355
28,0.03226,17.500,6.03871
28,0.02258,17.500,6.04194
29,0.02419,17.500,6.03065
30,0.02419,17.500,6.03548
30,0.03065,17.500,6.03871
31,0.03226,17.500,6.03710
31,0.02742,17.500,6.04516
32,0.01452,17.500,6.03226
33,0.03548,17.500,6.03065
33,0.02742,17.500,6.03710
34,0.03710,17.500,6.04032
34,0.02903,17.500,6.03226
35,0.01935,17.500,6.03387
36,0.03065,17.500,6.04194
36,0.02419,17.500,6.03065
37,0.02258,17.500,6.03226
37,0.03710,17.500,6.02742
38,0.03065,17.500,6.03226
39,0.02097,17.500,6.03548
39,0.02097,17.500,6.04194
40,0.02419,17.500,6.03387
40,0.02419,17.500,6.03226
41,0.03065,17.500,6.03548
42,0.02903,17.500,6.03710
42,0.04032,17.500,6.03548
43,0.03387,17.500,6.03226
43,0.03387,17.500,6.03710
44,0.03226,17.500,6.03871
44,0.02742,17.500,6.03548
45,0.02097,17.500,6.04194
46,0.02581,17.500,6.03710
46,0.02581,17.500,6.03226
47,0.02903,17.500,6.04032
47,0.02581,17.500,6.03871
48,0.02581,17.500,6.04032
49,0.02258,17.500,6.03548
49,0.03065,17.500,6.04677
50,0.03065,17.500,6.04194
50,0.02097,17.500,6.04194
51,0.03065,17.500,6.03710
52,0.03548,17.500,6.04032
52,0.02742,17.500,6.03548
53,0.02742,17.500,6.03548
53,0.02903,17.500,6.03871
54,0.02419,17.500,6.04194
55,0.03226,17.500,6.03710
55,0.02419,17.500,6.03226
56,0.02581,17.500,6.03548
56,0.02742,17.500,6.03387
57,0.02581,17.500,6.03710
58,0.02581,17.500,6.03226
58,0.03065,17.500,6.03548
59,0.02742,17.500,6.03871
59,0.03387,17.500,6.04032
60,0.02742,17.500,6.03387
61,0.02581,17.500,6.03226
61,0.03548,17.500,6.04194
62,0.02419,17.500,6.04516
62,0.03226,17.500,6.04194
62,0.02903,17.500,6.03871
63,0.06613,17.500,6.03387
63,0.02097,17.500,6.03065
64,0.02742,17.500,6.04677
64,0.03065,17.500,6.03710
65,0.02419,17.500,6.04355
66,0.03065,17.500,6.03710
66,0.02258,17.500,6.04032
67,0.02258,17.500,6.04194
67,0.02419,17.500,6.03710
68,0.02742,17.500,6.03226
69,0.02742,17.500,6.04032
69,0.03387,17.500,6.03387
70,0.03710,17.500,6.03548
70,0.02419,17.500,6.03710
71,0.02903,17.500,6.03065
72,0.02419,17.500,6.03226
72,0.02097,17.500,6.03548
73,0.03710,17.500,6.03548
73,0.03065,17.500,6.03710
74,0.03226,17.500,6.03387
75,0.02258,17.500,6.03871
75,0.03548,17.500,6.03548
76,0.03226,17.500,6.04839
76,0.02742,17.500,6.02419
77,0.02903,17.500,6.03065
78,0.03065,17.500,6.03065
78,0.02581,17.500,6.03710
79,0.02258,17.500,6.03548
79,0.02419,17.500,6.03226
80,0.03065,17.500,6.03548
81,0.03710,17.500,6.02903
81,0.05806,17.500,6.03710
82,0.03226,17.500,6.03871
82,0.02581,17.500,6.03871
83,0.02581,17.500,6.03226
83,0.02742,17.500,6.03548
84,0.02742,17.500,6.03387
85,0.03226,17.500,6.02903
85,0.02903,17.500,6.04032
86,0.02903,17.500,6.03710
86,0.02581,17.500,6.03065
87,0.03710,17.500,6.03548
88,0.02581,17.500,6.03710
88,0.02903,17.500,6.03710
89,0.02419,17.500,6.03387
89,0.02903,17.500,6.03710
90,0.02097,17.500,6.03387
91,0.01935,17.500,6.03548
91,0.03871,17.500,6.03065
92,0.02581,17.500,6.03226
92,0.02742,17.500,6.03387
93,0.02581,17.500,6.04032
93,0.02258,17.500,6.03710
94,0.03065,17.500,6.03065
