timestamp,tds_v,tempC,ph_v
20,0.02742,17.500,6.03548
20,0.02258,17.500,6.03387
21,0.03710,17.500,6.04355
22,0.02581,17.500,6.03226
22,0.02581,17.500,6.04516
23,0.02742,17.500,6.03065
23,0.02581,17.500,6.04355
24,0.03065,17.500,6.03710
25,0.02903,17.500,6.03871
25,0.03065,17.500,6.03226
26,0.03387,17.500,6.03871
26,0.02581,17.500,6.03548
27,0.03065,17.500,6.04355
28,0.04516,17.500,6.04516
28,0.02742,17.500,6.04032
29,0.03226,17.500,6.04516
29,0.02742,17.500,6.03871
30,0.02581,17.500,6.04677
31,0.03387,17.500,6.03387
31,0.02419,17.500,6.04355
32,0.03226,17.500,6.03548
32,0.03065,17.500,6.03387
33,0.03548,17.500,6.04194
33,0.03065,17.500,6.04194
33,0.03548,17.500,6.03871
34,0.02903,17.500,6.04032
34,0.03548,17.500,6.04032
35,0.03065,17.500,6.04355
36,0.02903,17.500,6.04194
36,0.02419,17.500,6.04194
37,0.03065,17.500,6.04355
37,0.02903,17.500,6.03548
38,0.03871,17.500,6.05161
39,0.02903,17.500,6.03710
39,0.02419,17.500,6.03226
40,0.02742,17.500,6.03387
40,0.08065,17.500,6.03710
41,0.03065,17.500,6.04677
42,0.02419,17.500,6.03710
42,0.02742,17.500,6.03710
43,0.03065,17.500,6.03548
43,0.04194,17.500,6.04194
44,0.02742,17.500,6.03548
44,0.02742,17.500,6.04355
45,0.03387,17.500,6.03871
46,0.02742,17.500,6.03871
46,0.02742,17.500,6.03387
47,0.04677,17.500,6.04032
47,0.02581,17.500,6.04032
48,0.02581,17.500,6.03710
49,0.03387,17.500,6.04355
49,0.02903,17.500,6.03871
50,0.02742,17.500,6.04032
50,0.02581,17.500,6.03710
51,0.03387,17.500,6.04032
52,0.03065,17.500,6.04355
52,0.03387,17.500,6.03710
53,0.03065,17.500,6.04355
53,0.03065,17.500,6.03871
54,0.03065,17.500,6.03871
55,0.03387,17.500,6.03710
55,0.03387,17.500,6.04194
56,0.02742,17.500,6.04194
56,0.03226,17.500,6.04032
57,0.02581,17.500,6.03871
58,0.03065,17.500,6.04032
58,0.02742,17.500,6.04032
59,0.03226,17.500,6.04355
59,0.02097,17.500,6.03871
60,0.03710,17.500,6.04355
61,0.02258,17.500,6.04194
61,0.03871,17.500,6.03710
62,0.01452,17.500,6.05161
62,0.03387,17.500,6.03710
63,0.03387,17.500,6.03871
64,0.03065,17.500,6.03710
64,0.02581,17.500,6.03710
65,0.03387,17.500,6.03387
65,0.02742,17.500,6.03710
66,0.03548,17.500,6.03548
67,0.02258,17.500,6.03710
67,0.03387,17.500,6.03871
68,0.02903,17.500,6.03710
68,0.03548,17.500,6.03871
69,0.02097,17.500,6.03387
69,0.02419,17.500,6.04194
70,0.03226,17.500,6.03871
71,0.03065,17.500,6.04677
71,0.03065,17.500,6.04032
72,0.02903,17.500,6.03871
72,0.02097,17.500,6.03871
73,0.02581,17.500,6.03710
74,0.02903,17.500,6.03871
74,0.02903,17.500,6.04032
74,0.03226,17.500,6.03387
74,0.03548,17.500,6.03387
75,0.04839,17.500,6.03710
76,0.02581,17.500,6.04032
76,0.03065,17.500,6.03387
77,0.02581,17.500,6.03226
77,0.03065,17.500,6.03871
78,0.03548,17.500,6.04032
78,0.03226,17.500,6.03548
79,0.03226,17.500,6.04194
80,0.03065,17.500,6.03710
80,0.03065,17.500,6.04516
81,0.02742,17.500,6.04355
81,0.02419,17.500,6.04839
82,0.03387,17.500,6.03710
83,0.02258,17.500,6.04355
83,0.03226,17.500,6.03710
84,0.02581,17.500,6.03871
84,0.02742,17.500,6.05000
85,0.02419,17.500,6.03710
86,0.02903,17.500,6.04194
86,0.02742,17.500,6.03548
87,0.03387,17.500,6.04194
87,0.03065,17.500,6.04677
88,0.02581,17.500,6.03710
89,0.03226,17.500,6.03871
89,0.03226,17.500,6.03548
90,0.02581,17.500,6.03710
90,0.02742,17.500,6.04194
91,0.02581,17.500,6.03871
92,0.03226,17.500,6.03548
92,0.03226,17.500,6.03710
93,0.03226,17.500,6.03226
93,0.03548,17.500,6.04032
94,0.03710,17.500,6.02903
