timestamp,tds_v,tempC,ph_v
19,0.02419,17.500,6.03548
20,0.04355,17.500,6.03871
20,0.02097,17.500,6.03065
21,0.02419,17.500,6.02903
22,0.02097,17.500,6.04032
22,0.02742,17.500,6.02903
23,0.02581,17.500,6.02903
23,0.02419,17.500,6.03871
24,0.02258,17.500,6.03710
24,0.02742,17.500,6.03548
25,0.04839,17.500,6.03226
26,0.02581,17.500,6.03710
26,0.02903,17.500,6.03226
27,0.03387,17.500,6.03065
27,0.02581,17.500,6.03871
28,0.02742,17.500,6.03226
29,0.02903,17.500,6.03065
29,0.03226,17.500,6.03871
30,0.02903,17.500,6.03387
30,0.03226,17.500,6.03710
30,0.03548,17.500,6.04032
31,0.02903,17.500,6.03710
31,0.03065,17.500,6.03387
32,0.03548,17.500,6.03387
32,0.01613,17.500,6.04516
33,0.03387,17.500,6.03710
34,0.02742,17.500,6.03548
34,0.02903,17.500,6.03548
35,0.02903,17.500,6.03226
35,0.02903,17.500,6.04032
36,0.02742,17.500,6.03226
37,0.03226,17.500,6.04032
37,0.03065,17.500,6.03387
38,0.02419,17.500,6.04032
38,0.03065,17.500,6.04677
39,0.02903,17.500,6.03226
40,0.02419,17.500,6.02742
40,0.04032,17.500,6.03871
41,0.02097,17.500,6.03387
41,0.03548,17.500,6.04355
42,0.03387,17.500,6.03226
43,0.03065,17.500,6.03387
43,0.02903,17.500,6.03226
44,0.02581,17.500,6.03387
44,0.02903,17.500,6.03710
45,0.03548,17.500,6.03710
46,0.03226,17.500,6.04194
46,0.02097,17.500,6.04032
47,0.01935,17.500,6.03548
47,0.02742,17.500,6.03548
48,0.02742,17.500,6.03226
49,0.03548,17.500,6.03387
49,0.03387,17.500,6.04355
50,0.02903,17.500,6.03065
50,0.02903,17.500,6.03387
51,0.02419,17.500,6.02903
52,0.04032,17.500,6.03387
52,0.01935,17.500,6.03871
53,0.03548,17.500,6.03871
53,0.02097,17.500,6.03226
54,0.02903,17.500,6.03710
55,0.02581,17.500,6.03548
55,0.02419,17.500,6.03871
56,0.03226,17.500,6.03065
56,0.02742,17.500,6.03871
57,0.03065,17.500,6.03065
58,0.02742,17.500,6.04032
58,0.02581,17.500,6.03548
59,0.03387,17.500,6.04194
59,0.02419,17.500,6.03387
60,0.01613,17.500,6.04032
61,0.01774,17.500,6.04355
61,0.02903,17.500,6.04355
62,0.03548,17.500,6.03710
62,0.02419,17.500,6.03387
63,0.01935,17.500,6.03226
63,0.02097,17.500,6.03065
64,0.02258,17.500,6.04032
65,0.03548,17.500,6.03387
65,0.04194,17.500,6.03065
66,0.03226,17.500,6.04032
66,0.03387,17.500,6.04355
67,0.03226,17.500,6.03548
68,0.03548,17.500,6.03226
68,0.02742,17.500,6.03710
69,0.02903,17.500,6.03387
69,0.02258,17.500,6.03548
70,0.01935,17.500,6.03871
71,0.01935,17.500,6.02903
71,0.03710,17.500,6.03548
72,0.03226,17.500,6.03548
72,0.02742,17.500,6.04032
72,0.02581,17.500,6.04194
73,0.03065,17.500,6.03387
73,0.03065,17.500,6.04516
74,0.02581,17.500,6.04355
74,0.03226,17.500,6.03226
75,0.01774,17.500,6.03710
76,0.02742,17.500,6.03710
76,0.02903,17.500,6.03871
77,0.01935,17.500,6.04355
77,0.03065,17.500,6.03387
78,0.02742,17.500,6.04355
79,0.04032,17.500,6.03548
79,0.01774,17.500,6.03871
80,0.03387,17.500,6.04516
80,0.02097,17.500,6.02419
81,0.02419,17.500,6.04032
82,0.02903,17.500,6.04194
82,0.02742,17.500,6.03387
83,0.02258,17.500,6.03871
83,0.02419,17.500,6.03548
84,0.03387,17.500,6.04355
85,0.03387,17.500,6.03871
85,0.01774,17.500,6.04032
86,0.02097,17.500,6.04516
86,0.02581,17.500,6.03387
87,0.02419,17.500,6.04516
88,0.01774,17.500,6.03710
88,0.02742,17.500,6.03548
89,0.03710,17.500,6.04194
89,0.03065,17.500,6.03548
90,0.02419,17.500,6.04194
91,0.02419,17.500,6.03710
91,0.03065,17.500,6.04032
92,0.02581,17.500,6.03871
92,0.03548,17.500,6.03387
93,0.03710,17.500,6.03387
93,0.02903,17.500,6.04516
94,0.02097,17.500,6.03710
