timestamp,tds_v,tempC,ph_v
18,0.02419,17.500,6.03548
19,0.06452,17.500,6.03710
19,0.02581,17.500,6.03226
20,0.03065,17.500,6.03065
21,0.03387,17.500,6.03871
21,0.02742,17.500,6.03548
22,0.03548,17.500,6.03065
22,0.03065,17.500,6.03871
23,0.02742,17.500,6.03710
23,0.02903,17.500,6.03871
24,0.02097,17.500,6.03710
25,0.03065,17.500,6.04032
25,0.02581,17.500,6.03548
26,0.02903,17.500,6.03871
26,0.02419,17.500,6.03226
27,0.03548,17.500,6.03871
28,0.02903,17.500,6.03548
28,0.02097,17.500,6.03065
29,0.03548,17.500,6.04032
29,0.02742,17.500,6.03710
30,0.02419,17.500,6.02903
31,0.02419,17.500,6.03226
31,0.02419,17.500,6.03710
32,0.02258,17.500,6.03871
32,0.02742,17.500,6.04194
33,0.03548,17.500,6.02581
34,0.02742,17.500,6.02742
34,0.03065,17.500,6.03710
35,0.03065,17.500,6.03548
35,0.03065,17.500,6.03226
36,0.03387,17.500,6.04194
37,0.02903,17.500,6.04032
37,0.02419,17.500,6.03226
38,0.02742,17.500,6.03871
38,0.03226,17.500,6.03871
39,0.02419,17.500,6.03065
40,0.02258,17.500,6.03226
40,0.02581,17.500,6.04032
41,0.03226,17.500,6.03387
41,0.02903,17.500,6.03387
42,0.03226,17.500,6.04032
43,0.02581,17.500,6.03548
43,0.02581,17.500,6.04032
44,0.02258,17.500,6.03065
44,0.01774,17.500,6.04194
45,0.03387,17.500,6.03065
46,0.03387,17.500,6.03548
46,0.02742,17.500,6.03710
47,0.02903,17.500,6.04032
47,0.02742,17.500,6.03871
48,0.03226,17.500,6.04355
49,0.02903,17.500,6.03387
49,0.03871,17.500,6.03710
50,0.03548,17.500,6.03387
50,0.01935,17.500,6.03710
51,0.03065,17.500,6.03710
52,0.03065,17.500,6.03548
52,0.03226,17.500,6.04194
53,0.02419,17.500,6.03387
53,0.02742,17.500,6.04194
54,0.02258,17.500,6.03710
54,0.03548,17.500,6.03871
55,0.02742,17.500,6.04032
56,0.02581,17.500,6.04032
56,0.03226,17.500,6.03710
57,0.03065,17.500,6.04194
57,0.02258,17.500,6.04194
58,0.03226,17.500,6.03548
59,0.02419,17.500,6.03710
59,0.02742,17.500,6.03387
59,0.02742,17.500,6.03548
59,0.03226,17.500,6.03387
60,0.02742,17.500,6.03871
61,0.03226,17.500,6.04194
61,0.02419,17.500,6.04032
62,0.03065,17.500,6.03548
62,0.02903,17.500,6.03871
63,0.02097,17.500,6.03065
64,0.02742,17.500,6.04355
64,0.06613,17.500,6.03710
65,0.03387,17.500,6.04032
65,0.02903,17.500,6.03871
66,0.03065,17.500,6.03387
67,0.03226,17.500,6.03871
67,0.02258,17.500,6.03710
68,0.02903,17.500,6.04032
68,0.01774,17.500,6.03871
69,0.02742,17.500,6.03548
70,0.03226,17.500,6.04032
70,0.02097,17.500,6.03387
71,0.04516,17.500,6.03548
71,0.03548,17.500,6.04032
72,0.03387,17.500,6.03710
73,0.03548,17.500,6.03387
73,0.03226,17.500,6.03871
74,0.02903,17.500,6.03548
74,0.03548,17.500,6.03871
75,0.02258,17.500,6.03710
76,0.02742,17.500,6.03871
76,0.03226,17.500,6.03548
77,0.03387,17.500,6.03226
77,0.02581,17.500,6.04032
78,0.01935,17.500,6.04032
79,0.02903,17.500,6.03548
79,0.02419,17.500,6.03226
80,0.03387,17.500,6.03871
80,0.05968,17.500,6.03065
81,0.02742,17.500,6.03871
82,0.02903,17.500,6.03387
82,0.03226,17.500,6.02742
83,0.02903,17.500,6.02903
83,0.02903,17.500,6.03226
84,0.03387,17.500,6.03387
85,0.03548,17.500,6.03710
85,0.02419,17.500,6.04032
86,0.03226,17.500,6.04032
86,0.03065,17.500,6.03871
87,0.01935,17.500,6.04355
88,0.02742,17.500,6.03226
88,0.02258,17.500,6.02742
89,0.02419,17.500,6.03387
89,0.02581,17.500,6.03871
90,0.03710,17.500,6.04355
90,0.03710,17.500,6.03387
91,0.02581,17.500,6.03226
92,0.01290,17.500,6.04677
92,0.02419,17.500,6.03387
93,0.02742,17.500,6.03387
93,0.03548,17.500,6.04032
94,0.03548,17.500,6.03548
