timestamp,tds_v,tempC,ph_v
19,0.02419,17.500,6.03871
19,0.02097,17.500,6.04032
20,0.02742,17.500,6.03871
21,0.02258,17.500,6.03871
21,0.03065,17.500,6.03387
22,0.02903,17.500,6.04032
22,0.02581,17.500,6.03710
23,0.01129,17.500,6.03387
24,0.02419,17.500,6.03548
24,0.03387,17.500,6.04194
25,0.02581,17.500,6.03226
25,0.02419,17.500,6.03387
26,0.01452,17.500,6.03226
27,0.02581,17.500,6.02581
27,0.02258,17.500,6.03548
28,0.02581,17.500,6.03871
28,0.02903,17.500,6.02903
29,0.02097,17.500,6.03548
30,0.03065,17.500,6.03548
30,0.02258,17.500,6.04032
31,0.03065,17.500,6.03226
31,0.02097,17.500,6.02581
32,0.02419,17.500,6.03226
33,0.01774,17.500,6.03710
33,0.02097,17.500,6.03871
34,0.02742,17.500,6.03065
34,0.02903,17.500,6.03387
35,0.03226,17.500,6.03710
36,0.02419,17.500,6.03065
36,0.02097,17.500,6.03710
37,0.02903,17.500,6.03871
37,0.01290,17.500,6.03871
38,0.03065,17.500,6.04194
38,0.03065,17.500,6.03548
39,0.03226,17.500,6.04032
40,0.03226,17.500,6.04194
40,0.03226,17.500,6.03871
41,0.02742,17.500,6.03871
41,0.01935,17.500,6.03871
42,0.02903,17.500,6.03387
43,0.02581,17.500,6.03871
43,0.03065,17.500,6.04032
43,0.03226,17.500,6.03710
43,0.02742,17.500,6.04355
44,0.02258,17.500,6.04677
45,0.01452,17.500,6.03387
45,0.03548,17.500,6.04032
46,0.02258,17.500,6.03065
46,0.03065,17.500,6.03226
47,0.02419,17.500,6.04677
48,0.02581,17.500,6.03871
48,0.03548,17.500,6.03710
49,0.02903,17.500,6.03387
49,0.03065,17.500,6.04194
50,0.02742,17.500,6.04677
51,0.01935,17.500,6.03387
51,0.03065,17.500,6.03226
52,0.03226,17.500,6.03226
52,0.03065,17.500,6.02742
53,0.02097,17.500,6.03548
54,0.02742,17.500,6.03548
54,0.03065,17.500,6.03065
55,0.02581,17.500,6.03387
55,0.02258,17.500,6.03065
56,0.02903,17.500,6.03065
57,0.03226,17.500,6.03065
57,0.01935,17.500,6.03226
58,0.02742,17.500,6.03548
58,0.03065,17.500,6.03226
59,0.03226,17.500,6.04032
60,0.02742,17.500,6.02903
60,0.03387,17.500,6.03387
61,0.02258,17.500,6.03548
61,0.02903,17.500,6.03548
62,0.03065,17.500,6.04032
63,0.03387,17.500,6.03710
63,0.02903,17.500,6.03548
64,0.02419,17.500,6.03710
64,0.04677,17.500,6.03065
65,0.02903,17.500,6.04194
65,0.02742,17.500,6.04032
66,0.03226,17.500,6.03871
67,0.03065,17.500,6.03548
67,0.03710,17.500,6.03871
68,0.02258,17.500,6.03710
68,0.02581,17.500,6.03548
69,0.03065,17.500,6.03548
70,0.02581,17.500,6.03226
70,0.01774,17.500,6.03548
71,0.03065,17.500,6.03871
71,0.02097,17.500,6.03548
72,0.02903,17.500,6.03710
73,0.02742,17.500,6.03226
73,0.02419,17.500,6.04032
74,0.02581,17.500,6.03226
74,0.02419,17.500,6.04032
75,0.03226,17.500,6.03548
76,0.03065,17.500,6.03548
76,0.02742,17.500,6.04355
77,0.02581,17.500,6.03710
77,0.01935,17.500,6.03387
78,0.02742,17.500,6.03548
79,0.02742,17.500,6.03710
79,0.03065,17.500,6.04194
80,0.03065,17.500,6.03226
80,0.03710,17.500,6.03548
81,0.02742,17.500,6.03710
81,0.03226,17.500,6.04839
82,0.02581,17.500,6.02903
83,0.03387,17.500,6.03548
83,0.02903,17.500,6.03548
84,0.02903,17.500,6.04032
84,0.03710,17.500,6.04194
84,0.02419,17.500,6.03387
85,0.02903,17.500,6.03710
85,0.02742,17.500,6.04032
86,0.02742,17.500,6.03226
86,0.02258,17.500,6.04516
87,0.02581,17.500,6.03710
88,0.03871,17.500,6.04032
88,0.02581,17.500,6.03710
89,0.01935,17.500,6.03226
89,0.03871,17.500,6.04032
90,0.03065,17.500,6.03387
91,0.02581,17.500,6.03548
91,0.02742,17.500,6.04355
92,0.01935,17.500,6.03387
92,0.01935,17.500,6.04677
93,0.02419,17.500,6.03871
94,0.02097,17.500,6.03548
