timestamp,tds_v,tempC,ph_v
19,0.02581,17.500,6.03387
19,0.01774,17.500,6.03871
20,0.02903,17.500,6.03387
21,0.03710,17.500,6.03710
21,0.02581,17.500,6.03548
22,0.02903,17.500,6.03710
22,0.03065,17.500,6.03387
23,0.02258,17.500,6.03065
24,0.02581,17.500,6.04032
24,0.02742,17.500,6.03710
25,0.03226,17.500,6.03710
25,0.01129,17.500,6.03065
26,0.02581,17.500,6.03710
27,0.02258,17.500,6.03548
27,0.02742,17.500,6.04516
28,0.02742,17.500,6.03548
28,0.02581,17.500,6.04194
29,0.03065,17.500,6.03226
30,0.03226,17.500,6.02903
30,0.02419,17.500,6.04355
31,0.02419,17.500,6.03226
31,0.03548,17.500,6.03548
32,0.02419,17.500,6.04194
33,0.03065,17.500,6.03548
33,0.03387,17.500,6.03387
34,0.02581,17.500,6.04194
34,0.02742,17.500,6.04032
35,0.02419,17.500,6.04032
36,0.03065,17.500,6.04194
36,0.03065,17.500,6.04194
37,0.04677,17.500,6.03548
37,0.02903,17.500,6.04032
38,0.02742,17.500,6.03710
39,0.02742,17.500,6.03226
39,0.02419,17.500,6.04032
40,0.02581,17.500,6.03548
40,0.03065,17.500,6.03871
41,0.02258,17.500,6.03226
41,0.02742,17.500,6.03871
42,0.03387,17.500,6.03548
43,0.05484,17.500,6.03226
43,0.02903,17.500,6.04194
44,0.02581,17.500,6.03710
44,0.02903,17.500,6.04194
45,0.03065,17.500,6.04032
46,0.03226,17.500,6.04032
46,0.02581,17.500,6.02903
47,0.02742,17.500,6.03065
47,0.02742,17.500,6.04194
48,0.03710,17.500,6.04032
49,0.02581,17.500,6.03710
49,0.04516,17.500,6.03387
50,0.02581,17.500,6.04032
50,0.03065,17.500,6.03710
51,0.02581,17.500,6.03871
52,0.03065,17.500,6.04032
52,0.02419,17.500,6.04516
53,0.02581,17.500,6.03387
53,0.02903,17.500,6.03387
54,0.02419,17.500,6.03548
55,0.02903,17.500,6.04032
55,0.02581,17.500,6.04032
56,0.02581,17.500,6.03548
56,0.03548,17.500,6.03710
56,0.03226,17.500,6.03871
57,0.05645,17.500,6.03871
57,0.02419,17.500,6.03226
58,0.02742,17.500,6.03548
58,0.02903,17.500,6.04194
59,0.02258,17.500,6.03710
60,0.01774,17.500,6.03710
60,0.03387,17.500,6.03710
61,0.03226,17.500,6.04194
61,0.03226,17.500,6.04194
62,0.02258,17.500,6.03871
62,0.02581,17.500,6.04194
63,0.02581,17.500,6.03387
64,0.03065,17.500,6.04355
64,0.03065,17.500,6.02903
65,0.03548,17.500,6.03387
65,0.03065,17.500,6.03548
66,0.03226,17.500,6.03387
67,0.03226,17.500,6.03226
67,0.02742,17.500,6.03710
68,0.02258,17.500,6.04194
68,0.02419,17.500,6.04032
69,0.02581,17.500,6.03387
70,0.02258,17.500,6.04032
70,0.03065,17.500,6.03710
71,0.03387,17.500,6.03871
71,0.03871,17.500,6.03710
72,0.03387,17.500,6.03871
73,0.03226,17.500,6.04194
73,0.01129,17.500,6.03871
74,0.02903,17.500,6.04194
74,0.02903,17.500,6.03710
75,0.02742,17.500,6.03871
76,0.03065,17.500,6.03871
76,0.02742,17.500,6.03226
77,0.02258,17.500,6.03871
77,0.01774,17.500,6.03710
78,0.02581,17.500,6.03871
79,0.02903,17.500,6.03387
79,0.02419,17.500,6.04032
80,0.03871,17.500,6.04516
80,0.03226,17.500,6.04194
81,0.02581,17.500,6.03548
82,0.02903,17.500,6.03387
82,0.02742,17.500,6.03387
83,0.02419,17.500,6.04032
83,0.02742,17.500,6.04194
84,0.03065,17.500,6.03548
84,0.03065,17.500,6.03548
85,0.03871,17.500,6.03871
86,0.03548,17.500,6.04516
86,0.02258,17.500,6.04194
87,0.02903,17.500,6.04032
87,0.02419,17.500,6.04032
88,0.03387,17.500,6.03710
89,0.02419,17.500,6.04516
89,0.02419,17.500,6.04032
90,0.02419,17.500,6.04355
90,0.02581,17.500,6.04194
91,0.03387,17.500,6.03548
92,0.02258,17.500,6.03871
92,0.02581,17.500,6.03710
93,0.02581,17.500,6.03871
93,0.01774,17.500,6.04032
94,0.02742,17.500,6.03548
