timestamp,tds_v,tempC,ph_v
19,0.03065,17.500,6.03226
19,0.02097,17.500,6.03387
20,0.03065,17.500,6.03387
21,0.02419,17.500,6.03710
21,0.01774,17.500,6.04032
22,0.03710,17.500,6.03065
22,0.03387,17.500,6.03871
23,0.02581,17.500,6.03710
24,0.03226,17.500,6.03871
24,0.03065,17.500,6.03710
25,0.02258,17.500,6.03065
25,0.02419,17.500,6.02903
26,0.02419,17.500,6.03065
27,0.02258,17.500,6.03387
27,0.02581,17.500,6.03710
28,0.02903,17.500,6.02903
28,0.02581,17.500,6.02903
29,0.02742,17.500,6.04032
30,0.02581,17.500,6.03226
30,0.03226,17.500,6.03548
31,0.02097,17.500,6.02903
31,0.02742,17.500,6.03387
32,0.03065,17.500,6.03710
33,0.01935,17.500,6.02903
33,0.02742,17.500,6.03548
34,0.04032,17.500,6.03226
34,0.02903,17.500,6.02742
35,0.03065,17.500,6.03710
36,0.02742,17.500,6.03065
36,0.02742,17.500,6.03710
37,0.02581,17.500,6.03710
37,0.03387,17.500,6.03226
38,0.02258,17.500,6.03710
38,0.02419,17.500,6.03387
39,0.03226,17.500,6.04032
40,0.02419,17.500,6.03871
40,0.02903,17.500,6.03548
41,0.04355,17.500,6.03226
41,0.03065,17.500,6.03387
42,0.02258,17.500,6.04194
43,0.02903,17.500,6.02419
43,0.02742,17.500,6.04032
44,0.03226,17.500,6.04032
44,0.03548,17.500,6.03387
45,0.03710,17.500,6.03710
46,0.06129,17.500,6.04032
46,0.02419,17.500,6.04032
47,0.02903,17.500,6.03710
47,0.03226,17.500,6.03226
48,0.02419,17.500,6.03871
49,0.02419,17.500,6.03387
49,0.02903,17.500,6.03710
50,0.03548,17.500,6.03065
50,0.02581,17.500,6.03065
51,0.03548,17.500,6.04032
52,0.02097,17.500,6.03548
52,0.02903,17.500,6.03387
53,0.02419,17.500,6.03548
53,0.03226,17.500,6.03065
54,0.03226,17.500,6.03548
54,0.02742,17.500,6.03710
54,0.02581,17.500,6.03065
55,0.02097,17.500,6.04194
55,0.02742,17.500,6.03710
56,0.02258,17.500,6.03710
57,0.03065,17.500,6.03226
57,0.03871,17.500,6.03871
58,0.03226,17.500,6.04355
58,0.01935,17.500,6.03548
59,0.02419,17.500,6.03387
60,0.03548,17.500,6.03226
60,0.02742,17.500,6.03387
61,0.02258,17.500,6.03710
61,0.03065,17.500,6.03710
62,0.03548,17.500,6.03871
63,0.03387,17.500,6.03871
63,0.02419,17.500,6.03548
64,0.03226,17.500,6.04194
64,0.03065,17.500,6.03871
65,0.02903,17.500,6.03065
65,0.02742,17.500,6.03710
66,0.02903,17.500,6.03871
67,0.01774,17.500,6.03548
67,0.03226,17.500,6.03548
68,0.03065,17.500,6.03226
68,0.02581,17.500,6.04194
69,0.02903,17.500,6.03871
70,0.03226,17.500,6.03387
70,0.03226,17.500,6.03710
71,0.02742,17.500,6.03548
71,0.03065,17.500,6.03387
72,0.04355,17.500,6.04194
73,0.02903,17.500,6.03710
73,0.03065,17.500,6.03548
74,0.02419,17.500,6.03226
74,0.02419,17.500,6.03548
75,0.02419,17.500,6.04516
76,0.02419,17.500,6.03871
76,0.03226,17.500,6.03548
77,0.02581,17.500,6.03710
77,0.02581,17.500,6.03710
78,0.02581,17.500,6.03871
78,0.02419,17.500,6.03710
79,0.02903,17.500,6.03226
80,0.02742,17.500,6.03871
80,0.03226,17.500,6.04032
81,0.03065,17.500,6.03387
81,0.02419,17.500,6.04355
82,0.02581,17.500,6.04032
83,0.02742,17.500,6.03871
83,0.03065,17.500,6.04032
84,0.03065,17.500,6.03065
84,0.03226,17.500,6.03871
85,0.03548,17.500,6.03548
86,0.03387,17.500,6.03710
86,0.02903,17.500,6.04032
87,0.02581,17.500,6.03710
87,0.02258,17.500,6.03548
88,0.01935,17.500,6.03871
89,0.02742,17.500,6.04194
89,0.02742,17.500,6.03871
90,0.04194,17.500,6.03548
90,0.03065,17.500,6.04194
91,0.03387,17.500,6.03065
92,0.02581,17.500,6.03387
92,0.02742,17.500,6.03710
93,0.02258,17.500,6.02903
93,0.02742,17.500,6.04839
94,0.02903,17.500,6.03548
