timestamp,tds_v,tempC,ph_v
19,0.02903,17.500,6.03710
20,0.03065,17.500,6.03548
20,0.01613,17.500,6.03710
21,0.02419,17.500,6.03065
22,0.02581,17.500,6.04355
22,0.02419,17.500,6.03548
23,0.02742,17.500,6.03871
23,0.02742,17.500,6.03710
24,0.03065,17.500,6.02903
24,0.02903,17.500,6.04032
25,0.02742,17.500,6.03548
26,0.02903,17.500,6.03710
26,0.02581,17.500,6.03871
27,0.02258,17.500,6.02903
27,0.02903,17.500,6.04032
28,0.02097,17.500,6.03871
29,0.02581,17.500,6.03871
29,0.02419,17.500,6.03226
30,0.03065,17.500,6.04839
30,0.03226,17.500,6.04194
31,0.02419,17.500,6.04194
32,0.02258,17.500,6.03710
32,0.03226,17.500,6.04032
33,0.03226,17.500,6.03710
33,0.03387,17.500,6.03710
34,0.02903,17.500,6.03871
35,0.02903,17.500,6.03548
35,0.02097,17.500,6.04032
36,0.02903,17.500,6.03871
36,0.03871,17.500,6.03548
37,0.03226,17.500,6.03871
38,0.03226,17.500,6.04677
38,0.02581,17.500,6.03871
39,0.02419,17.500,6.04355
39,0.02419,17.500,6.03710
40,0.02742,17.500,6.03710
41,0.03387,17.500,6.03710
41,0.03226,17.500,6.04355
42,0.02419,17.500,6.03710
42,0.03226,17.500,6.03710
43,0.02903,17.500,6.03710
44,0.02419,17.500,6.03548
44,0.02419,17.500,6.03226
45,0.04355,17.500,6.03710
45,0.03226,17.500,6.03710
46,0.02581,17.500,6.03387
47,0.01129,17.500,6.03226
47,0.02581,17.500,6.02903
48,0.02581,17.500,6.03387
48,0.02419,17.500,6.04194
49,0.02742,17.500,6.03710
50,0.03226,17.500,6.04194
50,0.02419,17.500,6.03710
51,0.03226,17.500,6.03387
51,0.02581,17.500,6.04516
52,0.03065,17.500,6.03871
53,0.03065,17.500,6.03387
53,0.03065,17.500,6.04032
54,0.02742,17.500,6.03387
54,0.03226,17.500,6.02903
55,0.03065,17.500,6.03387
56,0.03226,17.500,6.03226
56,0.02419,17.500,6.03710
57,0.02742,17.500,6.03065
57,0.03548,17.500,6.03226
58,0.02581,17.500,6.03871
58,0.02581,17.500,6.04194
58,0.02581,17.500,6.03710
59,0.03226,17.500,6.03065
59,0.02903,17.500,6.03387
60,0.02581,17.500,6.02903
61,0.02419,17.500,6.02903
61,0.03548,17.500,6.02903
62,0.02581,17.500,6.03548
62,0.02581,17.500,6.03387
63,0.02581,17.500,6.03871
63,0.03387,17.500,6.03548
64,0.02419,17.500,6.04032
65,0.02097,17.500,6.03387
65,0.03387,17.500,6.03548
66,0.02903,17.500,6.03226
66,0.03065,17.500,6.03387
67,0.01935,17.500,6.03548
68,0.02581,17.500,6.03548
68,0.05323,17.500,6.04032
69,0.03387,17.500,6.03710
69,0.02258,17.500,6.03548
70,0.03065,17.500,6.04032
71,0.02903,17.500,6.04032
71,0.02903,17.500,6.03548
72,0.01935,17.500,6.03871
72,0.03548,17.500,6.03387
73,0.02258,17.500,6.04194
74,0.02581,17.500,6.03871
74,0.03065,17.500,6.04194
75,0.02742,17.500,6.03710
75,0.05323,17.500,6.03387
76,0.02581,17.500,6.04677
77,0.03548,17.500,6.03065
77,0.03065,17.500,6.03226
78,0.02742,17.500,6.04032
78,0.02903,17.500,6.04032
79,0.02097,17.500,6.03871
80,0.02258,17.500,6.03065
80,0.02258,17.500,6.03710
81,0.03226,17.500,6.04032
81,0.02742,17.500,6.03548
82,0.02581,17.500,6.04032
83,0.03548,17.500,6.04516
83,0.02903,17.500,6.04032
84,0.03226,17.500,6.03548
84,0.03226,17.500,6.03387
85,0.03387,17.500,6.03387
86,0.02258,17.500,6.03226
86,0.02581,17.500,6.03387
87,0.02097,17.500,6.03871
87,0.02419,17.500,6.04032
88,0.02903,17.500,6.03871
89,0.02581,17.500,6.03871
89,0.02581,17.500,6.04194
90,0.02903,17.500,6.04355
90,0.03065,17.500,6.04194
91,0.02258,17.500,6.04677
91,0.03065,17.500,6.04355
92,0.02742,17.500,6.03871
93,0.04194,17.500,6.03548
93,0.03065,17.500,6.03710
94,0.01774,17.500,6.04194
