timestamp,tds_v,tempC,ph_v
20,1.41290,16.000,6.03871
21,1.40484,16.000,6.04194
21,1.41129,16.000,6.03871
22,1.41613,16.000,6.03871
23,1.41452,16.000,6.04516
23,1.41290,16.000,6.04516
24,1.39677,16.000,6.03548
24,1.41129,16.000,6.04194
25,1.40645,16.000,6.04194
26,1.40161,16.000,6.03548
26,1.41774,16.000,6.04355
26,1.41452,16.000,6.03871
26,1.40806,16.000,6.04677
27,1.41290,16.000,6.04194
28,1.41129,16.000,6.05000
28,1.39677,16.000,6.03548
29,1.40968,16.000,6.03226
30,1.40968,16.000,6.04032
30,1.41129,16.000,6.03226
31,1.41452,16.000,6.04677
31,1.40968,16.000,6.03548
32,1.40645,16.000,6.03226
33,1.41452,16.000,6.04516
33,1.41613,16.000,6.03548
34,1.40484,16.000,6.04355
34,1.41129,16.000,6.03871
35,1.40968,16.000,6.04516
36,1.41452,16.000,6.04194
36,1.41129,16.000,6.03387
37,1.41452,16.000,6.03548
37,1.41935,16.000,6.04032
38,1.41452,16.000,6.03871
39,1.41774,16.000,6.03548
39,1.38548,16.000,6.04032
40,1.41290,16.000,6.04355
40,1.41613,16.000,6.04032
41,1.41774,16.000,6.04194
42,1.41290,16.000,6.04194
42,1.41129,16.000,6.03387
43,1.40968,16.000,6.04516
43,1.41774,16.000,6.04194
44,1.40968,16.000,6.04032
45,1.41129,16.000,6.03548
45,1.41613,16.000,6.03871
46,1.40968,16.000,6.03871
46,1.41129,16.000,6.03387
47,1.41452,16.000,6.03226
48,1.41129,16.000,6.04516
48,1.40323,16.000,6.03548
49,1.41935,16.000,6.04516
49,1.42097,16.000,6.03710
50,1.41129,16.000,6.04355
51,1.42258,16.000,6.03871
51,1.41452,16.000,6.03710
52,1.41290,16.000,6.04677
53,1.40645,16.000,6.04194
53,1.41129,16.000,6.03871
54,1.40645,16.000,6.04194
54,1.41290,16.000,6.04032
55,1.41290,16.000,6.03548
56,1.41290,16.000,6.03548
56,1.41452,16.000,6.04032
57,1.42581,16.000,6.03548
57,1.41129,16.000,6.04032
58,1.41290,16.000,6.05000
59,1.41290,16.000,6.04194
59,1.42258,16.000,6.04194
60,1.40806,16.000,6.04032
60,1.41129,16.000,6.03548
61,1.43226,16.000,6.04194
62,1.41290,16.000,6.03871
62,1.42419,16.000,6.03871
63,1.41774,16.000,6.03387
63,1.41613,16.000,6.03548
64,1.40161,16.000,6.04194
65,1.40645,16.000,6.03710
65,1.42097,16.000,6.03710
66,1.41129,16.000,6.03548
66,1.40645,16.000,6.04677
67,1.40806,16.000,6.03871
68,1.39516,16.000,6.03871
68,1.40645,16.000,6.03710
68,1.41129,16.000,6.04516
68,1.41129,16.000,6.03710
69,1.39516,16.000,6.03548
70,1.41613,16.000,6.03387
70,1.40484,16.000,6.03387
71,1.42581,16.000,6.03710
72,1.42581,16.000,6.03548
72,1.41935,16.000,6.03710
73,1.40806,16.000,6.03871
73,1.40645,16.000,6.03226
74,1.41290,16.000,6.03710
75,1.41129,16.000,6.04194
75,1.41129,16.000,6.03710
76,1.40645,16.000,6.04032
76,1.40968,16.000,6.04032
77,1.40484,16.000,6.04032
78,1.41452,16.000,6.04032
78,1.40968,16.000,6.03548
79,1.40484,16.000,6.03387
79,1.40000,16.000,6.03226
80,1.41613,16.000,6.03226
81,1.40968,16.000,6.03871
81,1.40968,16.000,6.03065
82,1.38871,16.000,6.03710
82,1.40806,16.000,6.03387
83,1.40968,16.000,6.04194
84,1.41129,16.000,6.03226
84,1.41452,16.000,6.04194
85,1.40968,16.000,6.04194
85,1.41774,16.000,6.03710
86,1.40645,16.000,6.04194
87,1.41290,16.000,6.04355
87,1.40968,16.000,6.03710
88,1.41774,16.000,6.03387
89,1.40968,16.000,6.03548
89,1.41290,16.000,6.03387
90,1.41129,16.000,6.03871
90,1.41290,16.000,6.03710
91,1.41129,16.000,6.03387
92,1.40000,16.000,6.03871
92,1.41290,16.000,6.04355
93,1.40968,16.000,6.03548
93,1.40968,16.000,6.03548
94,1.41129,16.000,6.03548
