timestamp,tds_v,tempC,ph_v
20,1.48710,16.000,6.03548
20,1.49032,16.000,6.04194
21,1.49032,16.000,6.04194
22,1.49032,16.000,6.03871
22,1.49355,16.000,6.04194
23,1.48871,16.000,6.03710
23,1.48871,16.000,6.03065
24,1.49194,16.000,6.04677
25,1.48871,16.000,6.03871
25,1.49194,16.000,6.04194
26,1.48226,16.000,6.03871
26,1.48226,16.000,6.03710
27,1.49194,16.000,6.04032
28,1.48710,16.000,6.04032
28,1.48871,16.000,6.04355
29,1.49677,16.000,6.04032
30,1.48548,16.000,6.04032
30,1.49194,16.000,6.04194
31,1.49032,16.000,6.03871
31,1.48548,16.000,6.03871
32,1.48226,16.000,6.04032
33,1.48065,16.000,6.04032
33,1.49355,16.000,6.03065
34,1.49194,16.000,6.03871
34,1.48871,16.000,6.03710
35,1.48548,16.000,6.03548
35,1.48387,16.000,6.04032
35,1.49194,16.000,6.03226
36,1.48871,16.000,6.03710
36,1.48871,16.000,6.03871
37,1.48548,16.000,6.03710
38,1.49194,16.000,6.03387
38,1.49194,16.000,6.02903
39,1.48387,16.000,6.03871
39,1.48710,16.000,6.03871
40,1.49194,16.000,6.03548
41,1.50645,16.000,6.03548
41,1.49355,16.000,6.03710
42,1.49677,16.000,6.04194
42,1.48548,16.000,6.04032
43,1.48387,16.000,6.03871
44,1.48871,16.000,6.04194
44,1.48871,16.000,6.04194
45,1.45806,16.000,6.04032
45,1.48710,16.000,6.04032
46,1.48871,16.000,6.03710
47,1.49194,16.000,6.03226
47,1.48871,16.000,6.03871
48,1.49194,16.000,6.03065
48,1.48226,16.000,6.03871
49,1.48710,16.000,6.03387
50,1.48871,16.000,6.03548
50,1.49032,16.000,6.04839
51,1.49032,16.000,6.03871
51,1.49355,16.000,6.03387
52,1.49032,16.000,6.03710
53,1.49677,16.000,6.03871
53,1.48387,16.000,6.04194
54,1.48387,16.000,6.03710
54,1.49032,16.000,6.03710
55,1.49194,16.000,6.04194
56,1.49032,16.000,6.03710
56,1.49355,16.000,6.04032
57,1.48710,16.000,6.03387
57,1.49516,16.000,6.04032
58,1.48871,16.000,6.04516
59,1.49355,16.000,6.03548
59,1.48548,16.000,6.04355
60,1.49032,16.000,6.04355
61,1.48871,16.000,6.04355
61,1.48548,16.000,6.03387
62,1.48065,16.000,6.04194
62,1.48871,16.000,6.04839
63,1.49516,16.000,6.03226
64,1.49194,16.000,6.04355
64,1.49355,16.000,6.03710
65,1.49194,16.000,6.04194
65,1.49194,16.000,6.03871
66,1.49032,16.000,6.03871
67,1.49032,16.000,6.04032
67,1.48548,16.000,6.03387
68,1.48548,16.000,6.04677
68,1.49032,16.000,6.04355
69,1.48548,16.000,6.03387
70,1.48871,16.000,6.04355
70,1.49032,16.000,6.04032
71,1.49355,16.000,6.03387
71,1.48710,16.000,6.04032
72,1.48548,16.000,6.04194
73,1.49355,16.000,6.04194
73,1.49032,16.000,6.03871
74,1.48871,16.000,6.03871
74,1.49194,16.000,6.04516
75,1.49355,16.000,6.03871
76,1.49516,16.000,6.04355
76,1.49032,16.000,6.03871
77,1.49032,16.000,6.04194
77,1.48226,16.000,6.04194
77,1.49516,16.000,6.03871
78,1.48871,16.000,6.04194
78,1.49032,16.000,6.04194
79,1.48710,16.000,6.04032
79,1.49032,16.000,6.04355
80,1.49032,16.000,6.04516
81,1.49032,16.000,6.04355
81,1.49355,16.000,6.04355
82,1.49032,16.000,6.03710
83,1.48871,16.000,6.04355
83,1.49194,16.000,6.04516
84,1.48871,16.000,6.03871
84,1.48548,16.000,6.04032
85,1.49194,16.000,6.04032
86,1.49839,16.000,6.05000
86,1.49355,16.000,6.04355
87,1.49677,16.000,6.04839
87,1.49516,16.000,6.03548
88,1.49194,16.000,6.04032
89,1.48710,16.000,6.04355
89,1.48710,16.000,6.04032
90,1.49677,16.000,6.03710
90,1.49839,16.000,6.04032
91,1.48871,16.000,6.04355
92,1.48065,16.000,6.03548
92,1.48871,16.000,6.04032
93,1.49032,16.000,6.04194
93,1.49194,16.000,6.03871
94,1.48548,16.000,6.03548
