timestamp,tds_v,tempC,ph_v
18,1.91452,16.000,6.04355
19,1.90645,16.000,6.03548
20,1.89839,16.000,6.04032
20,1.90806,16.000,6.03548
21,1.93548,16.000,6.04355
21,1.90968,16.000,6.04032
22,1.91452,16.000,6.03387
23,1.91129,16.000,6.04032
23,1.91129,16.000,6.03548
24,1.90806,16.000,6.03548
24,1.90323,16.000,6.03871
25,1.90161,16.000,6.03548
26,1.90968,16.000,6.04355
26,1.90000,16.000,6.03871
27,1.90968,16.000,6.04677
27,1.91290,16.000,6.04032
28,1.91774,16.000,6.04516
29,1.90968,16.000,6.04355
29,1.90806,16.000,6.04194
30,1.92419,16.000,6.04032
30,1.90323,16.000,6.04355
31,1.91613,16.000,6.04032
32,1.90484,16.000,6.04355
32,1.90806,16.000,6.04194
33,1.91452,16.000,6.04839
33,1.87258,16.000,6.04032
34,1.91290,16.000,6.03871
35,1.91935,16.000,6.03548
35,1.90806,16.000,6.03548
36,1.89677,16.000,6.04839
37,1.90484,16.000,6.03871
37,1.86290,16.000,6.04194
38,1.90484,16.000,6.03226
38,1.90968,16.000,6.03871
39,1.91290,16.000,6.04032
40,1.90645,16.000,6.03226
40,1.93387,16.000,6.04355
41,1.90484,16.000,6.03871
41,1.90968,16.000,6.03710
42,1.90968,16.000,6.04516
43,1.91129,16.000,6.04355
43,1.90806,16.000,6.04355
44,1.91452,16.000,6.03065
44,1.91290,16.000,6.03710
45,1.90968,16.000,6.04677
46,1.90161,16.000,6.04032
46,1.90806,16.000,6.04194
47,1.90806,16.000,6.04032
47,1.90323,16.000,6.03387
48,1.90645,16.000,6.03710
48,1.90323,16.000,6.04032
48,1.90806,16.000,6.04032
49,1.90484,16.000,6.04677
49,1.90968,16.000,6.04194
50,1.91129,16.000,6.03871
51,1.90484,16.000,6.03548
51,1.90645,16.000,6.03548
52,1.90161,16.000,6.03710
52,1.90968,16.000,6.03710
53,1.90645,16.000,6.04677
54,1.90806,16.000,6.04516
54,1.91290,16.000,6.04677
55,1.90806,16.000,6.03387
55,1.90968,16.000,6.04032
56,1.90484,16.000,6.04194
57,1.90484,16.000,6.04194
57,1.90161,16.000,6.04194
58,1.90484,16.000,6.03548
58,1.90806,16.000,6.04032
59,1.90161,16.000,6.04677
60,1.91129,16.000,6.04516
60,1.89032,16.000,6.03387
61,1.90968,16.000,6.03548
61,1.91290,16.000,6.04194
62,1.91613,16.000,6.04839
63,1.91452,16.000,6.03871
63,1.90484,16.000,6.03710
64,1.90645,16.000,6.04032
64,1.90968,16.000,6.04032
65,1.91290,16.000,6.03871
66,1.90968,16.000,6.04194
66,1.90323,16.000,6.03710
67,1.90645,16.000,6.03548
68,1.89516,16.000,6.03710
68,1.90645,16.000,6.04194
69,1.90161,16.000,6.04194
69,1.90484,16.000,6.04839
70,1.90645,16.000,6.04194
71,1.89032,16.000,6.04516
71,1.91290,16.000,6.04839
72,1.90484,16.000,6.04839
72,1.90968,16.000,6.04194
73,1.92903,16.000,6.04516
74,1.90484,16.000,6.04194
74,1.91290,16.000,6.03710
75,1.90484,16.000,6.04032
75,1.90806,16.000,6.04032
76,1.91452,16.000,6.05484
77,1.90806,16.000,6.03710
77,1.89355,16.000,6.04194
78,1.90806,16.000,6.03548
78,1.90806,16.000,6.04194
79,1.90323,16.000,6.04355
80,1.90323,16.000,6.04355
80,1.90161,16.000,6.04194
81,1.90484,16.000,6.04032
81,1.92419,16.000,6.04032
82,1.91290,16.000,6.04355
83,1.90806,16.000,6.04032
83,1.90968,16.000,6.03710
84,1.91290,16.000,6.03387
84,1.90323,16.000,6.04032
85,1.90484,16.000,6.04677
86,1.90968,16.000,6.03871
86,1.90323,16.000,6.03871
87,1.90645,16.000,6.03710
87,1.90323,16.000,6.04516
88,1.91452,16.000,6.04355
89,1.92097,16.000,6.04355
89,1.91129,16.000,6.03871
90,1.90000,16.000,6.03871
90,1.91129,16.000,6.03710
90,1.91129,16.000,6.04194
91,1.91613,16.000,6.03871
91,1.90161,16.000,6.03226
92,1.90968,16.000,6.04032
92,1.90161,16.000,6.03710
93,1.90645,16.000,6.04032
94,1.90645,16.000,6.03387
