timestamp,tds_v,tempC,ph_v
20,2.04839,25.000,6.04355
20,2.04516,25.000,6.03710
21,2.04677,25.000,6.04355
22,2.05161,25.000,6.03710
22,2.05968,25.000,6.03871
23,2.04032,25.000,6.04355
23,2.06290,25.000,6.03710
24,2.05323,25.000,6.03871
25,2.05323,25.000,6.03871
25,2.05484,25.000,6.04516
26,2.05161,25.000,6.03548
26,2.05000,25.000,6.04032
27,2.05161,25.000,6.03871
28,2.05000,25.000,6.04677
28,2.05000,25.000,6.03548
29,2.05000,25.000,6.03548
29,2.05000,25.000,6.03710
29,2.05161,25.000,6.03548
30,2.04839,25.000,6.03871
30,2.04839,25.000,6.04194
31,2.05161,25.000,6.03710
31,2.05161,25.000,6.03548
32,2.05161,25.000,6.03387
33,2.04516,25.000,6.04032
33,2.04032,25.000,6.04355
34,2.05000,25.000,6.03871
34,2.04839,25.000,6.03871
35,2.05161,25.000,6.04355
36,2.05484,25.000,6.03387
36,2.05323,25.000,6.04355
37,2.05323,25.000,6.03226
37,2.04839,25.000,6.04194
38,2.04677,25.000,6.03548
39,2.04839,25.000,6.03387
39,2.04516,25.000,6.04516
40,2.05645,25.000,6.03387
40,2.04839,25.000,6.03387
41,2.05323,25.000,6.03387
41,2.04677,25.000,6.03710
42,2.04677,25.000,6.04355
43,2.05161,25.000,6.03871
43,2.05323,25.000,6.04032
44,2.05484,25.000,6.03710
44,2.04677,25.000,6.04194
45,2.04839,25.000,6.04677
46,2.04677,25.000,6.03710
46,2.05323,25.000,6.03548
47,2.05323,25.000,6.03226
47,2.03548,25.000,6.03387
48,2.04355,25.000,6.04355
49,2.05161,25.000,6.03387
49,2.04839,25.000,6.03226
50,2.05484,25.000,6.04355
50,2.05806,25.000,6.04194
51,2.05806,25.000,6.03871
52,2.05000,25.000,6.03871
52,2.05161,25.000,6.04194
53,2.05484,25.000,6.03871
53,2.05645,25.000,6.03710
54,2.04032,25.000,6.04355
55,2.05000,25.000,6.03387
55,2.05323,25.000,6.02903
56,2.05161,25.000,6.03387
56,2.05806,25.000,6.03710
57,2.05323,25.000,6.04355
58,2.05323,25.000,6.03387
58,2.04839,25.000,6.03548
59,2.05323,25.000,6.03387
59,2.05645,25.000,6.03871
60,2.04839,25.000,6.03548
61,2.05000,25.000,6.03871
61,2.05645,25.000,6.03387
62,2.05323,25.000,6.03548
62,2.05806,25.000,6.03548
63,2.04677,25.000,6.03226
63,2.05000,25.000,6.03387
64,2.05000,25.000,6.03710
65,2.04355,25.000,6.03387
65,2.06452,25.000,6.04032
66,2.05645,25.000,6.04032
66,2.05000,25.000,6.03226
67,2.05806,25.000,6.03226
68,2.05323,25.000,6.03226
68,2.05000,25.000,6.04032
69,2.05484,25.000,6.03710
70,2.05323,25.000,6.03548
70,2.05484,25.000,6.03710
71,2.03548,25.000,6.03710
71,2.04516,25.000,6.03710
71,2.05000,25.000,6.03387
72,2.04677,25.000,6.03387
72,2.05323,25.000,6.03871
73,2.04032,25.000,6.04355
73,2.04355,25.000,6.04032
74,2.05000,25.000,6.03065
75,2.05000,25.000,6.03871
75,2.04839,25.000,6.03548
76,2.04032,25.000,6.04677
76,2.05161,25.000,6.03871
77,2.05000,25.000,6.03871
77,2.05806,25.000,6.04032
78,2.05806,25.000,6.03871
79,2.05645,25.000,6.03871
79,2.05645,25.000,6.03871
80,2.04677,25.000,6.03387
80,2.04677,25.000,6.03065
81,2.05323,25.000,6.04194
82,2.05645,25.000,6.03387
82,2.05484,25.000,6.03226
83,2.04677,25.000,6.03226
83,2.04839,25.000,6.03387
84,2.04839,25.000,6.03710
85,2.04839,25.000,6.03871
85,2.06613,25.000,6.03226
86,2.05484,25.000,6.03548
86,2.05161,25.000,6.03387
87,2.06290,25.000,6.03548
87,2.04677,25.000,6.03387
88,2.05161,25.000,6.03710
89,2.05161,25.000,6.04194
89,2.04355,25.000,6.03548
90,2.05000,25.000,6.04355
90,2.04839,25.000,6.03871
91,2.04839,25.000,6.03226
92,2.05161,25.000,6.03387
92,2.04355,25.000,6.03710
93,2.05806,25.000,6.03871
93,2.05806,25.000,6.03387
94,2.05645,25.000,6.03387
