timestamp,tds_v,tempC,ph_v
19,1.47742,16.000,6.03548
20,1.47419,16.000,6.03548
21,1.47581,16.000,6.03710
21,1.46935,16.000,6.03871
22,1.47742,16.000,6.04194
22,1.47903,16.000,6.04194
23,1.47258,16.000,6.03871
24,1.47097,16.000,6.03065
24,1.47581,16.000,6.03387
25,1.49032,16.000,6.03548
25,1.47258,16.000,6.03065
26,1.46935,16.000,6.03871
27,1.47258,16.000,6.04032
27,1.47581,16.000,6.04194
28,1.47742,16.000,6.04032
28,1.47419,16.000,6.03226
29,1.47742,16.000,6.03548
30,1.46774,16.000,6.03387
30,1.47581,16.000,6.04032
31,1.49516,16.000,6.04677
31,1.47581,16.000,6.03226
32,1.47097,16.000,6.03710
33,1.47742,16.000,6.03871
33,1.47903,16.000,6.03871
34,1.48548,16.000,6.04032
34,1.47581,16.000,6.03710
35,1.47419,16.000,6.02742
35,1.47258,16.000,6.03871
35,1.47742,16.000,6.03387
36,1.47258,16.000,6.03871
36,1.47419,16.000,6.03548
37,1.44194,16.000,6.04032
38,1.46774,16.000,6.03548
38,1.47419,16.000,6.03226
39,1.46935,16.000,6.03548
40,1.47419,16.000,6.03548
40,1.44194,16.000,6.03548
41,1.47581,16.000,6.03710
41,1.47419,16.000,6.03871
42,1.48871,16.000,6.03871
43,1.47419,16.000,6.03065
43,1.47742,16.000,6.03548
44,1.48065,16.000,6.03710
44,1.48065,16.000,6.04032
45,1.46613,16.000,6.04194
46,1.48065,16.000,6.03387
46,1.47419,16.000,6.04194
47,1.47258,16.000,6.03548
47,1.47742,16.000,6.03548
48,1.46774,16.000,6.04194
49,1.48226,16.000,6.04032
49,1.47742,16.000,6.03387
50,1.47581,16.000,6.04355
50,1.47742,16.000,6.03387
51,1.48065,16.000,6.04032
52,1.47419,16.000,6.03548
52,1.47742,16.000,6.04194
53,1.47258,16.000,6.03387
53,1.47419,16.000,6.03710
54,1.47581,16.000,6.03548
55,1.48065,16.000,6.04355
55,1.47581,16.000,6.03387
56,1.47742,16.000,6.03226
56,1.46935,16.000,6.03710
57,1.46935,16.000,6.04516
58,1.47258,16.000,6.04032
58,1.47097,16.000,6.03710
59,1.47097,16.000,6.03871
59,1.47419,16.000,6.03710
60,1.48226,16.000,6.04032
61,1.47742,16.000,6.03548
61,1.47097,16.000,6.03226
62,1.47419,16.000,6.03710
62,1.47258,16.000,6.03548
63,1.46774,16.000,6.03710
64,1.47903,16.000,6.04032
64,1.46774,16.000,6.03226
65,1.47742,16.000,6.03548
66,1.47742,16.000,6.03387
66,1.47258,16.000,6.03548
67,1.47419,16.000,6.03065
67,1.47581,16.000,6.03710
68,1.47742,16.000,6.03387
69,1.47581,16.000,6.03871
69,1.47419,16.000,6.03387
70,1.46613,16.000,6.03871
70,1.47581,16.000,6.03226
71,1.47258,16.000,6.04355
72,1.44839,16.000,6.03871
72,1.47258,16.000,6.03065
73,1.47258,16.000,6.03871
73,1.47581,16.000,6.03710
74,1.47742,16.000,6.03710
75,1.47258,16.000,6.03710
75,1.48226,16.000,6.03871
76,1.45645,16.000,6.03710
76,1.47419,16.000,6.03387
77,1.46935,16.000,6.04839
77,1.47742,16.000,6.03387
77,1.47742,16.000,6.03548
78,1.47581,16.000,6.04194
78,1.47258,16.000,6.03710
79,1.47258,16.000,6.04355
80,1.47419,16.000,6.03387
80,1.47581,16.000,6.03710
81,1.48226,16.000,6.03871
81,1.47419,16.000,6.03548
82,1.47258,16.000,6.03710
83,1.47581,16.000,6.03710
83,1.47581,16.000,6.03710
84,1.47581,16.000,6.03871
84,1.47742,16.000,6.03065
85,1.46452,16.000,6.03548
86,1.47742,16.000,6.03710
86,1.47097,16.000,6.03871
87,1.47903,16.000,6.04194
87,1.47742,16.000,6.03710
88,1.46774,16.000,6.04516
89,1.48065,16.000,6.03871
89,1.47419,16.000,6.03871
90,1.46613,16.000,6.03226
91,1.47097,16.000,6.03387
91,1.47258,16.000,6.03548
92,1.46935,16.000,6.03710
92,1.47097,16.000,6.03387
93,1.47419,16.000,6.03226
94,1.44839,16.000,6.02742
