timestamp,tds_v,tempC,ph_v
19,1.47097,16.000,6.04032
19,1.46774,16.000,6.04355
20,1.46774,16.000,6.03548
21,1.47258,16.000,6.03226
21,1.46774,16.000,6.03871
22,1.47742,16.000,6.04839
22,1.47742,16.000,6.04194
23,1.47581,16.000,6.03710
24,1.47581,16.000,6.03871
24,1.46774,16.000,6.04355
25,1.46774,16.000,6.03226
25,1.47258,16.000,6.03226
26,1.46935,16.000,6.03548
27,1.47419,16.000,6.03226
27,1.47419,16.000,6.03548
28,1.46935,16.000,6.03710
28,1.47419,16.000,6.04516
29,1.47903,16.000,6.04355
30,1.47258,16.000,6.04516
30,1.47581,16.000,6.03710
31,1.47581,16.000,6.04032
31,1.47581,16.000,6.04677
32,1.47097,16.000,6.03710
33,1.47258,16.000,6.04516
33,1.47742,16.000,6.03871
34,1.47742,16.000,6.04032
34,1.47419,16.000,6.03871
35,1.47419,16.000,6.03387
36,1.47097,16.000,6.04032
36,1.46935,16.000,6.04355
37,1.46935,16.000,6.03710
37,1.47419,16.000,6.03871
38,1.47097,16.000,6.03871
39,1.47419,16.000,6.03548
39,1.47258,16.000,6.04839
40,1.47258,16.000,6.03710
40,1.47581,16.000,6.03710
41,1.47903,16.000,6.03387
42,1.47581,16.000,6.03548
42,1.51452,16.000,6.03710
43,1.47581,16.000,6.04032
43,1.47258,16.000,6.04355
44,1.47258,16.000,6.04194
45,1.47258,16.000,6.02742
45,1.47258,16.000,6.04194
46,1.47258,16.000,6.04032
47,1.47419,16.000,6.02903
47,1.48226,16.000,6.04355
48,1.47258,16.000,6.04032
48,1.47419,16.000,6.04839
49,1.47903,16.000,6.03871
50,1.46935,16.000,6.03871
50,1.46613,16.000,6.04194
51,1.47903,16.000,6.04032
51,1.47903,16.000,6.04355
52,1.47903,16.000,6.03871
53,1.47581,16.000,6.04839
53,1.47258,16.000,6.03710
53,1.47419,16.000,6.04194
53,1.47903,16.000,6.04355
54,1.47419,16.000,6.03548
55,1.47903,16.000,6.03710
55,1.47258,16.000,6.03065
56,1.47581,16.000,6.03871
56,1.47742,16.000,6.03710
57,1.46935,16.000,6.03387
58,1.46935,16.000,6.04516
58,1.47581,16.000,6.04032
59,1.47581,16.000,6.04194
59,1.47419,16.000,6.03387
60,1.47258,16.000,6.03871
61,1.47258,16.000,6.03710
62,1.43548,16.000,6.03548
62,1.47581,16.000,6.03871
63,1.47581,16.000,6.04355
63,1.47097,16.000,6.04355
64,1.47742,16.000,6.03387
65,1.47097,16.000,6.04032
65,1.47903,16.000,6.03548
66,1.48548,16.000,6.03710
66,1.47581,16.000,6.04032
67,1.47903,16.000,6.03710
68,1.47581,16.000,6.04194
68,1.47742,16.000,6.03548
69,1.47419,16.000,6.04355
69,1.47742,16.000,6.04032
70,1.47419,16.000,6.04516
71,1.47258,16.000,6.04516
71,1.47097,16.000,6.03710
72,1.47742,16.000,6.04032
72,1.47903,16.000,6.04032
73,1.47097,16.000,6.03387
74,1.47742,16.000,6.03710
74,1.46613,16.000,6.03548
75,1.47903,16.000,6.04516
75,1.46935,16.000,6.03871
76,1.47097,16.000,6.03226
77,1.46613,16.000,6.04194
77,1.48065,16.000,6.03710
78,1.47581,16.000,6.03871
78,1.47742,16.000,6.03710
79,1.47097,16.000,6.03710
80,1.46935,16.000,6.04516
80,1.47903,16.000,6.03710
81,1.46774,16.000,6.02903
82,1.47903,16.000,6.03710
82,1.47097,16.000,6.04677
83,1.47097,16.000,6.04194
83,1.47581,16.000,6.03065
84,1.46774,16.000,6.03387
85,1.47419,16.000,6.03548
85,1.47742,16.000,6.03710
86,1.47581,16.000,6.03871
86,1.47581,16.000,6.04194
87,1.47581,16.000,6.03387
88,1.47742,16.000,6.03710
88,1.47097,16.000,6.04194
89,1.47581,16.000,6.04516
89,1.47581,16.000,6.04194
90,1.47258,16.000,6.04194
91,1.46613,16.000,6.03871
91,1.47581,16.000,6.03548
92,1.47419,16.000,6.04194
92,1.48710,16.000,6.04194
93,1.47581,16.000,6.03710
94,1.47742,16.000,6.03710
