timestamp,tds_v,tempC,ph_v
19,1.89032,16.000,6.04355
20,1.92097,16.000,6.03226
20,1.92258,16.000,6.04839
21,1.92419,16.000,6.04032
22,1.92581,16.000,6.04032
22,1.93065,16.000,6.04355
23,1.91613,16.000,6.04516
24,1.93226,16.000,6.03548
24,1.92097,16.000,6.03710
25,1.92742,16.000,6.05000
25,1.93065,16.000,6.04032
26,1.92097,16.000,6.04194
27,1.93065,16.000,6.04032
27,1.92419,16.000,6.04516
28,1.91935,16.000,6.05000
28,1.92419,16.000,6.04839
29,1.91935,16.000,6.03871
30,1.92581,16.000,6.04032
30,1.92419,16.000,6.03871
31,1.92419,16.000,6.04516
31,1.92258,16.000,6.03710
32,1.91935,16.000,6.04516
33,1.92581,16.000,6.04355
33,1.92258,16.000,6.04355
34,1.92258,16.000,6.03548
34,1.91613,16.000,6.04194
35,1.93871,16.000,6.04839
36,1.92258,16.000,6.03548
36,1.91935,16.000,6.04032
37,1.91935,16.000,6.05000
37,1.91613,16.000,6.03871
38,1.92419,16.000,6.04194
39,1.92742,16.000,6.04194
39,1.92742,16.000,6.04032
40,1.89355,16.000,6.04677
40,1.91452,16.000,6.04516
41,1.92742,16.000,6.04355
42,1.91613,16.000,6.04032
42,1.92258,16.000,6.03226
42,1.91774,16.000,6.04355
42,1.91774,16.000,6.04032
43,1.91935,16.000,6.04194
44,1.92419,16.000,6.04194
44,1.92742,16.000,6.03871
45,1.91935,16.000,6.04355
46,1.92097,16.000,6.04677
46,1.92097,16.000,6.04194
47,1.92097,16.000,6.03387
47,1.93387,16.000,6.03548
48,1.93226,16.000,6.04355
49,1.92581,16.000,6.03387
49,1.91935,16.000,6.03710
50,1.92419,16.000,6.03387
50,1.92258,16.000,6.03710
51,1.92419,16.000,6.03548
52,1.91935,16.000,6.03387
52,1.91774,16.000,6.03387
53,1.91774,16.000,6.03871
53,1.92258,16.000,6.03871
54,1.91452,16.000,6.04194
55,1.92742,16.000,6.04194
55,1.92097,16.000,6.03871
56,1.91935,16.000,6.04355
56,1.91774,16.000,6.03548
57,1.90968,16.000,6.04839
58,1.91935,16.000,6.04194
58,1.90323,16.000,6.04032
59,1.92903,16.000,6.03871
59,1.92258,16.000,6.03871
60,1.91935,16.000,6.03871
61,1.92097,16.000,6.03710
61,1.92903,16.000,6.04032
62,1.92419,16.000,6.03871
62,1.92258,16.000,6.04194
63,1.92742,16.000,6.04194
64,1.92258,16.000,6.04355
64,1.90806,16.000,6.04355
65,1.91935,16.000,6.04032
65,1.92581,16.000,6.03710
66,1.92903,16.000,6.04194
67,1.92258,16.000,6.03387
67,1.91613,16.000,6.03710
68,1.92258,16.000,6.04032
69,1.91613,16.000,6.02903
69,1.91935,16.000,6.04032
70,1.92581,16.000,6.03710
70,1.92419,16.000,6.03710
71,1.92581,16.000,6.04032
72,1.91935,16.000,6.04194
72,1.92258,16.000,6.03548
73,1.92097,16.000,6.04516
73,1.91935,16.000,6.04194
74,1.92097,16.000,6.04032
75,1.92097,16.000,6.04032
75,1.92742,16.000,6.03871
76,1.92097,16.000,6.03710
76,1.91935,16.000,6.04194
77,1.91452,16.000,6.03710
77,1.92742,16.000,6.04194
78,1.92097,16.000,6.03710
78,1.93387,16.000,6.03387
