timestamp,tds_v,tempC,ph_v
18,2.03226,16.000,6.03871
19,2.02903,16.000,6.03871
20,2.02419,16.000,6.03710
20,2.02742,16.000,6.03710
21,2.02581,16.000,6.03226
21,2.02903,16.000,6.03548
22,2.02581,16.000,6.02903
23,2.02258,16.000,6.03387
23,2.03387,16.000,6.02742
24,2.03387,16.000,6.03710
24,2.04032,16.000,6.03871
25,2.02581,16.000,6.03065
26,2.04194,16.000,6.03710
26,2.02258,16.000,6.03226
27,2.03226,16.000,6.03871
27,2.03387,16.000,6.03226
28,2.02258,16.000,6.03548
29,2.02903,16.000,6.04194
29,2.03065,16.000,6.03548
30,2.02581,16.000,6.04355
30,2.02097,16.000,6.03871
31,2.02419,16.000,6.03387
32,2.03226,16.000,6.04355
32,2.03226,16.000,6.03871
33,2.02419,16.000,6.04677
34,2.03387,16.000,6.03548
34,2.02742,16.000,6.03065
35,2.03548,16.000,6.03710
35,2.02097,16.000,6.03387
36,2.03226,16.000,6.04194
37,2.01774,16.000,6.03387
37,2.03065,16.000,6.04516
38,2.03387,16.000,6.04355
38,2.02581,16.000,6.04032
39,2.01935,16.000,6.03871
40,2.04516,16.000,6.04032
40,2.02581,16.000,6.03226
41,2.04677,16.000,6.03710
41,2.03065,16.000,6.04194
42,2.03387,16.000,6.03226
43,2.02903,16.000,6.03710
43,2.03226,16.000,6.03871
43,2.02258,16.000,6.04032
44,2.02742,16.000,6.03387
44,2.02097,16.000,6.03548
45,2.02742,16.000,6.03710
45,2.03548,16.000,6.03871
46,2.03226,16.000,6.03710
47,2.02742,16.000,6.04355
47,2.02581,16.000,6.03710
48,2.03387,16.000,6.03226
48,2.02903,16.000,6.04032
49,2.02097,16.000,6.03710
50,2.03226,16.000,6.03548
50,2.03226,16.000,6.03710
51,2.03387,16.000,6.03387
51,2.01935,16.000,6.03871
52,2.03548,16.000,6.04839
53,2.03065,16.000,6.02903
53,2.03387,16.000,6.03710
54,2.02742,16.000,6.03871
54,2.03226,16.000,6.03387
55,2.03387,16.000,6.03387
56,2.03065,16.000,6.04032
56,2.03065,16.000,6.02742
57,2.02097,16.000,6.03226
57,2.02903,16.000,6.03710
58,2.03226,16.000,6.02581
59,2.03226,16.000,6.03387
59,2.02097,16.000,6.03226
60,2.02581,16.000,6.03387
60,2.02903,16.000,6.03065
61,2.02903,16.000,6.03871
61,2.02581,16.000,6.03226
62,2.02419,16.000,6.03548
62,2.02419,16.000,6.04032
63,2.02903,16.000,6.03710
