timestamp,tds_v,tempC,ph_v
19,1.46290,16.000,6.03710
20,1.45806,16.000,6.03065
21,1.45806,16.000,6.03065
21,1.45161,16.000,6.03387
22,1.45484,16.000,6.03387
22,1.45645,16.000,6.04032
23,1.45323,16.000,6.03387
24,1.46452,16.000,6.04677
24,1.46613,16.000,6.03387
25,1.46129,16.000,6.04032
26,1.45968,16.000,6.04032
26,1.45645,16.000,6.03710
27,1.46129,16.000,6.03226
27,1.46290,16.000,6.03065
28,1.46452,16.000,6.03548
29,1.46290,16.000,6.03710
29,1.45806,16.000,6.03226
30,1.45806,16.000,6.03710
30,1.46290,16.000,6.03871
30,1.46129,16.000,6.04516
31,1.46613,16.000,6.04032
31,1.46613,16.000,6.04516
32,1.45968,16.000,6.04032
32,1.42419,16.000,6.03871
33,1.47097,16.000,6.05000
34,1.42258,16.000,6.04516
34,1.45645,16.000,6.03871
35,1.45968,16.000,6.04032
35,1.46290,16.000,6.03548
36,1.45968,16.000,6.04355
37,1.46452,16.000,6.03710
37,1.45806,16.000,6.03871
38,1.46290,16.000,6.03226
38,1.45968,16.000,6.04516
39,1.46129,16.000,6.04355
40,1.45968,16.000,6.04355
40,1.45000,16.000,6.03548
41,1.46452,16.000,6.03871
42,1.46129,16.000,6.03387
42,1.45484,16.000,6.04516
43,1.45968,16.000,6.04032
43,1.46129,16.000,6.04194
44,1.46129,16.000,6.03387
45,1.46129,16.000,6.03226
45,1.45806,16.000,6.04032
46,1.46290,16.000,6.04032
46,1.45484,16.000,6.03548
47,1.46129,16.000,6.04032
48,1.46452,16.000,6.03065
48,1.45806,16.000,6.04677
49,1.45806,16.000,6.04516
49,1.46452,16.000,6.04032
50,1.47419,16.000,6.02903
51,1.45806,16.000,6.04032
51,1.45484,16.000,6.04032
52,1.46129,16.000,6.04032
52,1.46129,16.000,6.03871
53,1.46129,16.000,6.04194
54,1.46452,16.000,6.04032
54,1.45968,16.000,6.04032
55,1.45968,16.000,6.03710
55,1.47258,16.000,6.04194
56,1.45645,16.000,6.03548
57,1.45484,16.000,6.03548
57,1.45484,16.000,6.04677
58,1.46613,16.000,6.03871
58,1.46129,16.000,6.03871
59,1.46129,16.000,6.04032
60,1.45968,16.000,6.04194
60,1.45323,16.000,6.04355
61,1.46129,16.000,6.03710
61,1.45968,16.000,6.03871
62,1.44355,16.000,6.03871
63,1.46129,16.000,6.03871
63,1.45968,16.000,6.03387
64,1.45968,16.000,6.04194
64,1.44032,16.000,6.03387
65,1.46452,16.000,6.03387
66,1.45806,16.000,6.03387
66,1.45968,16.000,6.04032
67,1.45968,16.000,6.03871
68,1.46129,16.000,6.03710
68,1.46129,16.000,6.03710
69,1.46452,16.000,6.03871
69,1.45484,16.000,6.03387
70,1.45968,16.000,6.04194
71,1.46452,16.000,6.03871
71,1.45968,16.000,6.04032
72,1.46129,16.000,6.03548
72,1.45968,16.000,6.03871
72,1.46774,16.000,6.03387
73,1.46129,16.000,6.04194
73,1.46129,16.000,6.04355
74,1.45806,16.000,6.03710
74,1.45484,16.000,6.03548
75,1.46452,16.000,6.04194
76,1.46290,16.000,6.03871
76,1.46452,16.000,6.03548
77,1.45645,16.000,6.04194
77,1.45645,16.000,6.04032
78,1.46452,16.000,6.03871
79,1.45161,16.000,6.03387
79,1.45323,16.000,6.04355
80,1.46290,16.000,6.03871
80,1.45484,16.000,6.03871
81,1.46129,16.000,6.03387
82,1.46935,16.000,6.04516
82,1.46774,16.000,6.04516
83,1.46452,16.000,6.03387
83,1.45484,16.000,6.03548
84,1.47903,16.000,6.04194
85,1.46452,16.000,6.03710
85,1.47258,16.000,6.04032
86,1.46129,16.000,6.04032
87,1.46613,16.000,6.04032
87,1.45484,16.000,6.03226
88,1.45645,16.000,6.04355
88,1.45161,16.000,6.03871
89,1.46613,16.000,6.02903
90,1.45323,16.000,6.03710
90,1.46290,16.000,6.03871
91,1.46129,16.000,6.03710
91,1.45645,16.000,6.03871
92,1.46774,16.000,6.03548
93,1.46452,16.000,6.03710
93,1.46613,16.000,6.03226
94,1.45645,16.000,6.03065
