timestamp,tds_v,tempC,ph_v
19,1.48871,16.000,6.03387
19,1.48387,16.000,6.03871
20,1.49516,16.000,6.03710
21,1.49194,16.000,6.03387
21,1.48065,16.000,6.03871
22,1.49677,16.000,6.03710
22,1.48871,16.000,6.03548
23,1.49194,16.000,6.03548
24,1.49194,16.000,6.03548
24,1.48871,16.000,6.04355
25,1.48871,16.000,6.03387
25,1.48226,16.000,6.03710
26,1.49677,16.000,6.04032
27,1.49516,16.000,6.03548
27,1.47903,16.000,6.04355
28,1.49355,16.000,6.04032
28,1.48871,16.000,6.03871
29,1.49516,16.000,6.04032
30,1.48871,16.000,6.03871
30,1.49677,16.000,6.04194
31,1.50645,16.000,6.03548
31,1.48548,16.000,6.03065
32,1.48710,16.000,6.03871
33,1.48710,16.000,6.03548
33,1.48871,16.000,6.03710
34,1.48871,16.000,6.02581
35,1.48871,16.000,6.03226
35,1.51290,16.000,6.03548
36,1.48710,16.000,6.02742
36,1.48710,16.000,6.02903
37,1.48710,16.000,6.03226
38,1.47903,16.000,6.03548
38,1.48871,16.000,6.02903
39,1.48871,16.000,6.03387
39,1.48871,16.000,6.03710
40,1.48226,16.000,6.03710
41,1.49194,16.000,6.03387
41,1.48387,16.000,6.03871
42,1.49032,16.000,6.04032
42,1.50161,16.000,6.04194
43,1.48871,16.000,6.03387
44,1.49355,16.000,6.03387
44,1.49194,16.000,6.04516
45,1.49194,16.000,6.03871
45,1.48226,16.000,6.03387
46,1.46935,16.000,6.03871
47,1.49677,16.000,6.03548
47,1.49194,16.000,6.03226
48,1.46935,16.000,6.04194
48,1.48226,16.000,6.04516
49,1.47742,16.000,6.04032
49,1.49032,16.000,6.03548
49,1.48387,16.000,6.03548
50,1.48226,16.000,6.04032
50,1.48548,16.000,6.03387
51,1.48710,16.000,6.03548
52,1.49032,16.000,6.03065
52,1.48548,16.000,6.03065
53,1.48548,16.000,6.02419
53,1.48387,16.000,6.04032
54,1.48065,16.000,6.03871
55,1.49032,16.000,6.03871
55,1.48387,16.000,6.03387
56,1.49194,16.000,6.02742
56,1.48871,16.000,6.02903
57,1.49194,16.000,6.02903
58,1.49677,16.000,6.03387
58,1.48387,16.000,6.03387
59,1.48710,16.000,6.03387
60,1.48710,16.000,6.03226
60,1.49839,16.000,6.03548
61,1.48871,16.000,6.03710
61,1.48710,16.000,6.03226
62,1.49032,16.000,6.03065
63,1.48548,16.000,6.03226
63,1.48871,16.000,6.03387
64,1.48871,16.000,6.03871
64,1.49839,16.000,6.03710
65,1.49516,16.000,6.04032
66,1.48871,16.000,6.04516
66,1.48710,16.000,6.04355
67,1.47581,16.000,6.03387
67,1.48871,16.000,6.04677
68,1.48710,16.000,6.04355
69,1.49516,16.000,6.03871
69,1.49032,16.000,6.03710
70,1.49516,16.000,6.04194
70,1.48387,16.000,6.04839
71,1.52419,16.000,6.03387
72,1.49032,16.000,6.03065
72,1.48226,16.000,6.03387
73,1.48710,16.000,6.02903
73,1.47419,16.000,6.03387
74,1.48871,16.000,6.03387
75,1.48065,16.000,6.03871
75,1.48871,16.000,6.02903
76,1.49516,16.000,6.04516
76,1.49355,16.000,6.04032
77,1.48226,16.000,6.03387
78,1.48871,16.000,6.04032
78,1.49355,16.000,6.03548
79,1.50968,16.000,6.04194
79,1.49194,16.000,6.03548
80,1.49032,16.000,6.03548
81,1.49032,16.000,6.03710
81,1.49516,16.000,6.04516
82,1.49677,16.000,6.04032
83,1.50968,16.000,6.04194
83,1.48548,16.000,6.03710
84,1.46774,16.000,6.03871
84,1.48548,16.000,6.03548
85,1.48065,16.000,6.04032
86,1.49032,16.000,6.04032
86,1.48710,16.000,6.03226
87,1.48548,16.000,6.04194
87,1.48871,16.000,6.03548
88,1.48548,16.000,6.03548
89,1.48226,16.000,6.03871
89,1.48710,16.000,6.03710
90,1.48710,16.000,6.03710
90,1.49032,16.000,6.03871
90,1.48226,16.000,6.04032
91,1.48871,16.000,6.03387
91,1.48710,16.000,6.03710
92,1.48065,16.000,6.03710
93,1.49032,16.000,6.03871
93,1.49516,16.000,6.03387
94,1.48871,16.000,6.03226
