timestamp,tds_v,tempC,ph_v
19,1.40806,16.000,6.03387
20,1.40645,16.000,6.03065
20,1.40484,16.000,6.03226
21,1.40484,16.000,6.03871
21,1.40968,16.000,6.03387
22,1.40484,16.000,6.03387
23,1.40323,16.000,6.03387
23,1.41129,16.000,6.03065
24,1.40161,16.000,6.03710
24,1.40484,16.000,6.03710
25,1.41290,16.000,6.02742
26,1.41129,16.000,6.02903
26,1.40806,16.000,6.03710
27,1.41613,16.000,6.03226
27,1.41935,16.000,6.03871
28,1.40645,16.000,6.04032
29,1.39677,16.000,6.04355
29,1.41290,16.000,6.03548
30,1.40645,16.000,6.04032
31,1.39677,16.000,6.04355
31,1.40323,16.000,6.04032
32,1.40645,16.000,6.03387
32,1.39839,16.000,6.04032
33,1.40968,16.000,6.03871
34,1.40000,16.000,6.03871
34,1.42097,16.000,6.02742
35,1.40645,16.000,6.03387
35,1.40323,16.000,6.03387
36,1.40968,16.000,6.03548
37,1.41129,16.000,6.03387
37,1.40968,16.000,6.03710
38,1.40806,16.000,6.03548
38,1.40484,16.000,6.04355
39,1.42258,16.000,6.03387
40,1.40645,16.000,6.03710
40,1.40323,16.000,6.03548
41,1.40161,16.000,6.03548
41,1.40806,16.000,6.04032
42,1.40806,16.000,6.03548
43,1.39677,16.000,6.03871
43,1.40968,16.000,6.03710
44,1.41129,16.000,6.04194
44,1.37742,16.000,6.03871
45,1.38871,16.000,6.03548
46,1.40161,16.000,6.04194
46,1.40484,16.000,6.03548
47,1.40806,16.000,6.03871
47,1.40968,16.000,6.04677
48,1.40645,16.000,6.03710
49,1.41452,16.000,6.02742
49,1.41129,16.000,6.03065
50,1.42581,16.000,6.03871
50,1.40484,16.000,6.04516
51,1.41129,16.000,6.04032
52,1.40968,16.000,6.04032
52,1.40484,16.000,6.03226
53,1.41129,16.000,6.03226
53,1.40000,16.000,6.04677
54,1.40968,16.000,6.04194
55,1.41290,16.000,6.03710
55,1.40323,16.000,6.04355
56,1.40484,16.000,6.04839
57,1.40806,16.000,6.04032
57,1.41452,16.000,6.04677
57,1.41613,16.000,6.04516
57,1.40968,16.000,6.03710
58,1.41452,16.000,6.04194
59,1.40323,16.000,6.04032
59,1.40484,16.000,6.04032
60,1.40484,16.000,6.04032
60,1.41129,16.000,6.03871
61,1.40806,16.000,6.04355
62,1.41290,16.000,6.03710
62,1.41129,16.000,6.03548
63,1.40323,16.000,6.04194
63,1.40806,16.000,6.04032
64,1.40968,16.000,6.04355
65,1.40645,16.000,6.04355
65,1.40806,16.000,6.03548
66,1.40968,16.000,6.04194
66,1.40968,16.000,6.04032
67,1.40806,16.000,6.03548
68,1.40484,16.000,6.04032
68,1.40968,16.000,6.03710
69,1.40484,16.000,6.03710
70,1.40645,16.000,6.03387
70,1.40968,16.000,6.03710
71,1.40484,16.000,6.04194
71,1.41129,16.000,6.03387
72,1.40161,16.000,6.03710
73,1.41129,16.000,6.03871
73,1.40806,16.000,6.03387
74,1.40645,16.000,6.03710
74,1.40806,16.000,6.03226
75,1.40645,16.000,6.03065
76,1.42097,16.000,6.04355
76,1.40968,16.000,6.04355
77,1.41452,16.000,6.04194
77,1.41452,16.000,6.04355
78,1.41290,16.000,6.04677
79,1.40806,16.000,6.03387
79,1.41452,16.000,6.03871
80,1.41290,16.000,6.04194
80,1.41452,16.000,6.03710
81,1.41129,16.000,6.03548
82,1.40968,16.000,6.04032
82,1.41129,16.000,6.04194
83,1.42097,16.000,6.04355
83,1.40161,16.000,6.03548
84,1.40806,16.000,6.03871
85,1.41129,16.000,6.04194
85,1.40323,16.000,6.04032
86,1.41290,16.000,6.03871
86,1.41613,16.000,6.04032
87,1.41129,16.000,6.03387
88,1.40968,16.000,6.04194
88,1.40484,16.000,6.03871
89,1.40806,16.000,6.03710
89,1.41290,16.000,6.03871
90,1.40484,16.000,6.03387
91,1.40968,16.000,6.04355
91,1.41290,16.000,6.03871
92,1.40806,16.000,6.03871
92,1.40323,16.000,6.03871
93,1.40968,16.000,6.04355
94,1.40968,16.000,6.03387
