timestamp,tds_v,tempC,ph_v
19,1.46129,16.000,6.03710
20,1.46935,16.000,6.03548
21,1.46774,16.000,6.03387
21,1.47419,16.000,6.03871
22,1.45968,16.000,6.04355
22,1.49032,16.000,6.03710
23,1.47097,16.000,6.04194
23,1.47419,16.000,6.03387
23,1.47742,16.000,6.03871
24,1.46774,16.000,6.03710
24,1.47258,16.000,6.03226
25,1.47097,16.000,6.04194
26,1.47742,16.000,6.03710
26,1.46935,16.000,6.04355
27,1.46935,16.000,6.03548
27,1.46452,16.000,6.03710
28,1.52419,16.000,6.03548
29,1.50323,16.000,6.03871
29,1.47419,16.000,6.04677
30,1.47097,16.000,6.04194
30,1.46774,16.000,6.04355
31,1.47097,16.000,6.04516
32,1.46129,16.000,6.04355
32,1.46613,16.000,6.04516
33,1.47258,16.000,6.04194
33,1.47419,16.000,6.04032
34,1.47742,16.000,6.04032
35,1.46935,16.000,6.03065
35,1.46613,16.000,6.03387
36,1.47258,16.000,6.04032
36,1.47258,16.000,6.03871
37,1.47258,16.000,6.04355
38,1.44516,16.000,6.04355
38,1.46452,16.000,6.04032
39,1.46613,16.000,6.03710
39,1.46774,16.000,6.04032
40,1.47258,16.000,6.02742
41,1.48065,16.000,6.03226
41,1.47258,16.000,6.03871
42,1.47742,16.000,6.03871
43,1.46129,16.000,6.03710
43,1.48548,16.000,6.03548
44,1.44839,16.000,6.03871
44,1.44839,16.000,6.03710
45,1.46774,16.000,6.03548
46,1.46935,16.000,6.03548
46,1.47097,16.000,6.03387
47,1.47097,16.000,6.04194
47,1.46613,16.000,6.04032
48,1.46935,16.000,6.03710
49,1.47419,16.000,6.04032
49,1.47742,16.000,6.03710
50,1.46935,16.000,6.04194
50,1.46774,16.000,6.03710
51,1.47097,16.000,6.04032
52,1.47419,16.000,6.03548
52,1.47258,16.000,6.03710
53,1.46774,16.000,6.04677
53,1.46613,16.000,6.03548
54,1.47258,16.000,6.03548
55,1.47419,16.000,6.03226
55,1.46774,16.000,6.03710
56,1.47419,16.000,6.03548
56,1.47258,16.000,6.03871
57,1.46452,16.000,6.03548
58,1.47581,16.000,6.03387
58,1.47258,16.000,6.03226
59,1.45323,16.000,6.03871
59,1.45161,16.000,6.03387
60,1.46129,16.000,6.03226
61,1.47258,16.000,6.03387
61,1.47742,16.000,6.03548
62,1.46935,16.000,6.04194
63,1.46452,16.000,6.02742
63,1.47097,16.000,6.03871
64,1.47419,16.000,6.03387
64,1.46935,16.000,6.03387
65,1.46774,16.000,6.04032
65,1.46774,16.000,6.03387
65,1.46774,16.000,6.03871
66,1.46452,16.000,6.03710
66,1.44677,16.000,6.03548
67,1.46452,16.000,6.04839
68,1.47581,16.000,6.04032
68,1.46774,16.000,6.03387
69,1.46935,16.000,6.03548
69,1.46452,16.000,6.02742
70,1.45806,16.000,6.04032
71,1.46935,16.000,6.03387
71,1.46452,16.000,6.03387
72,1.47097,16.000,6.03065
72,1.46290,16.000,6.03710
73,1.46774,16.000,6.04032
74,1.46774,16.000,6.03871
74,1.46452,16.000,6.03387
75,1.47258,16.000,6.03548
75,1.46774,16.000,6.02742
76,1.48226,16.000,6.03710
77,1.46935,16.000,6.03065
77,1.47097,16.000,6.03065
78,1.47258,16.000,6.03065
78,1.46774,16.000,6.03387
79,1.46290,16.000,6.04194
80,1.46613,16.000,6.03871
80,1.46452,16.000,6.03710
81,1.47258,16.000,6.04032
81,1.46774,16.000,6.03387
82,1.46129,16.000,6.03710
83,1.46129,16.000,6.03710
83,1.47258,16.000,6.03226
84,1.46935,16.000,6.03548
85,1.46935,16.000,6.03710
85,1.46290,16.000,6.03710
86,1.46935,16.000,6.03387
86,1.46613,16.000,6.03871
87,1.47419,16.000,6.03871
88,1.46613,16.000,6.03871
88,1.46935,16.000,6.04032
89,1.46452,16.000,6.03710
89,1.46290,16.000,6.03710
90,1.47419,16.000,6.03710
91,1.47742,16.000,6.03871
91,1.46613,16.000,6.04516
92,1.46452,16.000,6.03548
92,1.46452,16.000,6.04355
93,1.44194,16.000,6.03710
94,1.46774,16.000,6.03871
