timestamp,tds_v,tempC,ph_v
19,1.41290,16.000,6.03065
19,1.41290,16.000,6.04355
20,1.41290,16.000,6.03065
20,1.41129,16.000,6.03710
21,1.40968,16.000,6.04516
22,1.40968,16.000,6.03065
22,1.40161,16.000,6.04194
23,1.41129,16.000,6.03710
23,1.41935,16.000,6.04032
24,1.41774,16.000,6.03387
25,1.41613,16.000,6.03226
25,1.40968,16.000,6.04032
26,1.40968,16.000,6.04032
27,1.41613,16.000,6.03871
27,1.41935,16.000,6.03871
28,1.41613,16.000,6.03871
28,1.41613,16.000,6.03710
29,1.40484,16.000,6.03387
30,1.41129,16.000,6.04194
30,1.41129,16.000,6.05161
31,1.41129,16.000,6.03710
31,1.41935,16.000,6.04355
32,1.41129,16.000,6.03226
33,1.41290,16.000,6.03871
33,1.40968,16.000,6.04355
34,1.41452,16.000,6.04032
34,1.41452,16.000,6.03871
35,1.41774,16.000,6.03710
36,1.40806,16.000,6.04032
36,1.41452,16.000,6.04032
37,1.40968,16.000,6.04032
37,1.41290,16.000,6.04194
38,1.40484,16.000,6.04194
39,1.41452,16.000,6.03226
39,1.40806,16.000,6.03548
40,1.41452,16.000,6.03710
40,1.41774,16.000,6.04839
41,1.40645,16.000,6.04355
42,1.41613,16.000,6.03710
42,1.40968,16.000,6.03871
43,1.41452,16.000,6.04355
43,1.41129,16.000,6.04516
44,1.41774,16.000,6.04032
44,1.40968,16.000,6.03548
44,1.41129,16.000,6.04194
45,1.41613,16.000,6.03548
45,1.41452,16.000,6.03226
46,1.41129,16.000,6.03387
47,1.40968,16.000,6.03710
47,1.41774,16.000,6.04194
48,1.40645,16.000,6.03871
48,1.41774,16.000,6.03548
49,1.41613,16.000,6.04355
50,1.42258,16.000,6.04194
50,1.41129,16.000,6.04516
51,1.40806,16.000,6.04194
52,1.41129,16.000,6.03387
52,1.41452,16.000,6.03871
53,1.40645,16.000,6.04677
53,1.40968,16.000,6.04677
54,1.41129,16.000,6.04194
55,1.41290,16.000,6.03871
55,1.37419,16.000,6.03710
56,1.41935,16.000,6.04032
56,1.42097,16.000,6.04032
57,1.41452,16.000,6.04355
58,1.42419,16.000,6.04032
58,1.38710,16.000,6.04194
59,1.41613,16.000,6.03871
59,1.41129,16.000,6.04516
60,1.40968,16.000,6.04032
61,1.42097,16.000,6.04194
61,1.41129,16.000,6.03871
62,1.40645,16.000,6.04032
62,1.41613,16.000,6.04516
63,1.40806,16.000,6.03871
64,1.41613,16.000,6.04677
64,1.41290,16.000,6.04194
65,1.40806,16.000,6.03871
65,1.40484,16.000,6.04194
66,1.41613,16.000,6.04194
67,1.41774,16.000,6.04194
67,1.41290,16.000,6.04677
68,1.41774,16.000,6.03710
69,1.44355,16.000,6.03710
69,1.41290,16.000,6.04194
70,1.41452,16.000,6.04516
70,1.41613,16.000,6.04355
71,1.40806,16.000,6.03387
72,1.41452,16.000,6.04355
72,1.41774,16.000,6.03871
73,1.40968,16.000,6.03871
73,1.41935,16.000,6.03710
74,1.42097,16.000,6.03871
75,1.40806,16.000,6.04839
75,1.41129,16.000,6.03871
76,1.41935,16.000,6.04032
76,1.40161,16.000,6.04194
77,1.41290,16.000,6.04194
78,1.43387,16.000,6.03226
78,1.41452,16.000,6.03710
79,1.39839,16.000,6.04032
80,1.43065,16.000,6.03710
80,1.41129,16.000,6.03548
81,1.39194,16.000,6.04032
81,1.41774,16.000,6.04516
82,1.41290,16.000,6.03710
83,1.40968,16.000,6.03226
83,1.40968,16.000,6.04032
84,1.41613,16.000,6.03871
84,1.41290,16.000,6.03871
85,1.40968,16.000,6.04194
86,1.42097,16.000,6.04355
86,1.41613,16.000,6.04677
86,1.41613,16.000,6.04839
86,1.41613,16.000,6.04194
87,1.41129,16.000,6.03871
88,1.41452,16.000,6.03871
88,1.40968,16.000,6.02742
89,1.41290,16.000,6.04677
89,1.41935,16.000,6.03710
90,1.41613,16.000,6.04677
91,1.41613,16.000,6.03710
91,1.41290,16.000,6.04032
92,1.41452,16.000,6.04032
92,1.41935,16.000,6.03065
93,1.41613,16.000,6.04355
94,1.41290,16.000,6.04032
