timestamp,tds_v,tempC,ph_v
19,1.40968,16.000,6.03710
20,1.41452,16.000,6.04194
20,1.41452,16.000,6.04032
21,1.40000,16.000,6.04194
21,1.41452,16.000,6.04839
22,1.40968,16.000,6.04032
23,1.41613,16.000,6.04355
23,1.41290,16.000,6.03871
24,1.41935,16.000,6.03710
24,1.41452,16.000,6.04516
25,1.41613,16.000,6.03548
26,1.42419,16.000,6.04194
26,1.40645,16.000,6.04032
27,1.41290,16.000,6.03710
27,1.41290,16.000,6.03548
28,1.41613,16.000,6.03871
29,1.41452,16.000,6.03548
29,1.41129,16.000,6.03548
30,1.41290,16.000,6.04194
30,1.40645,16.000,6.04355
31,1.41290,16.000,6.04032
32,1.40968,16.000,6.02903
32,1.41129,16.000,6.03548
33,1.42258,16.000,6.03548
33,1.41129,16.000,6.05000
34,1.41613,16.000,6.04194
35,1.41452,16.000,6.03710
35,1.41452,16.000,6.03226
36,1.41129,16.000,6.03226
36,1.40645,16.000,6.03226
37,1.41452,16.000,6.04032
38,1.40968,16.000,6.02903
38,1.41290,16.000,6.03871
39,1.40968,16.000,6.03387
39,1.40161,16.000,6.03710
40,1.40968,16.000,6.03710
41,1.41129,16.000,6.03387
41,1.41935,16.000,6.03871
42,1.40968,16.000,6.03710
42,1.41290,16.000,6.04032
43,1.40968,16.000,6.03548
44,1.41129,16.000,6.03710
44,1.41452,16.000,6.03710
45,1.41290,16.000,6.04194
46,1.41129,16.000,6.03387
46,1.41935,16.000,6.03387
47,1.41290,16.000,6.03548
47,1.41935,16.000,6.03710
48,1.41452,16.000,6.03226
49,1.40645,16.000,6.03710
49,1.41129,16.000,6.03226
50,1.41129,16.000,6.04355
50,1.40968,16.000,6.03226
51,1.41774,16.000,6.04194
52,1.42097,16.000,6.03871
52,1.41290,16.000,6.03226
53,1.41613,16.000,6.04032
53,1.40323,16.000,6.04032
54,1.39677,16.000,6.03871
55,1.41452,16.000,6.03548
55,1.41290,16.000,6.03871
56,1.41129,16.000,6.04032
56,1.41774,16.000,6.04677
57,1.41290,16.000,6.03710
57,1.41452,16.000,6.04355
57,1.41290,16.000,6.04355
58,1.41774,16.000,6.03871
58,1.41290,16.000,6.04355
59,1.41935,16.000,6.03548
60,1.41129,16.000,6.04032
60,1.41290,16.000,6.04839
61,1.42903,16.000,6.03871
62,1.41613,16.000,6.04677
62,1.43387,16.000,6.03387
63,1.41935,16.000,6.04194
63,1.41290,16.000,6.04355
64,1.37258,16.000,6.04677
65,1.40806,16.000,6.04194
65,1.40968,16.000,6.04032
66,1.41129,16.000,6.04355
66,1.41290,16.000,6.04516
67,1.41613,16.000,6.04194
68,1.40645,16.000,6.04194
68,1.40645,16.000,6.04677
69,1.41935,16.000,6.03710
70,1.41129,16.000,6.04032
70,1.41129,16.000,6.03710
71,1.41290,16.000,6.04194
71,1.40806,16.000,6.04032
72,1.40806,16.000,6.04677
73,1.41613,16.000,6.03710
73,1.41774,16.000,6.03548
74,1.41129,16.000,6.03871
74,1.40806,16.000,6.03387
75,1.42258,16.000,6.03226
76,1.41290,16.000,6.04032
76,1.41613,16.000,6.03548
77,1.41129,16.000,6.04355
77,1.40968,16.000,6.04355
78,1.40645,16.000,6.04194
79,1.41935,16.000,6.03710
79,1.41290,16.000,6.03387
80,1.41129,16.000,6.04355
80,1.41452,16.000,6.04355
81,1.41452,16.000,6.03548
82,1.41935,16.000,6.04032
82,1.42097,16.000,6.04194
83,1.41613,16.000,6.04355
83,1.40645,16.000,6.04516
84,1.40968,16.000,6.04194
85,1.41613,16.000,6.04516
85,1.40645,16.000,6.03871
86,1.40968,16.000,6.04677
86,1.41290,16.000,6.03871
87,1.41452,16.000,6.04032
88,1.41774,16.000,6.04355
88,1.41290,16.000,6.04194
89,1.41129,16.000,6.04032
89,1.41129,16.000,6.03871
90,1.41613,16.000,6.03226
91,1.41129,16.000,6.04355
91,1.41290,16.000,6.03710
92,1.41613,16.000,6.03710
92,1.40806,16.000,6.03710
93,1.41129,16.000,6.03226
94,1.41452,16.000,6.03548
