timestamp,tds_v,tempC,ph_v
20,1.39839,25.000,6.04194
21,1.40806,25.000,6.04032
21,1.40645,25.000,6.04516
22,1.42419,25.000,6.03710
22,1.42742,25.000,6.04194
23,1.39839,25.000,6.03710
24,1.40161,25.000,6.04355
24,1.40161,25.000,6.03548
25,1.40968,25.000,6.03710
25,1.40484,25.000,6.04516
26,1.40323,25.000,6.03710
27,1.40645,25.000,6.04194
27,1.40484,25.000,6.03871
27,1.39839,25.000,6.03710
27,1.40645,25.000,6.03548
28,1.40968,25.000,6.04516
29,1.40806,25.000,6.03548
29,1.39839,25.000,6.04516
30,1.40161,25.000,6.03226
30,1.40484,25.000,6.04194
31,1.39839,25.000,6.03548
32,1.40323,25.000,6.03710
32,1.40323,25.000,6.04516
33,1.38710,25.000,6.04194
33,1.40323,25.000,6.04032
34,1.39839,25.000,6.04194
35,1.40484,25.000,6.03710
35,1.40323,25.000,6.03871
36,1.40323,25.000,6.03548
36,1.39677,25.000,6.03871
37,1.40484,25.000,6.03871
38,1.39516,25.000,6.03387
38,1.39839,25.000,6.03387
39,1.40484,25.000,6.03548
39,1.38065,25.000,6.04194
40,1.40000,25.000,6.03548
41,1.39839,25.000,6.04032
41,1.40323,25.000,6.03871
42,1.39839,25.000,6.03871
42,1.41129,25.000,6.03710
43,1.40806,25.000,6.03871
43,1.39677,25.000,6.03548
44,1.40323,25.000,6.03548
45,1.40806,25.000,6.03548
45,1.45645,25.000,6.03871
46,1.40161,25.000,6.03387
46,1.39839,25.000,6.03871
47,1.37419,25.000,6.03871
48,1.40323,25.000,6.03871
48,1.40323,25.000,6.04355
49,1.39839,25.000,6.03710
49,1.40161,25.000,6.04194
50,1.39516,25.000,6.04516
51,1.40484,25.000,6.03548
51,1.40484,25.000,6.04677
52,1.40161,25.000,6.03387
52,1.40323,25.000,6.04194
53,1.39839,25.000,6.04194
54,1.40645,25.000,6.04032
54,1.40161,25.000,6.03710
55,1.40000,25.000,6.03710
55,1.40323,25.000,6.03226
56,1.40323,25.000,6.04194
57,1.39839,25.000,6.04355
57,1.40484,25.000,6.03387
58,1.40000,25.000,6.03548
58,1.40323,25.000,6.04032
59,1.38710,25.000,6.04194
60,1.40323,25.000,6.03871
60,1.40645,25.000,6.03387
61,1.40484,25.000,6.03548
61,1.40484,25.000,6.03065
62,1.39194,25.000,6.04032
63,1.39677,25.000,6.03710
63,1.40323,25.000,6.03871
64,1.40484,25.000,6.03387
64,1.40484,25.000,6.03871
65,1.40806,25.000,6.03871
65,1.40161,25.000,6.03871
66,1.40323,25.000,6.03548
67,1.39194,25.000,6.03548
67,1.40161,25.000,6.03710
68,1.39677,25.000,6.03226
68,1.39839,25.000,6.03710
68,1.40645,25.000,6.03710
69,1.38710,25.000,6.04032
69,1.40000,25.000,6.03871
70,1.39677,25.000,6.03871
70,1.39516,25.000,6.03548
71,1.40000,25.000,6.04194
72,1.39839,25.000,6.04194
72,1.40000,25.000,6.03871
73,1.40323,25.000,6.04194
73,1.40323,25.000,6.04032
74,1.40161,25.000,6.04032
75,1.40323,25.000,6.03871
75,1.40968,25.000,6.03871
76,1.39677,25.000,6.04194
76,1.39194,25.000,6.03065
77,1.39355,25.000,6.02581
78,1.41290,25.000,6.03065
78,1.40161,25.000,6.03710
79,1.37742,25.000,6.03871
79,1.39194,25.000,6.03871
80,1.40484,25.000,6.03226
81,1.40484,25.000,6.04194
81,1.40000,25.000,6.04194
82,1.40484,25.000,6.03387
82,1.39839,25.000,6.04355
83,1.39677,25.000,6.03710
84,1.40161,25.000,6.03871
84,1.40484,25.000,6.04194
85,1.39355,25.000,6.04839
85,1.39516,25.000,6.02742
86,1.38387,25.000,6.03548
87,1.40000,25.000,6.03226
87,1.39677,25.000,6.03871
88,1.40000,25.000,6.03387
88,1.39516,25.000,6.03548
89,1.39839,25.000,6.03548
89,1.40806,25.000,6.03548
90,1.40000,25.000,6.03226
91,1.39839,25.000,6.03226
91,1.39677,25.000,6.04516
92,1.39839,25.000,6.03871
92,1.40323,25.000,6.04677
93,1.40484,25.000,6.03226
94,1.40161,16.000,6.03548
