timestamp,tds_v,tempC,ph_v
19,1.95000,16.000,6.03871
19,1.94839,16.000,6.03871
20,1.95000,16.000,6.03871
21,1.95323,16.000,6.03710
21,1.95484,16.000,6.04516
22,1.95806,16.000,6.04194
22,1.95161,16.000,6.03871
23,1.95000,16.000,6.04032
24,1.94516,16.000,6.04194
24,1.94677,16.000,6.03871
25,1.94839,16.000,6.05000
25,1.94677,16.000,6.04194
26,1.94677,16.000,6.04839
27,1.95000,16.000,6.04032
27,1.94677,16.000,6.04355
28,1.93710,16.000,6.05161
28,1.95000,16.000,6.03871
29,1.95161,16.000,6.04194
30,1.94032,16.000,6.04194
30,1.95000,16.000,6.04516
31,1.94839,16.000,6.03710
31,1.95968,16.000,6.03710
32,1.94032,16.000,6.04194
33,1.95484,16.000,6.03871
33,1.93871,16.000,6.04032
34,1.95323,16.000,6.04839
35,1.94839,16.000,6.04194
35,1.95000,16.000,6.04194
36,1.95323,16.000,6.04355
36,1.95000,16.000,6.04355
37,1.94516,16.000,6.04194
38,1.92742,16.000,6.04516
38,1.95484,16.000,6.03871
39,1.94839,16.000,6.03226
39,1.95161,16.000,6.03710
40,1.94355,16.000,6.04032
41,1.95000,16.000,6.03871
41,1.94839,16.000,6.03710
42,1.94839,16.000,6.04194
42,1.95000,16.000,6.03871
43,1.94839,16.000,6.04032
44,1.95161,16.000,6.04032
44,1.95323,16.000,6.04194
44,1.95000,16.000,6.03871
44,1.95806,16.000,6.04516
45,1.94677,16.000,6.04355
46,1.95000,16.000,6.04194
46,1.94032,16.000,6.04516
47,1.95161,16.000,6.04516
47,1.95484,16.000,6.04032
48,1.94677,16.000,6.03710
49,1.94516,16.000,6.04516
49,1.94677,16.000,6.05161
50,1.95484,16.000,6.04194
50,1.94677,16.000,6.03548
51,1.96290,16.000,6.04194
52,1.95161,16.000,6.03548
52,1.94839,16.000,6.04194
53,1.94516,16.000,6.04032
53,1.95645,16.000,6.03871
54,1.95323,16.000,6.03710
55,1.95323,16.000,6.04516
55,1.95161,16.000,6.04839
56,1.94032,16.000,6.04516
56,1.95161,16.000,6.03710
57,1.89355,16.000,6.04032
58,1.92258,16.000,6.04032
58,1.94516,16.000,6.04516
59,1.95000,16.000,6.04516
60,1.94839,16.000,6.03548
60,1.94516,16.000,6.03548
61,1.95000,16.000,6.03226
61,1.95806,16.000,6.04194
62,1.94839,16.000,6.04194
63,1.95323,16.000,6.03548
63,1.94516,16.000,6.04032
64,1.94677,16.000,6.03710
64,1.95161,16.000,6.04839
65,1.95323,16.000,6.04355
66,1.94032,16.000,6.04032
66,1.95645,16.000,6.03710
67,1.94516,16.000,6.04194
67,1.93871,16.000,6.04355
68,1.95000,16.000,6.03226
69,1.95323,16.000,6.04516
69,1.94194,16.000,6.03548
70,1.93710,16.000,6.03710
70,1.95000,16.000,6.04677
71,1.95484,16.000,6.03710
72,1.90968,16.000,6.04355
72,1.94516,16.000,6.03871
73,1.95161,16.000,6.04355
73,1.95000,16.000,6.04355
74,1.93871,16.000,6.03387
75,1.94194,16.000,6.03548
75,1.94355,16.000,6.04355
76,1.94516,16.000,6.04516
77,1.95161,16.000,6.04194
77,1.95161,16.000,6.04677
78,1.95161,16.000,6.03871
78,1.92419,16.000,6.04355
79,1.94194,16.000,6.04194
80,1.95000,16.000,6.04032
80,1.95484,16.000,6.03710
81,1.95323,16.000,6.04194
81,1.95161,16.000,6.03710
82,1.94355,16.000,6.03710
83,1.90000,16.000,6.04355
83,1.95484,16.000,6.03871
84,1.94194,16.000,6.04032
84,1.94677,16.000,6.03387
85,1.94677,16.000,6.03710
85,1.93871,16.000,6.04355
85,1.95645,16.000,6.04677
86,1.95484,16.000,6.03871
86,1.95000,16.000,6.04355
87,1.95161,16.000,6.04032
88,1.95645,16.000,6.04355
88,1.92742,16.000,6.04355
89,1.94839,16.000,6.04194
90,1.95323,16.000,6.03710
90,1.94677,16.000,6.04032
91,1.94355,16.000,6.03871
91,1.95161,16.000,6.04032
92,1.95484,16.000,6.04032
93,1.95000,16.000,6.04355
93,1.94355,16.000,6.04032
94,1.95161,16.000,6.03871
