timestamp,tds_v,tempC,ph_v
20,1.91774,16.000,6.03548
21,1.91452,16.000,6.03710
21,1.92258,16.000,6.03710
21,1.91290,16.000,6.04355
21,1.92581,16.000,6.04677
22,1.92258,16.000,6.04516
23,1.91129,16.000,6.04032
23,1.92097,16.000,6.04677
24,1.90484,16.000,6.03871
24,1.92097,16.000,6.04032
25,1.91935,16.000,6.03710
26,1.91774,16.000,6.04032
26,1.90806,16.000,6.03871
27,1.91774,16.000,6.03548
27,1.91290,16.000,6.04677
28,1.91290,16.000,6.04032
29,1.91774,16.000,6.03226
29,1.91290,16.000,6.04032
30,1.91935,16.000,6.03226
31,1.91613,16.000,6.04677
31,1.91129,16.000,6.03710
32,1.92097,16.000,6.03710
32,1.92258,16.000,6.04355
33,1.92258,16.000,6.03548
34,1.91774,16.000,6.04677
34,1.91774,16.000,6.03387
35,1.92097,16.000,6.03871
35,1.90645,16.000,6.03710
36,1.92097,16.000,6.03710
37,1.91935,16.000,6.04355
37,1.91935,16.000,6.03226
38,1.91774,16.000,6.04516
38,1.91774,16.000,6.04516
39,1.91935,16.000,6.04032
40,1.90645,16.000,6.04677
40,1.91613,16.000,6.03871
41,1.90323,16.000,6.04516
42,1.92742,16.000,6.03710
42,1.91774,16.000,6.04355
43,1.92419,16.000,6.04516
43,1.91774,16.000,6.03710
44,1.91290,16.000,6.03871
45,1.92097,16.000,6.04032
45,1.91613,16.000,6.03548
46,1.91129,16.000,6.04032
46,1.91935,16.000,6.03548
47,1.91290,16.000,6.04194
48,1.91613,16.000,6.04032
48,1.91935,16.000,6.04032
49,1.92419,16.000,6.05161
49,1.91290,16.000,6.04032
50,1.91774,16.000,6.04194
51,1.92097,16.000,6.03871
51,1.92581,16.000,6.04032
52,1.92581,16.000,6.04355
52,1.91290,16.000,6.03548
53,1.91935,16.000,6.03871
54,1.91290,16.000,6.03871
54,1.91935,16.000,6.03871
55,1.91613,16.000,6.04194
55,1.92903,16.000,6.03871
56,1.92258,16.000,6.03548
57,1.91290,16.000,6.04032
57,1.91613,16.000,6.03387
58,1.92581,16.000,6.03710
59,1.91613,16.000,6.03871
59,1.91774,16.000,6.04032
60,1.89677,16.000,6.03871
60,1.91935,16.000,6.03226
61,1.91129,16.000,6.04355
62,1.92742,16.000,6.04355
62,1.91935,16.000,6.04194
63,1.92258,16.000,6.03710
63,1.91774,16.000,6.04516
63,1.91129,16.000,6.04355
64,1.91935,16.000,6.04032
64,1.90806,16.000,6.04355
65,1.91452,16.000,6.04032
65,1.91935,16.000,6.04194
66,1.91129,16.000,6.03710
67,1.92419,16.000,6.04032
67,1.91613,16.000,6.03548
68,1.91129,16.000,6.03871
68,1.91774,16.000,6.02903
69,1.90806,16.000,6.04194
70,1.91452,16.000,6.03871
70,1.91774,16.000,6.04677
71,1.91935,16.000,6.04194
71,1.92097,16.000,6.03548
72,1.91774,16.000,6.03871
73,1.92903,16.000,6.04032
73,1.91452,16.000,6.03387
74,1.91613,16.000,6.03387
74,1.91774,16.000,6.03226
75,1.91774,16.000,6.04677
76,1.91613,16.000,6.03548
76,1.91613,16.000,6.03387
77,1.90968,16.000,6.04355
77,1.91613,16.000,6.03226
78,1.91452,16.000,6.03710
79,1.91613,16.000,6.03065
79,1.91290,16.000,6.03387
80,1.91452,16.000,6.03548
80,1.89355,16.000,6.03710
81,1.91129,16.000,6.03065
82,1.91935,16.000,6.03387
82,1.91613,16.000,6.03226
83,1.92419,16.000,6.04194
83,1.92097,16.000,6.03871
84,1.90968,16.000,6.03226
85,1.91613,16.000,6.03387
85,1.92581,16.000,6.03710
86,1.91613,16.000,6.03548
87,1.91935,16.000,6.03871
87,1.91290,16.000,6.04516
88,1.91613,16.000,6.03710
88,1.91935,16.000,6.03226
89,1.92419,16.000,6.03710
90,1.91774,16.000,6.04032
90,1.91935,16.000,6.03710
91,1.91613,16.000,6.03710
91,1.90484,16.000,6.03871
92,1.91290,16.000,6.03871
93,1.91774,16.000,6.03871
93,1.91452,16.000,6.03226
94,1.91613,16.000,6.03387
