timestamp,tds_v,tempC,ph_v
19,1.99516,16.000,6.03548
19,1.99194,16.000,6.04194
20,1.99839,16.000,6.03548
21,1.99194,16.000,6.04194
21,2.00000,16.000,6.03710
22,1.99355,16.000,6.03871
22,1.99194,16.000,6.04516
23,1.98871,16.000,6.04516
24,1.98065,16.000,6.03871
24,1.99677,16.000,6.05323
25,1.99355,16.000,6.03710
25,1.99516,16.000,6.04032
26,1.99677,16.000,6.04194
27,2.00161,16.000,6.04032
27,1.98065,16.000,6.04032
28,1.99355,16.000,6.04194
28,1.99516,16.000,6.03548
29,1.99677,16.000,6.03871
30,1.99355,16.000,6.04839
30,1.98548,16.000,6.03871
31,1.99194,16.000,6.04516
31,1.99194,16.000,6.03871
32,1.99032,16.000,6.03710
33,1.99355,16.000,6.04677
33,1.99032,16.000,6.05000
34,1.99516,16.000,6.04839
34,2.00161,16.000,6.04194
35,1.98548,16.000,6.03387
36,1.99355,16.000,6.04355
36,1.98871,16.000,6.04516
37,1.99355,16.000,6.03871
38,2.00484,16.000,6.04032
38,1.98548,16.000,6.02903
39,1.99194,16.000,6.04032
39,1.99839,16.000,6.04677
40,1.99516,16.000,6.03871
41,1.99194,16.000,6.04194
41,1.99839,16.000,6.04355
42,1.99355,16.000,6.03710
42,1.99516,16.000,6.04194
43,1.99516,16.000,6.04032
44,1.99194,16.000,6.03871
44,1.99677,16.000,6.03710
45,1.96290,16.000,6.03871
45,1.99355,16.000,6.04677
46,1.99032,16.000,6.03871
47,1.99516,16.000,6.04355
47,2.00000,16.000,6.03548
48,1.99516,16.000,6.03548
48,1.98710,16.000,6.04516
49,1.99355,16.000,6.04677
50,1.99677,16.000,6.04032
50,1.99677,16.000,6.03548
51,1.98710,16.000,6.04194
51,2.00000,16.000,6.04516
52,1.99516,16.000,6.04194
53,1.99355,16.000,6.04032
53,1.99677,16.000,6.03871
54,1.99194,16.000,6.04355
54,1.99677,16.000,6.04032
55,1.99355,16.000,6.04839
56,1.99839,16.000,6.04839
56,1.99194,16.000,6.04355
57,1.99355,16.000,6.03226
57,1.99355,16.000,6.04032
57,1.99516,16.000,6.03871
58,1.97581,16.000,6.03871
58,1.99677,16.000,6.04516
59,1.99194,16.000,6.03710
60,1.99355,16.000,6.04355
60,1.99194,16.000,6.03710
61,1.99355,16.000,6.03710
61,2.00806,16.000,6.04032
62,1.99355,16.000,6.03871
63,2.00161,16.000,6.04516
63,1.98548,16.000,6.03548
64,1.99355,16.000,6.04516
64,2.03226,16.000,6.04194
65,1.99194,16.000,6.03710
66,1.99032,16.000,6.04516
66,1.99516,16.000,6.04032
67,1.99032,16.000,6.04194
67,1.99194,16.000,6.04032
68,1.99194,16.000,6.03871
69,1.98548,16.000,6.04194
69,1.98387,16.000,6.03710
70,1.99194,16.000,6.03710
70,2.00161,16.000,6.04032
71,1.99032,16.000,6.04516
72,1.99516,16.000,6.04355
72,1.99516,16.000,6.04032
73,1.98065,16.000,6.03548
74,1.99032,16.000,6.04032
74,1.99355,16.000,6.04194
75,2.00161,16.000,6.03871
75,1.99032,16.000,6.03871
76,1.98710,16.000,6.03871
77,1.97903,16.000,6.04032
77,2.00000,16.000,6.04355
78,1.99355,16.000,6.04194
78,1.99032,16.000,6.04032
79,1.99677,16.000,6.03871
79,1.99839,16.000,6.04032
80,1.98871,16.000,6.04839
81,1.99355,16.000,6.03710
81,1.99355,16.000,6.04032
82,1.98871,16.000,6.03548
82,1.99355,16.000,6.04677
83,1.99516,16.000,6.04194
84,1.97742,16.000,6.03871
84,1.99355,16.000,6.04355
85,1.99355,16.000,6.04032
85,1.99677,16.000,6.04194
86,1.99355,16.000,6.03710
87,1.99516,16.000,6.04194
87,1.98226,16.000,6.04516
88,1.99194,16.000,6.03871
88,1.98226,16.000,6.03871
89,1.99516,16.000,6.04032
90,1.99194,16.000,6.03871
90,1.99355,16.000,6.04839
91,1.99355,16.000,6.02742
92,2.00323,16.000,6.05161
92,1.99516,16.000,6.04194
93,1.99194,16.000,6.04516
93,1.98226,16.000,6.04194
94,1.99032,16.000,6.04032
