timestamp,tds_v,tempC,ph_v
19,1.99839,16.000,6.04032
20,2.00645,16.000,6.03871
20,1.99677,16.000,6.04032
21,2.00161,16.000,6.03548
22,1.99677,16.000,6.04194
22,2.00000,16.000,6.03548
23,1.99516,16.000,6.04032
24,1.97581,16.000,6.04032
24,1.99677,16.000,6.03871
25,2.00323,16.000,6.04355
25,1.99355,16.000,6.03065
26,2.00000,16.000,6.02903
26,1.99032,16.000,6.03548
26,1.99839,16.000,6.03871
27,1.98710,16.000,6.03871
27,2.01129,16.000,6.03065
28,1.99516,16.000,6.04194
29,1.99516,16.000,6.03387
29,2.00323,16.000,6.03710
30,1.99677,16.000,6.04032
30,2.00000,16.000,6.03387
31,1.99839,16.000,6.03548
32,1.99839,16.000,6.03387
32,2.00323,16.000,6.03548
33,1.99839,16.000,6.04516
33,1.99032,16.000,6.03871
34,2.00000,16.000,6.03871
35,1.99677,16.000,6.03548
35,1.99516,16.000,6.03387
36,2.00484,16.000,6.03387
36,2.00484,16.000,6.04516
37,1.99355,16.000,6.03387
38,2.00000,16.000,6.03226
38,2.00323,16.000,6.03710
39,1.99194,16.000,6.03065
39,2.00000,16.000,6.03548
40,1.99516,16.000,6.04194
41,1.99355,16.000,6.03548
41,1.99677,16.000,6.03226
42,1.99355,16.000,6.03710
42,2.00000,16.000,6.02742
43,1.99194,16.000,6.02903
44,1.99839,16.000,6.03548
44,2.00645,16.000,6.04032
45,1.99032,16.000,6.03871
45,1.96935,16.000,6.04194
46,2.00000,16.000,6.04032
47,1.99032,16.000,6.02742
47,1.99516,16.000,6.04032
48,1.99355,16.000,6.03871
48,1.99516,16.000,6.03548
49,2.00484,16.000,6.03871
50,1.99516,16.000,6.04032
50,1.99355,16.000,6.03548
51,1.99839,16.000,6.03548
51,2.02258,16.000,6.03710
52,1.98226,16.000,6.03548
53,1.99677,16.000,6.03387
53,1.99516,16.000,6.03710
54,1.99032,16.000,6.03710
55,1.99677,16.000,6.03548
55,1.99839,16.000,6.03871
56,1.98871,16.000,6.02903
56,1.97258,16.000,6.04032
57,1.99194,16.000,6.03710
58,1.99194,16.000,6.02742
58,2.01290,16.000,6.03871
59,1.99355,16.000,6.03710
59,1.99839,16.000,6.03226
60,1.99677,16.000,6.03710
61,1.99355,16.000,6.04032
61,2.00161,16.000,6.04194
62,2.00000,16.000,6.03710
62,1.99355,16.000,6.03710
63,1.98548,16.000,6.03710
64,2.00484,16.000,6.03871
64,2.00484,16.000,6.04355
65,2.01129,16.000,6.03710
65,1.99355,16.000,6.03387
66,2.00000,16.000,6.03871
67,2.00161,16.000,6.03871
67,1.99194,16.000,6.03548
68,1.98710,16.000,6.03387
68,1.99677,16.000,6.03226
68,2.00645,16.000,6.03710
69,1.99677,16.000,6.04194
69,1.96613,16.000,6.03548
70,1.99677,16.000,6.03548
70,1.99516,16.000,6.03710
71,2.00161,16.000,6.04677
72,1.99355,16.000,6.04355
72,1.99516,16.000,6.03387
73,2.00000,16.000,6.02903
73,1.99355,16.000,6.03710
74,2.00323,16.000,6.03710
75,2.01613,16.000,6.03548
75,1.99516,16.000,6.04194
76,1.99839,16.000,6.04032
76,2.00323,16.000,6.03871
77,1.99839,16.000,6.04677
78,1.98548,16.000,6.03871
78,2.00000,16.000,6.03548
79,1.99355,16.000,6.03065
79,1.99839,16.000,6.03710
80,1.99355,16.000,6.03871
81,1.99677,16.000,6.03871
81,2.00484,16.000,6.03387
82,1.98871,16.000,6.03871
82,1.99032,16.000,6.04032
83,1.99032,16.000,6.04355
84,1.99677,16.000,6.02581
84,1.99194,16.000,6.03710
85,1.99516,16.000,6.03710
86,1.99839,16.000,6.03548
86,2.00161,16.000,6.04355
87,1.99677,16.000,6.03710
87,1.99839,16.000,6.04032
88,1.99516,16.000,6.03226
89,1.99677,16.000,6.03710
89,1.98548,16.000,6.03548
90,1.99677,16.000,6.03710
90,1.99032,16.000,6.03548
91,2.00484,16.000,6.03710
92,1.98387,16.000,6.03710
92,2.00323,16.000,6.03710
93,1.96129,16.000,6.03548
93,2.00000,16.000,6.04194
94,1.99677,16.000,6.03548
