timestamp,tds_v,tempC,ph_v
19,2.00161,16.000,6.03871
19,1.98710,16.000,6.03871
20,1.98710,16.000,6.04677
20,1.98226,16.000,6.03548
21,1.98387,16.000,6.04839
22,1.98548,16.000,6.04355
22,1.98065,16.000,6.03548
23,1.98226,16.000,6.03871
23,1.98065,16.000,6.03710
24,1.98226,16.000,6.04516
25,1.97903,16.000,6.03065
25,1.97581,16.000,6.04032
26,1.98226,16.000,6.04194
26,1.98226,16.000,6.04032
27,1.98226,16.000,6.04355
28,1.98710,16.000,6.04516
28,1.97903,16.000,6.03710
29,1.99194,16.000,6.04032
29,1.99355,16.000,6.03387
30,1.98548,16.000,6.04516
31,1.98226,16.000,6.03871
31,1.98548,16.000,6.03871
32,1.98226,16.000,6.03710
33,1.98387,16.000,6.04194
33,1.98226,16.000,6.04194
34,1.99355,16.000,6.03871
34,1.96129,16.000,6.03710
35,1.97903,16.000,6.04032
36,1.98065,16.000,6.04355
36,1.97419,16.000,6.04677
37,1.99032,16.000,6.03710
37,1.99032,16.000,6.05323
38,1.97742,16.000,6.04839
39,1.99032,16.000,6.04032
39,1.98871,16.000,6.04516
40,1.98710,16.000,6.03871
40,1.98871,16.000,6.03548
41,1.98387,16.000,6.04355
42,1.98710,16.000,6.04032
42,1.99032,16.000,6.03387
43,1.98065,16.000,6.03065
43,1.98548,16.000,6.03387
44,1.98065,16.000,6.03548
45,1.99032,16.000,6.03710
45,1.98226,16.000,6.04355
46,1.98871,16.000,6.03548
46,1.97903,16.000,6.03226
47,1.98226,16.000,6.04032
48,1.99032,16.000,6.04194
48,1.98871,16.000,6.04355
49,1.97903,16.000,6.04032
49,1.98710,16.000,6.04032
50,1.99355,16.000,6.03710
51,1.98065,16.000,6.03710
51,1.98710,16.000,6.03548
52,1.98548,16.000,6.04032
52,1.98387,16.000,6.04355
53,1.98387,16.000,6.04355
54,1.97742,16.000,6.04194
54,1.97581,16.000,6.04032
55,1.97581,16.000,6.03871
55,1.98387,16.000,6.04355
56,1.98548,16.000,6.02903
57,1.97903,16.000,6.03548
57,1.97581,16.000,6.03548
58,1.95645,16.000,6.03548
58,1.98710,16.000,6.03226
59,1.99032,16.000,6.04032
60,1.98871,16.000,6.03710
60,1.98065,16.000,6.04032
60,1.97581,16.000,6.03548
60,1.98710,16.000,6.04194
61,1.98548,16.000,6.03548
62,1.97258,16.000,6.03226
62,1.98387,16.000,6.04516
63,2.01613,16.000,6.04194
64,1.98065,16.000,6.03548
64,1.98548,16.000,6.03710
65,1.99032,16.000,6.03871
65,1.98065,16.000,6.04516
66,1.98548,16.000,6.03226
67,1.98871,16.000,6.03710
67,1.98548,16.000,6.04516
68,1.98065,16.000,6.04355
68,1.99032,16.000,6.04032
69,1.98710,16.000,6.03871
70,1.97903,16.000,6.03871
70,1.98065,16.000,6.04355
71,1.99516,16.000,6.04032
71,2.01452,16.000,6.04839
72,1.98065,16.000,6.04516
73,1.98548,16.000,6.03871
73,1.99194,16.000,6.04516
74,1.98548,16.000,6.04355
74,1.93871,16.000,6.04032
75,1.98548,16.000,6.03387
76,1.98710,16.000,6.04194
76,1.98710,16.000,6.04677
77,1.97903,16.000,6.04032
77,1.98387,16.000,6.04355
78,1.98226,16.000,6.03226
79,1.99032,16.000,6.03065
79,1.99032,16.000,6.03871
80,1.98548,16.000,6.03226
80,2.01613,16.000,6.03548
81,1.98226,16.000,6.04516
82,1.98871,16.000,6.03226
82,1.98548,16.000,6.04516
83,1.98387,16.000,6.03871
83,1.98871,16.000,6.04032
84,1.97903,16.000,6.03871
85,1.98226,16.000,6.04032
85,1.98387,16.000,6.04355
86,1.97742,16.000,6.03710
86,1.97742,16.000,6.03710
87,1.98710,16.000,6.03387
88,1.98548,16.000,6.03871
88,1.97903,16.000,6.04516
89,1.99032,16.000,6.03871
90,1.97742,16.000,6.03226
90,1.98871,16.000,6.04032
91,1.99032,16.000,6.03710
91,1.98226,16.000,6.03548
92,1.98710,16.000,6.04032
93,1.98548,16.000,6.04355
93,1.99355,16.000,6.03710
94,1.98226,16.000,6.04355
