timestamp,tds_v,tempC,ph_v
20,1.90323,16.000,6.04677
20,1.90806,16.000,6.04677
21,1.90484,16.000,6.03548
22,1.90645,16.000,6.04839
22,1.90161,16.000,6.04032
23,1.90323,16.000,6.04677
23,1.90806,16.000,6.03871
24,1.90484,16.000,6.04032
25,1.90806,16.000,6.04194
25,1.90484,16.000,6.04194
26,1.90484,16.000,6.04516
26,1.92742,16.000,6.04355
27,1.90806,16.000,6.04032
28,1.90968,16.000,6.03871
28,1.90000,16.000,6.03710
29,1.90323,16.000,6.03710
29,1.90000,16.000,6.04355
30,1.90806,16.000,6.04032
31,1.91129,16.000,6.04194
31,1.89839,16.000,6.04355
32,1.90806,16.000,6.04032
32,1.90645,16.000,6.04194
33,1.90645,16.000,6.03710
34,1.90968,16.000,6.04194
34,1.90645,16.000,6.05161
35,1.90806,16.000,6.04194
35,1.90323,16.000,6.04194
36,1.90645,16.000,6.04194
36,1.90645,16.000,6.03387
36,1.90645,16.000,6.04032
37,1.90968,16.000,6.04032
37,1.91290,16.000,6.04355
38,1.90806,16.000,6.03548
39,1.90806,16.000,6.03871
39,1.91774,16.000,6.05161
40,1.90484,16.000,6.03710
40,1.91613,16.000,6.03710
41,1.90323,16.000,6.03871
42,1.90000,16.000,6.04516
42,1.89677,16.000,6.04032
43,1.91290,16.000,6.04194
43,1.90323,16.000,6.04355
44,1.90968,16.000,6.04194
45,1.91129,16.000,6.03548
45,1.90484,16.000,6.04516
46,1.90645,16.000,6.04355
46,1.89839,16.000,6.04355
47,1.90645,16.000,6.03548
48,1.90806,16.000,6.03387
48,1.90806,16.000,6.03871
49,1.91290,16.000,6.03710
49,1.91129,16.000,6.04355
50,1.90484,16.000,6.04032
51,1.90645,16.000,6.03710
51,1.90645,16.000,6.04839
52,1.90968,16.000,6.03710
52,1.90484,16.000,6.03871
53,1.90161,16.000,6.04032
54,1.91452,16.000,6.04032
54,1.90161,16.000,6.04355
55,1.91129,16.000,6.04032
56,1.91129,16.000,6.04355
56,1.90161,16.000,6.04032
57,1.89032,16.000,6.03871
57,1.91290,16.000,6.04516
58,1.90806,16.000,6.03710
59,1.90806,16.000,6.04355
59,1.91129,16.000,6.04032
60,1.90323,16.000,6.03710
60,1.90323,16.000,6.04516
61,1.90968,16.000,6.04355
62,1.90000,16.000,6.04032
62,1.90484,16.000,6.04032
63,1.90645,16.000,6.03871
63,1.90968,16.000,6.04355
64,1.89839,16.000,6.03710
65,1.90484,16.000,6.03226
65,1.90161,16.000,6.03710
66,1.90645,16.000,6.03548
66,1.89677,16.000,6.04677
67,1.90323,16.000,6.04032
68,1.90968,16.000,6.03871
68,1.90968,16.000,6.03710
69,1.91452,16.000,6.03387
69,1.90806,16.000,6.03548
70,1.89677,16.000,6.03871
71,1.91129,16.000,6.03548
71,1.91129,16.000,6.04032
72,1.90323,16.000,6.03710
72,1.91129,16.000,6.04194
73,1.90968,16.000,6.04032
74,1.90968,16.000,6.04355
74,1.91290,16.000,6.04032
75,1.90000,16.000,6.03871
75,1.91613,16.000,6.04032
76,1.90323,16.000,6.04032
77,1.90806,16.000,6.03710
77,1.91290,16.000,6.04032
77,1.90968,16.000,6.03710
77,1.91129,16.000,6.04516
78,1.92258,16.000,6.03871
79,1.90645,16.000,6.03710
79,1.89839,16.000,6.04355
80,1.90323,16.000,6.04355
80,1.90968,16.000,6.04194
81,1.89677,16.000,6.04355
82,1.90161,16.000,6.03548
82,1.90645,16.000,6.04677
83,1.90806,16.000,6.03710
84,1.91129,16.000,6.04677
84,1.90968,16.000,6.03871
85,1.91774,16.000,6.03871
85,1.90806,16.000,6.04032
86,1.91129,16.000,6.04032
87,1.90645,16.000,6.04516
87,1.90806,16.000,6.03871
88,1.90645,16.000,6.04194
88,1.90323,16.000,6.04032
89,1.90645,16.000,6.03548
90,1.90968,16.000,6.03871
90,1.91452,16.000,6.03710
91,1.90484,16.000,6.03871
91,1.89677,16.000,6.04839
92,1.94194,16.000,6.04355
93,1.90968,16.000,6.03710
93,1.90806,16.000,6.04032
94,1.90484,16.000,6.03387
