timestamp,tds_v,tempC,ph_v
19,1.41613,16.000,6.04355
20,1.40968,16.000,6.03871
20,1.41452,16.000,6.03871
21,1.40806,16.000,6.03387
21,1.41290,16.000,6.03548
22,1.41452,16.000,6.03871
23,1.40968,16.000,6.04355
23,1.40968,16.000,6.04355
24,1.41290,16.000,6.04032
24,1.40645,16.000,6.03871
25,1.41452,16.000,6.03871
26,1.41452,16.000,6.03871
26,1.41452,16.000,6.04677
27,1.42419,16.000,6.02903
27,1.41613,16.000,6.04516
28,1.42419,16.000,6.03710
29,1.40645,16.000,6.04032
29,1.41452,16.000,6.03710
30,1.41129,16.000,6.03871
31,1.39839,16.000,6.04677
31,1.41452,16.000,6.03871
32,1.41452,16.000,6.03710
32,1.40806,16.000,6.04839
33,1.41452,16.000,6.04194
34,1.40161,16.000,6.04194
34,1.41613,16.000,6.04355
35,1.40968,16.000,6.03871
35,1.40645,16.000,6.03548
36,1.41129,16.000,6.04194
37,1.41290,16.000,6.04194
37,1.40645,16.000,6.05000
38,1.42419,16.000,6.04677
38,1.41290,16.000,6.03871
39,1.40968,16.000,6.04032
40,1.41129,16.000,6.03548
40,1.41452,16.000,6.03548
41,1.41452,16.000,6.04032
42,1.40968,16.000,6.04194
42,1.42097,16.000,6.04839
43,1.41452,16.000,6.04032
43,1.40806,16.000,6.03710
44,1.41613,16.000,6.04677
45,1.40968,16.000,6.04194
45,1.41613,16.000,6.03548
46,1.41290,16.000,6.04839
46,1.41452,16.000,6.04355
47,1.40806,16.000,6.05000
48,1.41290,16.000,6.03548
48,1.40968,16.000,6.04194
49,1.40484,16.000,6.03871
49,1.40806,16.000,6.03548
50,1.40968,16.000,6.03710
50,1.40806,16.000,6.03871
50,1.42742,16.000,6.03226
51,1.41613,16.000,6.04194
51,1.41935,16.000,6.03548
52,1.41129,16.000,6.03710
53,1.42258,16.000,6.03548
53,1.41129,16.000,6.03710
54,1.41290,16.000,6.04032
54,1.41774,16.000,6.03871
55,1.40968,16.000,6.03387
56,1.41452,16.000,6.04194
56,1.40806,16.000,6.04032
57,1.41613,16.000,6.04677
57,1.41290,16.000,6.03710
58,1.40968,16.000,6.03548
59,1.41774,16.000,6.04194
59,1.41935,16.000,6.04355
60,1.41613,16.000,6.04194
60,1.42097,16.000,6.04194
61,1.41613,16.000,6.03871
62,1.41935,16.000,6.04032
62,1.41613,16.000,6.04355
63,1.43065,16.000,6.04032
64,1.40000,16.000,6.04032
64,1.41935,16.000,6.03871
65,1.39032,16.000,6.03226
65,1.41290,16.000,6.03710
66,1.41129,16.000,6.04032
67,1.41452,16.000,6.04516
67,1.41129,16.000,6.03871
68,1.41613,16.000,6.03387
68,1.41129,16.000,6.04032
69,1.40000,16.000,6.03710
70,1.41452,16.000,6.04032
70,1.40968,16.000,6.04032
71,1.41290,16.000,6.04032
71,1.40968,16.000,6.03710
72,1.40968,16.000,6.03871
73,1.41613,16.000,6.04355
73,1.41129,16.000,6.04032
74,1.40968,16.000,6.03710
74,1.41290,16.000,6.04355
75,1.42097,16.000,6.04355
76,1.40968,16.000,6.04032
76,1.41290,16.000,6.04032
77,1.40968,16.000,6.04194
77,1.41129,16.000,6.03548
78,1.38065,16.000,6.04032
79,1.41613,16.000,6.04032
79,1.41613,16.000,6.03710
80,1.40968,16.000,6.04355
80,1.41452,16.000,6.03871
81,1.41452,16.000,6.04677
82,1.39839,16.000,6.04032
82,1.40161,16.000,6.03871
83,1.40645,16.000,6.03710
83,1.41774,16.000,6.03387
84,1.41452,16.000,6.03548
85,1.41774,16.000,6.04516
85,1.41613,16.000,6.03710
86,1.41129,16.000,6.03548
86,1.41935,16.000,6.03226
87,1.40645,16.000,6.03871
88,1.41129,16.000,6.04032
88,1.41935,16.000,6.04194
89,1.40968,16.000,6.04032
90,1.41129,16.000,6.04194
90,1.41774,16.000,6.04516
91,1.41452,16.000,6.04355
91,1.41613,16.000,6.03871
92,1.41774,16.000,6.03871
92,1.41129,16.000,6.04194
92,1.41613,16.000,6.04677
93,1.41129,16.000,6.03226
93,1.40645,16.000,6.04032
94,1.40968,16.000,6.03871
