timestamp,tds_v,tempC,ph_v
20,2.00323,16.000,6.03710
20,2.00161,16.000,6.03548
21,1.99516,16.000,6.03871
22,2.00000,16.000,6.03548
22,2.00323,16.000,6.04194
23,2.00161,16.000,6.03871
24,2.00806,16.000,6.03548
24,2.00161,16.000,6.03710
25,2.01290,16.000,6.03226
25,2.00968,16.000,6.04355
26,2.00323,16.000,6.03548
27,2.00161,16.000,6.03871
27,2.00806,16.000,6.03226
28,1.99355,16.000,6.04355
28,2.00484,16.000,6.03387
29,2.00323,16.000,6.04194
30,2.00161,16.000,6.03710
30,2.00000,16.000,6.04194
31,2.00161,16.000,6.03710
31,2.01129,16.000,6.04516
32,2.02581,16.000,6.04032
33,2.00484,16.000,6.03871
33,2.00484,16.000,6.04032
34,2.00645,16.000,6.03548
34,2.00645,16.000,6.03387
35,2.00161,16.000,6.03387
36,2.00968,16.000,6.03710
36,2.00645,16.000,6.03226
37,2.00000,16.000,6.03710
37,2.00968,16.000,6.04032
38,2.00645,16.000,6.03387
38,2.00000,16.000,6.03710
38,2.00806,16.000,6.03387
39,2.00161,16.000,6.04355
39,2.00806,16.000,6.04032
40,2.00000,16.000,6.03387
41,2.00645,16.000,6.04032
41,2.00161,16.000,6.04032
42,2.00161,16.000,6.03548
43,2.00161,16.000,6.04355
43,2.00806,16.000,6.02742
44,2.00000,16.000,6.03226
44,1.99194,16.000,6.03548
45,1.99516,16.000,6.03387
46,2.00968,16.000,6.04194
46,2.00323,16.000,6.04032
47,2.00484,16.000,6.03226
47,2.00161,16.000,6.03548
48,2.00323,16.000,6.03387
49,2.00323,16.000,6.03871
49,2.00000,16.000,6.04355
50,2.01129,16.000,6.03710
50,2.00645,16.000,6.03871
51,2.00645,16.000,6.03387
52,2.00000,16.000,6.03871
52,1.99839,16.000,6.03871
53,2.00806,16.000,6.04677
53,2.00645,16.000,6.04355
54,2.00806,16.000,6.03710
55,2.00161,16.000,6.03710
55,2.00645,16.000,6.04032
56,2.00968,16.000,6.04032
56,2.00000,16.000,6.03226
57,2.01290,16.000,6.03871
58,2.01129,16.000,6.03871
58,2.00323,16.000,6.03065
59,2.00645,16.000,6.03871
59,1.99516,16.000,6.03710
60,2.00645,16.000,6.03548
61,1.97419,16.000,6.03548
61,2.00645,16.000,6.03548
62,2.01129,16.000,6.03548
62,2.00806,16.000,6.04516
63,2.00645,16.000,6.04032
64,2.00645,16.000,6.04516
64,1.99839,16.000,6.03387
65,2.01129,16.000,6.04032
65,2.00000,16.000,6.04194
66,2.00806,16.000,6.03871
67,2.00806,16.000,6.03871
67,2.00323,16.000,6.03710
68,2.00484,16.000,6.03548
68,2.00484,16.000,6.03548
69,2.00161,16.000,6.03710
70,2.00645,16.000,6.03387
70,2.00161,16.000,6.03548
71,2.00968,16.000,6.03548
71,2.00484,16.000,6.04032
72,2.00806,16.000,6.04194
73,1.99839,16.000,6.03226
73,2.01290,16.000,6.04516
74,2.01129,16.000,6.03226
75,1.99194,16.000,6.04194
75,2.00161,16.000,6.03710
76,1.96290,16.000,6.03387
76,2.00806,16.000,6.03710
77,2.00806,16.000,6.04194
78,2.00323,16.000,6.03387
78,2.00645,16.000,6.04355
79,2.00484,16.000,6.03871
79,2.00968,16.000,6.04516
79,2.00806,16.000,6.04516
80,2.00323,16.000,6.03710
80,2.00645,16.000,6.04677
81,2.00161,16.000,6.04516
82,1.99516,16.000,6.04194
82,2.00323,16.000,6.04516
83,2.00645,16.000,6.04032
83,1.99839,16.000,6.04355
84,2.00968,16.000,6.04677
85,1.99516,16.000,6.04032
85,2.00161,16.000,6.03710
86,1.99194,16.000,6.04194
86,1.97742,16.000,6.04194
87,2.00806,16.000,6.03871
88,2.00484,16.000,6.03871
88,2.00806,16.000,6.03548
89,2.00806,16.000,6.05161
89,2.00484,16.000,6.04355
90,2.00323,16.000,6.04194
91,2.00645,16.000,6.03710
91,2.00323,16.000,6.03871
92,2.00161,16.000,6.04839
92,2.00645,16.000,6.03387
93,2.00000,16.000,6.03548
94,2.00000,16.000,6.03387
