timestamp,tds_v,tempC,ph_v
20,1.50161,16.000,6.02742
20,1.46774,16.000,6.02903
21,1.46290,16.000,6.02903
22,1.47097,16.000,6.03548
22,1.47258,16.000,6.04355
23,1.47581,16.000,6.03871
23,1.46613,16.000,6.03065
24,1.47903,16.000,6.02903
25,1.47258,16.000,6.03548
25,1.46452,16.000,6.04032
26,1.48065,16.000,6.03387
26,1.47903,16.000,6.03871
27,1.46935,16.000,6.04032
28,1.47581,16.000,6.03871
28,1.45000,16.000,6.03871
29,1.47581,16.000,6.04194
30,1.47581,16.000,6.03710
30,1.46935,16.000,6.03548
31,1.47419,16.000,6.03710
31,1.47581,16.000,6.03387
31,1.46774,16.000,6.03871
32,1.47097,16.000,6.03710
32,1.46452,16.000,6.03548
33,1.47903,16.000,6.03710
33,1.47097,16.000,6.03548
34,1.47581,16.000,6.04032
35,1.46774,16.000,6.04032
35,1.46774,16.000,6.04194
36,1.47258,16.000,6.03065
36,1.47097,16.000,6.03871
37,1.47581,16.000,6.03387
38,1.47258,16.000,6.03387
38,1.46290,16.000,6.03871
39,1.47258,16.000,6.03387
39,1.47258,16.000,6.03387
40,1.46935,16.000,6.03710
41,1.47419,16.000,6.03226
41,1.48065,16.000,6.03548
42,1.47419,16.000,6.04194
42,1.47742,16.000,6.03710
43,1.48065,16.000,6.03871
44,1.46935,16.000,6.02581
44,1.46774,16.000,6.04194
45,1.47419,16.000,6.03548
45,1.47419,16.000,6.03710
46,1.47581,16.000,6.04355
47,1.48226,16.000,6.03871
47,1.47903,16.000,6.03226
48,1.47258,16.000,6.03065
49,1.47097,16.000,6.03065
49,1.47419,16.000,6.03065
50,1.47419,16.000,6.03548
50,1.46935,16.000,6.03548
51,1.47419,16.000,6.03548
52,1.47097,16.000,6.03710
52,1.47258,16.000,6.03065
53,1.46774,16.000,6.03710
53,1.47097,16.000,6.04194
54,1.47097,16.000,6.03548
55,1.46129,16.000,6.03065
55,1.46774,16.000,6.03548
56,1.47581,16.000,6.03387
56,1.47742,16.000,6.03548
57,1.46774,16.000,6.03226
58,1.47258,16.000,6.03387
58,1.47258,16.000,6.03548
59,1.47258,16.000,6.03871
59,1.48387,16.000,6.05000
60,1.47581,16.000,6.03710
61,1.46935,16.000,6.03226
61,1.47097,16.000,6.03710
62,1.47258,16.000,6.04032
62,1.47258,16.000,6.03548
63,1.47419,16.000,6.03548
64,1.47742,16.000,6.04032
64,1.47581,16.000,6.04032
65,1.47258,16.000,6.03871
65,1.47258,16.000,6.04032
66,1.47581,16.000,6.03387
67,1.47258,16.000,6.03871
67,1.47581,16.000,6.03871
68,1.47742,16.000,6.02903
68,1.46774,16.000,6.04032
69,1.47903,16.000,6.03871
70,1.47258,16.000,6.03871
70,1.47419,16.000,6.04032
71,1.47097,16.000,6.04032
72,1.47258,16.000,6.04355
72,1.47419,16.000,6.04194
72,1.47581,16.000,6.03710
72,1.47258,16.000,6.03548
73,1.46935,16.000,6.03710
74,1.47419,16.000,6.04194
74,1.47097,16.000,6.03871
75,1.47097,16.000,6.03710
75,1.46774,16.000,6.03871
76,1.47097,16.000,6.03871
77,1.47258,16.000,6.04355
77,1.46935,16.000,6.03387
78,1.46774,16.000,6.03548
78,1.47258,16.000,6.03710
79,1.46452,16.000,6.03548
80,1.46935,16.000,6.03871
80,1.47419,16.000,6.03871
81,1.47742,16.000,6.04194
82,1.47419,16.000,6.03871
82,1.47581,16.000,6.03548
83,1.47258,16.000,6.03871
83,1.45323,16.000,6.03226
84,1.47581,16.000,6.04032
85,1.47097,16.000,6.04194
85,1.47742,16.000,6.04194
86,1.46935,16.000,6.03871
86,1.47097,16.000,6.03871
87,1.46774,16.000,6.04194
87,1.46774,16.000,6.04516
88,1.47258,16.000,6.03871
89,1.47097,16.000,6.03387
89,1.47742,16.000,6.02903
90,1.47097,16.000,6.04032
90,1.47419,16.000,6.03871
91,1.47419,16.000,6.03387
92,1.47419,16.000,6.03387
92,1.47097,16.000,6.03871
93,1.47419,16.000,6.03871
93,1.46452,16.000,6.04516
94,1.46935,16.000,6.04677
