timestamp,tds_v,tempC,ph_v
19,1.93226,16.000,6.03710
20,1.93065,16.000,6.03710
20,1.92742,16.000,6.03710
20,1.93065,16.000,6.03387
21,1.92581,16.000,6.05161
21,1.93548,16.000,6.03871
22,1.93226,16.000,6.03548
23,1.93065,16.000,6.03710
23,1.93226,16.000,6.04032
24,1.91935,16.000,6.03871
24,1.93710,16.000,6.03710
25,1.93065,16.000,6.03871
26,1.92097,16.000,6.04032
26,1.93226,16.000,6.02742
27,1.93065,16.000,6.03710
27,1.93065,16.000,6.04516
28,1.92903,16.000,6.03871
28,1.92903,16.000,6.03871
29,1.92581,16.000,6.04355
30,1.91129,16.000,6.04032
30,1.93387,16.000,6.03548
31,1.94516,16.000,6.03871
31,1.92258,16.000,6.04677
32,1.93226,16.000,6.03548
33,1.93226,16.000,6.03710
33,1.93387,16.000,6.04355
34,1.90645,16.000,6.03871
34,1.92903,16.000,6.04516
35,1.93226,16.000,6.03548
36,1.93548,16.000,6.03065
36,1.93548,16.000,6.03871
37,1.92742,16.000,6.03871
37,1.92903,16.000,6.04032
38,1.92581,16.000,6.03710
39,1.93548,16.000,6.04355
39,1.93065,16.000,6.04032
40,1.93548,16.000,6.04032
40,1.94194,16.000,6.04032
41,1.93548,16.000,6.04194
42,1.93387,16.000,6.04032
42,1.93710,16.000,6.03871
43,1.92903,16.000,6.03710
44,1.93871,16.000,6.03710
44,1.93226,16.000,6.03548
45,1.92419,16.000,6.03710
45,1.93710,16.000,6.04032
46,1.92903,16.000,6.04355
47,1.93387,16.000,6.03548
47,1.93548,16.000,6.03871
48,1.93387,16.000,6.03548
48,1.94194,16.000,6.04677
49,1.92742,16.000,6.04032
50,1.93065,16.000,6.03710
50,1.92903,16.000,6.03226
51,1.93387,16.000,6.04194
52,1.89032,16.000,6.04194
52,1.92903,16.000,6.03548
53,1.93226,16.000,6.04516
53,1.93548,16.000,6.04355
54,1.92903,16.000,6.03710
55,1.92419,16.000,6.03065
55,1.93065,16.000,6.03226
56,1.93065,16.000,6.04032
56,1.93871,16.000,6.02903
57,1.93065,16.000,6.04032
58,1.93226,16.000,6.03710
58,1.92903,16.000,6.03387
59,1.91613,16.000,6.04355
59,1.93548,16.000,6.03548
60,1.93226,16.000,6.03548
61,1.93710,16.000,6.03226
61,1.92903,16.000,6.03871
61,1.92742,16.000,6.04516
61,1.93871,16.000,6.03387
62,1.92742,16.000,6.03871
63,1.93548,16.000,6.03710
63,1.93065,16.000,6.04032
64,1.92903,16.000,6.04355
64,1.93387,16.000,6.04032
65,1.94032,16.000,6.03548
66,1.93710,16.000,6.03710
66,1.93226,16.000,6.04032
67,1.93226,16.000,6.04194
67,1.93065,16.000,6.03387
68,1.94839,16.000,6.03548
69,1.93548,16.000,6.03387
69,1.92419,16.000,6.03710
70,1.92581,16.000,6.03548
70,1.93065,16.000,6.03387
71,1.92903,16.000,6.03871
72,1.89677,16.000,6.04355
72,1.93548,16.000,6.03226
73,1.93387,16.000,6.03710
73,1.93548,16.000,6.03548
74,1.93226,16.000,6.03710
75,1.92742,16.000,6.02419
75,1.93548,16.000,6.03710
76,1.93387,16.000,6.03871
76,1.93065,16.000,6.03548
77,1.93226,16.000,6.03548
78,1.93387,16.000,6.04677
78,1.93710,16.000,6.04194
79,1.93710,16.000,6.04194
80,1.93226,16.000,6.03710
80,1.93710,16.000,6.03710
81,1.93065,16.000,6.04194
81,1.92742,16.000,6.04032
82,1.90484,16.000,6.03871
83,1.93065,16.000,6.04355
83,1.93065,16.000,6.04032
84,1.93065,16.000,6.04516
84,1.93065,16.000,6.04032
85,1.92742,16.000,6.04355
86,1.92903,16.000,6.04032
86,1.93710,16.000,6.04194
87,1.92903,16.000,6.04355
87,1.92903,16.000,6.03387
88,1.92903,16.000,6.04355
89,1.92581,16.000,6.04032
89,1.93710,16.000,6.04516
90,1.92903,16.000,6.04516
90,1.93226,16.000,6.03710
91,1.93387,16.000,6.03710
92,1.92581,16.000,6.04677
92,1.93065,16.000,6.04194
93,1.93065,16.000,6.04194
93,1.92742,16.000,6.03871
94,1.93065,16.000,6.03871
