timestamp,tds_v,tempC,ph_v
19,1.88548,16.000,6.03548
20,1.90806,16.000,6.03387
20,1.90645,16.000,6.03871
21,1.91613,16.000,6.03065
22,1.90484,16.000,6.03226
22,1.88710,16.000,6.03387
23,1.90968,16.000,6.03065
23,1.90806,16.000,6.03548
24,1.90806,16.000,6.03226
25,1.89516,16.000,6.03548
25,1.90645,16.000,6.03710
26,1.90806,16.000,6.03710
27,1.90161,16.000,6.03387
27,1.90323,16.000,6.02903
28,1.89839,16.000,6.04516
28,1.91129,16.000,6.03065
29,1.90806,16.000,6.03548
30,1.90161,16.000,6.04032
30,1.90323,16.000,6.03710
31,1.90968,16.000,6.03871
31,1.90484,16.000,6.03387
32,1.90645,16.000,6.03710
33,1.90323,16.000,6.03871
33,1.90323,16.000,6.04032
34,1.90806,16.000,6.04194
34,1.90968,16.000,6.03710
35,1.90484,16.000,6.03226
36,1.90323,16.000,6.03226
36,1.90806,16.000,6.03871
37,1.89839,16.000,6.04194
37,1.91129,16.000,6.03226
38,1.90806,16.000,6.03065
38,1.90806,16.000,6.03871
38,1.90645,16.000,6.03226
39,1.91613,16.000,6.03226
39,1.90323,16.000,6.03387
40,1.90806,16.000,6.03226
41,1.90645,16.000,6.02903
41,1.91452,16.000,6.03710
42,1.91129,16.000,6.04194
42,1.90645,16.000,6.04194
43,1.90968,16.000,6.03871
44,1.90806,16.000,6.02742
44,1.90968,16.000,6.04032
45,1.89355,16.000,6.03871
45,1.90806,16.000,6.03548
46,1.91290,16.000,6.03387
47,1.90806,16.000,6.04516
47,1.90968,16.000,6.03871
48,1.91452,16.000,6.03871
49,1.90645,16.000,6.04032
49,1.91129,16.000,6.04032
50,1.88710,16.000,6.03387
50,1.90000,16.000,6.03710
51,1.90806,16.000,6.04032
52,1.87419,16.000,6.04516
52,1.90323,16.000,6.04032
53,1.91935,16.000,6.05161
53,1.90484,16.000,6.03871
54,1.90806,16.000,6.04516
55,1.90484,16.000,6.03548
55,1.90806,16.000,6.03871
56,1.90645,16.000,6.04839
56,1.90323,16.000,6.04677
57,1.90484,16.000,6.04032
58,1.90645,16.000,6.04032
58,1.90000,16.000,6.04355
59,1.90484,16.000,6.04839
59,1.90968,16.000,6.04194
60,1.91290,16.000,6.04032
61,1.90645,16.000,6.04355
61,1.90484,16.000,6.03548
62,1.90806,16.000,6.04355
62,1.90645,16.000,6.03548
63,1.90806,16.000,6.03387
64,1.91613,16.000,6.04516
64,1.90968,16.000,6.04194
65,1.90968,16.000,6.04677
65,1.90806,16.000,6.04194
66,1.91129,16.000,6.03710
67,1.91290,16.000,6.04194
67,1.90645,16.000,6.03548
68,1.90161,16.000,6.03710
68,1.90968,16.000,6.03710
69,1.91129,16.000,6.04032
70,1.90968,16.000,6.04032
70,1.91290,16.000,6.03548
71,1.89839,16.000,6.03710
71,1.91290,16.000,6.03387
72,1.90645,16.000,6.04355
73,1.90645,16.000,6.03387
73,1.91129,16.000,6.03710
74,1.91129,16.000,6.04194
75,1.91290,16.000,6.04032
75,1.91129,16.000,6.03226
76,1.90484,16.000,6.03710
76,1.90484,16.000,6.03710
77,1.89194,16.000,6.03387
78,1.90645,16.000,6.03710
78,1.90645,16.000,6.03871
79,1.90806,16.000,6.03710
79,1.90161,16.000,6.04032
80,1.90484,16.000,6.03387
80,1.91452,16.000,6.03710
80,1.89677,16.000,6.03710
81,1.91290,16.000,6.04194
81,1.90806,16.000,6.03548
82,1.91452,16.000,6.03871
83,1.90968,16.000,6.04032
83,1.91290,16.000,6.04032
84,1.90161,16.000,6.04194
84,1.90806,16.000,6.04032
85,1.89677,16.000,6.03710
86,1.89677,16.000,6.03548
86,1.90645,16.000,6.04032
87,1.90161,16.000,6.04032
87,1.91129,16.000,6.03548
88,1.90161,16.000,6.04032
89,1.91129,16.000,6.03387
89,1.90645,16.000,6.03548
90,1.90806,16.000,6.03871
90,1.91129,16.000,6.04194
91,1.89677,16.000,6.04194
92,1.90645,16.000,6.04355
92,1.90806,16.000,6.03871
93,1.90806,16.000,6.04032
93,1.90806,16.000,6.04032
94,1.90645,16.000,6.03548
