timestamp,tds_v,tempC,ph_v
19,1.40323,16.000,6.02903
19,1.40806,16.000,6.03226
20,1.40968,16.000,6.03387
21,1.41129,16.000,6.04032
21,1.41129,16.000,6.03710
22,1.40645,16.000,6.03871
23,1.41613,16.000,6.03871
23,1.41935,16.000,6.04194
24,1.40323,16.000,6.03871
24,1.40645,16.000,6.04839
25,1.40645,16.000,6.03548
26,1.40645,16.000,6.03871
26,1.40806,16.000,6.04516
27,1.40484,16.000,6.04032
27,1.40161,16.000,6.04355
28,1.40968,16.000,6.03387
29,1.40806,16.000,6.03710
29,1.41290,16.000,6.03871
30,1.41452,16.000,6.03226
30,1.40000,16.000,6.03710
31,1.41129,16.000,6.03548
32,1.40161,16.000,6.03548
32,1.40968,16.000,6.04032
33,1.41129,16.000,6.03226
33,1.40968,16.000,6.04032
34,1.40968,16.000,6.03710
35,1.42258,16.000,6.02903
35,1.40968,16.000,6.03871
36,1.40806,16.000,6.03710
36,1.41290,16.000,6.04194
37,1.39839,16.000,6.03710
38,1.41613,16.000,6.04032
38,1.40645,16.000,6.03871
39,1.40806,16.000,6.03548
39,1.40161,16.000,6.04355
40,1.40484,16.000,6.03548
41,1.40968,16.000,6.03871
41,1.40806,16.000,6.03710
41,1.40968,16.000,6.03710
41,1.40968,16.000,6.03387
42,1.40645,16.000,6.03548
43,1.40968,16.000,6.04355
43,1.41290,16.000,6.04032
44,1.40806,16.000,6.03871
44,1.41129,16.000,6.03871
45,1.40323,16.000,6.04032
46,1.41290,16.000,6.03065
46,1.40645,16.000,6.03871
47,1.40323,16.000,6.03387
48,1.39677,16.000,6.04194
48,1.40161,16.000,6.03710
49,1.40323,16.000,6.04032
49,1.40000,16.000,6.03065
50,1.40806,16.000,6.03871
51,1.36935,16.000,6.03871
51,1.40645,16.000,6.04355
52,1.40968,16.000,6.03871
52,1.40806,16.000,6.03871
53,1.40323,16.000,6.04194
54,1.40806,16.000,6.03710
54,1.40000,16.000,6.03548
55,1.41452,16.000,6.03710
56,1.40968,16.000,6.03226
56,1.40323,16.000,6.03548
57,1.40000,16.000,6.05000
57,1.41290,16.000,6.04032
58,1.39032,16.000,6.03871
59,1.40484,16.000,6.04032
59,1.40645,16.000,6.03710
60,1.38065,16.000,6.03548
60,1.40645,16.000,6.04355
61,1.41129,16.000,6.03871
62,1.41129,16.000,6.03871
62,1.41290,16.000,6.03548
63,1.40806,16.000,6.03548
63,1.40645,16.000,6.03710
64,1.40806,16.000,6.03226
64,1.40161,16.000,6.03871
65,1.40484,16.000,6.03548
66,1.40806,16.000,6.03387
66,1.40645,16.000,6.03226
67,1.41290,16.000,6.03710
67,1.40323,16.000,6.03226
68,1.40806,16.000,6.04355
68,1.40968,16.000,6.03710
69,1.41290,16.000,6.03226
