timestamp,tds_v,tempC,ph_v
19,1.94677,16.000,6.04032
20,1.95484,16.000,6.03548
20,1.94839,16.000,6.03065
21,1.95000,16.000,6.03710
22,1.95000,16.000,6.04032
22,1.95000,16.000,6.03387
23,1.94355,16.000,6.02742
23,1.95323,16.000,6.04032
24,1.95484,16.000,6.03871
25,1.95806,16.000,6.04355
25,1.95323,16.000,6.03226
26,1.95323,16.000,6.04516
26,1.96774,16.000,6.04032
27,1.95484,16.000,6.03710
28,1.95000,16.000,6.04516
28,1.95968,16.000,6.03548
29,1.95645,16.000,6.03871
30,1.95645,16.000,6.03871
30,1.94516,16.000,6.03710
31,1.96290,16.000,6.04839
31,1.95161,16.000,6.03387
32,1.94839,16.000,6.03226
33,1.95484,16.000,6.03387
33,1.96935,16.000,6.03710
34,1.94839,16.000,6.03871
34,1.94839,16.000,6.03548
35,1.95323,16.000,6.03548
36,1.95161,16.000,6.03065
36,1.95645,16.000,6.03710
37,1.95161,16.000,6.03871
37,1.95645,16.000,6.03871
38,1.95323,16.000,6.04032
39,1.94677,16.000,6.03226
39,1.95645,16.000,6.02903
40,1.94839,16.000,6.04032
40,1.95161,16.000,6.03226
41,1.95484,16.000,6.03871
42,1.94839,16.000,6.04032
42,1.95323,16.000,6.02581
43,1.95161,16.000,6.03548
43,1.94839,16.000,6.03871
44,1.95000,16.000,6.03548
45,1.95968,16.000,6.04194
45,1.95323,16.000,6.02903
46,1.95806,16.000,6.04355
46,1.95323,16.000,6.03871
46,1.96935,16.000,6.03871
47,1.94839,16.000,6.04194
47,1.95484,16.000,6.04677
48,1.95161,16.000,6.04355
48,1.95323,16.000,6.04355
49,1.95000,16.000,6.03548
50,1.95484,16.000,6.03548
50,1.95323,16.000,6.04194
51,1.96290,16.000,6.04194
51,1.95484,16.000,6.04032
52,1.92742,16.000,6.03710
53,1.95484,16.000,6.03871
53,1.95968,16.000,6.03710
54,1.95484,16.000,6.03871
54,1.95484,16.000,6.04355
55,1.93548,16.000,6.04032
56,1.95645,16.000,6.04032
56,1.95968,16.000,6.03871
57,1.94839,16.000,6.04839
58,1.95645,16.000,6.03871
58,1.96290,16.000,6.04032
59,1.95161,16.000,6.04677
59,1.94677,16.000,6.03871
60,1.94839,16.000,6.03871
61,1.93710,16.000,6.04355
61,1.94032,16.000,6.04194
62,1.95323,16.000,6.03226
62,1.94677,16.000,6.03548
63,1.95000,16.000,6.04516
64,1.95645,16.000,6.04194
64,1.95161,16.000,6.03226
65,1.95000,16.000,6.03548
65,1.95000,16.000,6.03226
66,1.95000,16.000,6.04839
67,1.93548,16.000,6.03226
67,1.95484,16.000,6.03226
68,1.95645,16.000,6.04355
68,1.95645,16.000,6.03710
69,1.95484,16.000,6.03710
70,1.95161,16.000,6.03871
70,1.95323,16.000,6.03387
71,1.95000,16.000,6.03065
71,1.94839,16.000,6.03548
72,1.95323,16.000,6.03710
73,1.96129,16.000,6.03710
73,1.95484,16.000,6.03710
74,1.95968,16.000,6.03871
74,1.96613,16.000,6.04032
75,1.95161,16.000,6.03710
76,1.94839,16.000,6.03226
76,1.95161,16.000,6.03387
77,1.95000,16.000,6.04194
77,1.95161,16.000,6.03548
78,1.94677,16.000,6.04194
79,1.95645,16.000,6.03871
79,1.94839,16.000,6.03226
80,1.95484,16.000,6.04839
80,1.94194,16.000,6.03710
81,1.95161,16.000,6.04194
82,1.95000,16.000,6.04516
82,1.94032,16.000,6.04516
83,1.95323,16.000,6.03710
83,1.95323,16.000,6.03710
84,1.95645,16.000,6.04516
85,1.93871,16.000,6.03387
85,1.95323,16.000,6.03548
86,1.96935,16.000,6.04677
87,1.94839,16.000,6.03710
87,1.95806,16.000,6.03871
88,1.94839,16.000,6.03387
88,1.94677,16.000,6.04516
88,1.95968,16.000,6.05000
89,1.95000,16.000,6.03710
89,1.95968,16.000,6.04032
90,1.95161,16.000,6.04355
90,1.95000,16.000,6.03710
91,1.95806,16.000,6.04194
92,1.94032,16.000,6.03548
92,1.95000,16.000,6.03871
93,1.94839,16.000,6.04355
93,1.95645,16.000,6.03226
94,1.95000,16.000,6.04032
