timestamp,tds_v,tempC,ph_v
20,1.41129,16.000,6.03871
20,1.41613,16.000,6.03710
20,1.41613,16.000,6.03226
21,1.40806,16.000,6.03710
21,1.40323,16.000,6.03226
22,1.41452,16.000,6.04032
22,1.40806,16.000,6.03548
23,1.41290,16.000,6.04194
24,1.41290,16.000,6.04516
24,1.41613,16.000,6.04355
25,1.41290,16.000,6.04194
25,1.40968,16.000,6.03548
26,1.40968,16.000,6.03548
27,1.40806,16.000,6.03871
27,1.41774,16.000,6.03710
28,1.40806,16.000,6.03226
29,1.39839,16.000,6.03548
29,1.41129,16.000,6.04355
30,1.40968,16.000,6.03710
30,1.40323,16.000,6.05000
31,1.40484,16.000,6.03387
32,1.40645,16.000,6.03387
32,1.40806,16.000,6.04032
33,1.40161,16.000,6.04516
33,1.40645,16.000,6.04516
34,1.44516,16.000,6.04839
35,1.41129,16.000,6.03548
35,1.41452,16.000,6.03710
36,1.40968,16.000,6.04032
36,1.40323,16.000,6.03871
37,1.40806,16.000,6.03387
38,1.42742,16.000,6.04194
38,1.41613,16.000,6.04355
39,1.40968,16.000,6.03710
39,1.41613,16.000,6.04355
40,1.40806,16.000,6.03871
41,1.41290,16.000,6.03710
41,1.40645,16.000,6.04194
42,1.40968,16.000,6.03710
42,1.41452,16.000,6.04677
43,1.40484,16.000,6.04032
44,1.41129,16.000,6.03871
44,1.40968,16.000,6.04032
45,1.41613,16.000,6.03065
45,1.41452,16.000,6.03871
46,1.41129,16.000,6.04677
47,1.40968,16.000,6.03871
47,1.40968,16.000,6.04677
48,1.41452,16.000,6.03710
49,1.41774,16.000,6.04677
49,1.41290,16.000,6.04355
50,1.40806,16.000,6.03548
50,1.40645,16.000,6.03548
51,1.40000,16.000,6.03710
52,1.41452,16.000,6.03710
52,1.41452,16.000,6.03065
53,1.41129,16.000,6.03871
53,1.40806,16.000,6.04032
54,1.40968,16.000,6.04032
55,1.39194,16.000,6.04032
55,1.40806,16.000,6.04194
56,1.40484,16.000,6.03871
56,1.40968,16.000,6.03710
57,1.41129,16.000,6.03387
58,1.41129,16.000,6.04516
58,1.40806,16.000,6.03871
59,1.40645,16.000,6.03871
59,1.40806,16.000,6.04194
60,1.40968,16.000,6.03710
61,1.41452,16.000,6.04839
61,1.40968,16.000,6.04032
61,1.41935,16.000,6.04032
62,1.41452,16.000,6.03871
62,1.40968,16.000,6.04194
63,1.42742,16.000,6.04032
63,1.40806,16.000,6.03387
64,1.39839,16.000,6.04355
65,1.40806,16.000,6.04516
65,1.41452,16.000,6.04194
66,1.40968,16.000,6.04032
66,1.40968,16.000,6.04032
67,1.41452,16.000,6.04032
68,1.41935,16.000,6.03710
68,1.40645,16.000,6.04839
69,1.41129,16.000,6.04032
69,1.40806,16.000,6.04355
70,1.40806,16.000,6.03387
71,1.40645,16.000,6.03710
71,1.40968,16.000,6.04032
72,1.41129,16.000,6.03548
72,1.41290,16.000,6.04032
73,1.40323,16.000,6.03387
74,1.40806,16.000,6.03710
74,1.41290,16.000,6.04194
75,1.40323,16.000,6.03710
75,1.41129,16.000,6.03871
76,1.40968,16.000,6.04194
77,1.40968,16.000,6.04194
77,1.40806,16.000,6.03548
78,1.40806,16.000,6.04355
78,1.41129,16.000,6.03548
79,1.40968,16.000,6.03548
80,1.40484,16.000,6.03710
80,1.40645,16.000,6.03548
81,1.40968,16.000,6.03871
81,1.40484,16.000,6.03548
82,1.40645,16.000,6.03710
83,1.40000,16.000,6.03548
83,1.41129,16.000,6.03710
84,1.40323,16.000,6.04194
84,1.40806,16.000,6.04032
85,1.40645,16.000,6.03226
86,1.40968,16.000,6.03226
86,1.41935,16.000,6.03710
87,1.40323,16.000,6.04355
88,1.40323,16.000,6.03710
88,1.39839,16.000,6.04194
89,1.40645,16.000,6.04032
89,1.40806,16.000,6.03871
90,1.38065,16.000,6.03387
91,1.40484,16.000,6.04355
91,1.41129,16.000,6.03710
92,1.40645,16.000,6.03710
92,1.41129,16.000,6.04355
93,1.40645,16.000,6.03387
94,1.41129,16.000,6.03871
