timestamp,tds_v,tempC,ph_v
19,1.97419,16.000,6.04355
20,1.97258,16.000,6.04194
20,1.97903,16.000,6.04516
21,1.97258,16.000,6.03871
21,1.97581,16.000,6.04677
22,1.97742,16.000,6.03710
23,1.96613,16.000,6.04355
23,1.98548,16.000,6.04677
24,1.97903,16.000,6.03710
24,1.96452,16.000,6.04516
25,1.98065,16.000,6.04839
26,1.96129,16.000,6.04355
26,1.97419,16.000,6.04677
27,1.97581,16.000,6.03710
27,1.95323,16.000,6.04032
28,1.97742,16.000,6.04355
29,1.97258,16.000,6.04194
29,1.98065,16.000,6.04839
30,1.97419,16.000,6.04032
30,1.97742,16.000,6.04194
31,1.98065,16.000,6.04194
32,1.96290,16.000,6.03387
32,1.97097,16.000,6.04516
33,1.98065,16.000,6.03710
34,1.97097,16.000,6.03871
34,1.98065,16.000,6.03871
35,1.97419,16.000,6.04032
35,1.98065,16.000,6.04194
36,1.97742,16.000,6.04677
37,1.98065,16.000,6.04516
37,1.97419,16.000,6.03548
38,1.97581,16.000,6.04194
38,1.97903,16.000,6.03387
39,1.97258,16.000,6.03387
40,1.97742,16.000,6.04677
40,1.97903,16.000,6.03710
41,1.97581,16.000,6.03548
41,1.96774,16.000,6.04516
42,1.97258,16.000,6.03226
43,1.97097,16.000,6.04516
43,1.97419,16.000,6.03710
44,1.96774,16.000,6.04032
45,1.97742,16.000,6.04032
45,1.98065,16.000,6.04355
46,1.97903,16.000,6.05161
46,1.97581,16.000,6.04032
47,1.97419,16.000,6.03548
48,1.97581,16.000,6.04032
48,1.98226,16.000,6.05161
49,1.97097,16.000,6.04839
49,1.97258,16.000,6.03710
50,1.97258,16.000,6.04839
51,1.97742,16.000,6.04355
51,1.97581,16.000,6.04194
51,1.98548,16.000,6.04677
51,1.97903,16.000,6.05000
52,1.97742,16.000,6.04194
53,1.98065,16.000,6.03871
53,1.95000,16.000,6.03387
54,1.96935,16.000,6.04516
54,1.97742,16.000,6.04355
55,1.97581,16.000,6.03871
56,1.97097,16.000,6.04516
56,1.97258,16.000,6.04516
57,1.97742,16.000,6.04355
57,1.97258,16.000,6.03871
58,1.97903,16.000,6.04032
59,1.98226,16.000,6.04194
59,1.97581,16.000,6.03548
60,1.97419,16.000,6.04677
60,1.96290,16.000,6.03871
61,1.97097,16.000,6.03871
62,1.93387,16.000,6.04194
62,1.98065,16.000,6.04516
63,1.96613,16.000,6.04355
63,1.96935,16.000,6.03387
64,1.98065,16.000,6.04194
65,1.97581,16.000,6.03710
65,1.97581,16.000,6.03871
66,1.97903,16.000,6.03548
66,1.98226,16.000,6.03871
67,1.97419,16.000,6.03871
68,1.95484,16.000,6.04839
68,1.97581,16.000,6.03548
69,1.97258,16.000,6.04677
70,1.97258,16.000,6.04032
70,1.97903,16.000,6.04194
71,1.98226,16.000,6.03548
71,1.97419,16.000,6.04032
72,1.97419,16.000,6.03548
73,1.93710,16.000,6.03710
73,1.97419,16.000,6.04032
74,1.97419,16.000,6.03710
74,1.97097,16.000,6.04355
75,1.96613,16.000,6.04516
76,1.97742,16.000,6.03871
76,1.98871,16.000,6.04194
77,1.97258,16.000,6.03871
77,1.97581,16.000,6.04194
78,1.97258,16.000,6.04516
79,1.97258,16.000,6.03871
79,1.97581,16.000,6.03548
80,1.97258,16.000,6.03548
80,1.96290,16.000,6.04032
81,1.97742,16.000,6.04516
82,1.97581,16.000,6.03548
82,1.97419,16.000,6.03871
83,1.97258,16.000,6.03871
83,1.97419,16.000,6.03710
84,1.96935,16.000,6.03871
84,1.97419,16.000,6.04032
85,1.97581,16.000,6.03871
86,1.97581,16.000,6.02742
86,1.97419,16.000,6.04194
87,1.97097,16.000,6.03871
87,1.97097,16.000,6.03871
