timestamp,tds_v,tempC,ph_v
19,1.39516,16.000,6.03548
20,1.40484,16.000,6.03871
21,1.40968,16.000,6.03871
21,1.40806,16.000,6.03710
22,1.39839,16.000,6.03710
22,1.40161,16.000,6.03871
23,1.40645,16.000,6.02903
24,1.40806,16.000,6.03710
24,1.39839,16.000,6.03871
25,1.36774,16.000,6.04194
25,1.40323,16.000,6.04032
26,1.39839,16.000,6.03871
27,1.41935,16.000,6.03871
27,1.39516,16.000,6.03387
28,1.40323,16.000,6.03710
28,1.40645,16.000,6.03710
29,1.40161,16.000,6.03548
30,1.40484,16.000,6.03548
30,1.40968,16.000,6.03871
31,1.39032,16.000,6.04194
31,1.40645,16.000,6.04839
32,1.40161,16.000,6.04032
33,1.40645,16.000,6.04355
33,1.40323,16.000,6.04516
34,1.39839,16.000,6.04194
34,1.40161,16.000,6.04516
35,1.40484,16.000,6.03548
36,1.38226,16.000,6.04516
36,1.40323,16.000,6.04194
37,1.40000,16.000,6.04032
37,1.40645,16.000,6.03710
38,1.40323,16.000,6.04032
39,1.39677,16.000,6.03871
39,1.40161,16.000,6.04194
40,1.40484,16.000,6.03871
40,1.40968,16.000,6.04839
40,1.40161,16.000,6.04194
41,1.40806,16.000,6.03387
41,1.40000,16.000,6.03548
42,1.40000,16.000,6.04032
42,1.40806,16.000,6.03710
43,1.39677,16.000,6.03548
44,1.41290,16.000,6.04839
44,1.40484,16.000,6.03226
45,1.40161,16.000,6.03710
46,1.40161,16.000,6.03710
46,1.40484,16.000,6.03387
47,1.39839,16.000,6.03710
47,1.40484,16.000,6.03548
48,1.40000,16.000,6.04032
49,1.40806,16.000,6.04032
49,1.41129,16.000,6.03871
50,1.40323,16.000,6.03710
50,1.40645,16.000,6.04516
51,1.39839,16.000,6.04355
52,1.40484,16.000,6.04032
52,1.40161,16.000,6.03710
53,1.41129,16.000,6.03387
53,1.40645,16.000,6.04194
54,1.40645,16.000,6.04355
55,1.40645,16.000,6.04032
55,1.40161,16.000,6.04355
56,1.40000,16.000,6.04032
56,1.40000,16.000,6.04355
57,1.40000,16.000,6.04355
58,1.39677,16.000,6.05000
58,1.40323,16.000,6.04194
59,1.39032,16.000,6.03710
59,1.40323,16.000,6.03871
60,1.40484,16.000,6.04516
61,1.40000,16.000,6.04194
61,1.40645,16.000,6.03548
62,1.40645,16.000,6.04839
62,1.40484,16.000,6.04677
63,1.40323,16.000,6.03387
64,1.39839,16.000,6.04355
64,1.40161,16.000,6.03387
65,1.40000,16.000,6.03871
65,1.40161,16.000,6.03871
66,1.40484,16.000,6.03871
67,1.40161,16.000,6.03871
67,1.40161,16.000,6.04355
68,1.40806,16.000,6.03871
68,1.40000,16.000,6.03871
69,1.40484,16.000,6.04194
70,1.40968,16.000,6.03710
70,1.40000,16.000,6.04355
71,1.40323,16.000,6.04355
71,1.40000,16.000,6.03226
72,1.40000,16.000,6.03871
73,1.40000,16.000,6.03387
73,1.39194,16.000,6.04194
74,1.40968,16.000,6.03226
75,1.40161,16.000,6.03710
75,1.39677,16.000,6.04355
76,1.40161,16.000,6.03548
76,1.40484,16.000,6.04194
77,1.40161,16.000,6.04194
78,1.40323,16.000,6.03871
78,1.36774,16.000,6.03871
79,1.40645,16.000,6.04032
79,1.40161,16.000,6.03226
80,1.40000,16.000,6.03387
81,1.35484,16.000,6.03871
81,1.39194,16.000,6.04355
81,1.40484,16.000,6.03871
81,1.39677,16.000,6.03226
82,1.40484,16.000,6.03710
83,1.40323,16.000,6.04032
83,1.40968,16.000,6.03871
84,1.40645,16.000,6.04194
84,1.40161,16.000,6.03548
85,1.36290,16.000,6.03548
86,1.40000,16.000,6.03226
86,1.40161,16.000,6.04032
87,1.39677,16.000,6.04032
87,1.41129,16.000,6.04677
88,1.40161,16.000,6.04032
89,1.40161,16.000,6.03871
89,1.40484,16.000,6.04516
90,1.40645,16.000,6.04355
91,1.40000,16.000,6.04194
91,1.40000,16.000,6.04194
92,1.40000,16.000,6.04194
92,1.40161,16.000,6.04032
93,1.40484,16.000,6.04032
94,1.40484,16.000,6.03065
