timestamp,tds_v,tempC,ph_v
19,1.92258,16.000,6.03387
20,1.91129,16.000,6.03871
20,1.91452,16.000,6.03871
21,1.91452,16.000,6.03871
21,1.90806,16.000,6.04677
22,1.91774,16.000,6.04355
23,1.91452,16.000,6.04194
23,1.91452,16.000,6.04839
24,1.92097,16.000,6.04032
24,1.92097,16.000,6.05323
25,1.91613,16.000,6.04032
26,1.91774,16.000,6.03871
26,1.91452,16.000,6.03548
27,1.91452,16.000,6.03710
27,1.90484,16.000,6.04355
28,1.90484,16.000,6.04355
29,1.90484,16.000,6.04355
29,1.91613,16.000,6.04677
30,1.91613,16.000,6.04677
30,1.91452,16.000,6.04032
31,1.92097,16.000,6.04355
32,1.92258,16.000,6.03871
32,1.91613,16.000,6.04355
33,1.91613,16.000,6.04355
33,1.91613,16.000,6.05000
34,1.91290,16.000,6.04516
35,1.91290,16.000,6.03710
35,1.89839,16.000,6.03387
36,1.90645,16.000,6.04839
37,1.91129,16.000,6.04839
37,1.91613,16.000,6.03710
38,1.91290,16.000,6.04355
38,1.92419,16.000,6.04516
39,1.91935,16.000,6.04194
40,1.90484,16.000,6.04516
40,1.91935,16.000,6.04032
41,1.91452,16.000,6.04194
41,1.91613,16.000,6.04194
42,1.91613,16.000,6.04032
43,1.90806,16.000,6.04839
43,1.93065,16.000,6.04194
44,1.91290,16.000,6.04032
45,1.91452,16.000,6.03548
45,1.91129,16.000,6.04677
46,1.90806,16.000,6.04516
46,1.91613,16.000,6.03710
47,1.90968,16.000,6.04516
48,1.92097,16.000,6.04677
48,1.91452,16.000,6.04032
49,1.91613,16.000,6.04516
49,1.90806,16.000,6.04355
50,1.91613,16.000,6.04194
51,1.89516,16.000,6.03548
51,1.90968,16.000,6.04032
52,1.90645,16.000,6.04194
52,1.91452,16.000,6.04032
53,1.95161,16.000,6.04032
54,1.91290,16.000,6.04355
54,1.91935,16.000,6.04355
55,1.91129,16.000,6.04355
55,1.90968,16.000,6.04839
56,1.91774,16.000,6.03710
57,1.91452,16.000,6.04355
57,1.91613,16.000,6.04516
58,1.90806,16.000,6.04516
58,1.90968,16.000,6.04032
58,1.90968,16.000,6.04355
59,1.91290,16.000,6.03548
59,1.92742,16.000,6.03871
60,1.92581,16.000,6.03871
60,1.91452,16.000,6.04677
61,1.91452,16.000,6.04194
62,1.90806,16.000,6.03387
62,1.91774,16.000,6.03710
63,1.92097,16.000,6.03871
63,1.91129,16.000,6.03710
64,1.91290,16.000,6.03871
65,1.92581,16.000,6.03871
65,1.91129,16.000,6.04194
66,1.90645,16.000,6.04194
66,1.91452,16.000,6.03710
67,1.91129,16.000,6.03871
68,1.91774,16.000,6.03548
68,1.91452,16.000,6.03710
69,1.91452,16.000,6.04677
69,1.91452,16.000,6.03871
70,1.91290,16.000,6.03871
71,1.91452,16.000,6.04032
71,1.91935,16.000,6.04355
72,1.91452,16.000,6.04032
73,1.91129,16.000,6.04194
73,1.91452,16.000,6.03871
74,1.91452,16.000,6.04032
74,1.91452,16.000,6.04194
75,1.90000,16.000,6.03871
76,1.91613,16.000,6.03548
76,1.90968,16.000,6.04355
77,1.90968,16.000,6.04355
77,1.91452,16.000,6.04032
78,1.90968,16.000,6.04355
79,1.91129,16.000,6.03548
79,1.91129,16.000,6.03871
80,1.90968,16.000,6.04032
80,1.90968,16.000,6.04194
81,1.92097,16.000,6.03548
81,1.91129,16.000,6.03871
82,1.91290,16.000,6.03710
82,1.91452,16.000,6.04355
83,1.91129,16.000,6.03710
