timestamp,tds_v,tempC,ph_v
19,2.03387,16.000,6.03710
20,2.01774,16.000,6.03548
20,2.03387,16.000,6.03871
21,2.02742,16.000,6.03548
22,2.02258,16.000,6.04194
22,2.02419,16.000,6.03548
23,2.02742,16.000,6.03065
24,2.03548,16.000,6.03710
24,2.02903,16.000,6.03871
25,2.03226,16.000,6.03871
25,2.02419,16.000,6.03387
26,2.03548,16.000,6.03548
26,1.99839,16.000,6.03871
26,2.01452,16.000,6.02903
27,2.03226,16.000,6.03387
27,2.03065,16.000,6.03065
28,2.02742,16.000,6.03387
29,2.04355,16.000,6.03548
29,2.00484,16.000,6.03871
30,2.03065,16.000,6.03871
30,2.01613,16.000,6.03710
31,2.02742,16.000,6.03065
32,2.02903,16.000,6.03226
32,2.03548,16.000,6.03548
33,2.02419,16.000,6.03710
33,2.01935,16.000,6.03065
34,2.02419,16.000,6.03548
35,2.02903,16.000,6.02742
35,2.02742,16.000,6.03548
36,2.02419,16.000,6.03871
36,2.02581,16.000,6.02742
37,2.02419,16.000,6.03387
38,2.02581,16.000,6.03226
38,2.03226,16.000,6.03387
39,2.03226,16.000,6.03387
39,2.02742,16.000,6.03710
40,2.02581,16.000,6.02581
41,2.02419,16.000,6.02581
41,2.02903,16.000,6.03548
42,2.03871,16.000,6.03710
42,2.02258,16.000,6.03226
43,2.02903,16.000,6.02742
44,2.02742,16.000,6.03387
44,2.02742,16.000,6.03226
45,2.02742,16.000,6.03226
45,2.02903,16.000,6.03226
46,2.05000,16.000,6.03548
47,2.02419,16.000,6.04194
47,2.02903,16.000,6.03871
48,2.02581,16.000,6.03871
48,2.02903,16.000,6.04032
49,2.01935,16.000,6.03871
50,2.00645,16.000,6.03387
50,2.03871,16.000,6.03387
51,2.02419,16.000,6.04032
52,2.03548,16.000,6.03387
52,2.02903,16.000,6.03871
53,2.02258,16.000,6.03710
53,2.05484,16.000,6.03226
54,2.03871,16.000,6.04355
55,2.03065,16.000,6.04032
55,2.04032,16.000,6.04032
56,2.02097,16.000,6.03871
56,2.03226,16.000,6.04677
57,2.04032,16.000,6.03871
58,2.03710,16.000,6.03387
58,2.02742,16.000,6.04032
59,2.00968,16.000,6.03871
59,2.02581,16.000,6.03387
60,2.03065,16.000,6.04032
61,2.03226,16.000,6.03710
61,2.04516,16.000,6.03548
62,2.02581,16.000,6.02742
62,2.03387,16.000,6.03387
63,2.02419,16.000,6.04194
64,2.02581,16.000,6.03710
64,2.02419,16.000,6.04032
65,2.02903,16.000,6.03387
65,2.03065,16.000,6.04194
66,2.02258,16.000,6.04516
67,2.02581,16.000,6.03226
67,2.02903,16.000,6.03387
67,2.02581,16.000,6.03710
67,2.03548,16.000,6.03871
68,2.02258,16.000,6.03710
69,2.02903,16.000,6.03710
69,2.03710,16.000,6.03871
70,2.01129,16.000,6.04355
70,2.02419,16.000,6.03710
71,2.02903,16.000,6.03871
72,2.02581,16.000,6.03548
72,2.03226,16.000,6.03871
73,2.03065,16.000,6.03226
73,2.02419,16.000,6.04355
74,2.03548,16.000,6.03548
75,2.02903,16.000,6.03710
75,2.03226,16.000,6.03387
76,2.03065,16.000,6.04194
76,2.03065,16.000,6.03548
77,2.03065,16.000,6.03871
78,2.02581,16.000,6.03387
78,2.01452,16.000,6.02742
79,2.03387,16.000,6.04355
80,2.02258,16.000,6.03710
80,2.03065,16.000,6.02903
81,2.03387,16.000,6.03548
81,2.02258,16.000,6.03710
82,2.03710,16.000,6.03548
83,2.02903,16.000,6.02742
83,2.02581,16.000,6.03710
84,2.03226,16.000,6.03226
84,2.02903,16.000,6.03871
85,2.01935,16.000,6.03226
86,2.02419,16.000,6.02742
86,2.03065,16.000,6.03226
87,2.03065,16.000,6.03065
87,2.02903,16.000,6.03548
88,2.02419,16.000,6.03387
89,2.03065,16.000,6.03065
89,2.05484,16.000,6.02419
90,2.02258,16.000,6.03065
90,2.02581,16.000,6.02903
91,2.03387,16.000,6.03548
92,2.03226,16.000,6.03387
92,2.02903,16.000,6.03387
93,2.02581,16.000,6.03548
93,2.04677,16.000,6.03387
94,2.03387,16.000,6.03548
