timestamp,tds_v,tempC,ph_v
19,1.48226,16.000,6.04355
20,1.48710,16.000,6.03871
20,1.49194,16.000,6.04032
21,1.48065,16.000,6.03871
21,1.50645,16.000,6.03871
22,1.48387,16.000,6.04032
23,1.48226,16.000,6.03871
23,1.48226,16.000,6.04032
24,1.48710,16.000,6.04194
24,1.48387,16.000,6.04032
25,1.48387,16.000,6.03710
26,1.48548,16.000,6.03387
26,1.48065,16.000,6.04032
27,1.48387,16.000,6.04355
28,1.48710,16.000,6.04516
28,1.47903,16.000,6.04194
29,1.49194,16.000,6.03226
29,1.48710,16.000,6.03710
30,1.48871,16.000,6.03387
31,1.47581,16.000,6.04194
31,1.48226,16.000,6.02742
32,1.48065,16.000,6.03226
32,1.48226,16.000,6.03710
33,1.48387,16.000,6.03226
34,1.49032,16.000,6.03710
34,1.48710,16.000,6.03710
35,1.47581,16.000,6.03871
35,1.48871,16.000,6.03065
36,1.49032,16.000,6.03710
37,1.47742,16.000,6.04032
37,1.48065,16.000,6.03871
38,1.48065,16.000,6.02903
38,1.48387,16.000,6.03710
39,1.48710,16.000,6.02742
40,1.48387,16.000,6.04355
40,1.48387,16.000,6.03710
41,1.48548,16.000,6.04516
42,1.47903,16.000,6.03710
42,1.48226,16.000,6.03226
43,1.48871,16.000,6.04839
43,1.49032,16.000,6.03871
44,1.48871,16.000,6.03548
45,1.48387,16.000,6.03710
45,1.48387,16.000,6.03387
46,1.48065,16.000,6.04032
46,1.47903,16.000,6.03548
47,1.48387,16.000,6.03710
48,1.47903,16.000,6.04355
48,1.47742,16.000,6.04194
49,1.49032,16.000,6.04194
49,1.49032,16.000,6.03710
50,1.48065,16.000,6.03065
51,1.49032,16.000,6.04032
51,1.48226,16.000,6.04194
52,1.48548,16.000,6.03710
52,1.49194,16.000,6.04032
53,1.48065,16.000,6.03226
53,1.48065,16.000,6.03710
53,1.48710,16.000,6.03871
54,1.48548,16.000,6.04355
54,1.48871,16.000,6.03871
55,1.48226,16.000,6.03548
56,1.49677,16.000,6.03710
56,1.46774,16.000,6.04355
57,1.47742,16.000,6.03226
57,1.47903,16.000,6.03548
58,1.47419,16.000,6.04032
59,1.49194,16.000,6.04032
59,1.47742,16.000,6.03871
60,1.48710,16.000,6.03710
60,1.48226,16.000,6.03710
61,1.48226,16.000,6.04032
62,1.48710,16.000,6.04194
62,1.46774,16.000,6.03548
63,1.48387,16.000,6.04194
63,1.48548,16.000,6.03548
64,1.47258,16.000,6.03065
65,1.48871,16.000,6.03871
65,1.48387,16.000,6.04032
66,1.47419,16.000,6.04194
67,1.47742,16.000,6.04677
67,1.48710,16.000,6.03871
68,1.48065,16.000,6.03871
68,1.48548,16.000,6.03548
69,1.48548,16.000,6.04194
70,1.47258,16.000,6.03871
70,1.50645,16.000,6.03710
71,1.48871,16.000,6.03548
71,1.49355,16.000,6.03710
72,1.49032,16.000,6.04194
73,1.48871,16.000,6.03871
73,1.47742,16.000,6.03387
74,1.48548,16.000,6.03387
74,1.48710,16.000,6.03226
75,1.48710,16.000,6.03226
76,1.48065,16.000,6.03548
76,1.49516,16.000,6.04516
77,1.48387,16.000,6.03710
77,1.49032,16.000,6.03548
78,1.48548,16.000,6.03871
79,1.48710,16.000,6.03871
79,1.48226,16.000,6.04355
80,1.47581,16.000,6.03710
80,1.48387,16.000,6.03710
81,1.48387,16.000,6.03710
82,1.48710,16.000,6.02903
82,1.47903,16.000,6.03710
83,1.48226,16.000,6.03710
83,1.48871,16.000,6.04194
84,1.47903,16.000,6.03710
85,1.48710,16.000,6.03871
85,1.47581,16.000,6.03871
86,1.49032,16.000,6.03387
86,1.47903,16.000,6.03710
87,1.48226,16.000,6.03710
88,1.47742,16.000,6.02903
88,1.48226,16.000,6.03387
89,1.48548,16.000,6.03548
89,1.48387,16.000,6.03871
90,1.48226,16.000,6.04355
91,1.47742,16.000,6.03387
91,1.48871,16.000,6.03548
92,1.49032,16.000,6.03871
92,1.48387,16.000,6.03871
93,1.48548,16.000,6.03871
94,1.48548,16.000,6.03065
