timestamp,tds_v,tempC,ph_v
19,2.04839,16.000,6.04194
20,2.05161,16.000,6.03226
20,2.04194,16.000,6.03065
21,2.04839,16.000,6.03710
21,2.03871,16.000,6.03871
22,2.05000,16.000,6.03548
23,2.05323,16.000,6.04032
23,2.05000,16.000,6.03226
24,2.04677,16.000,6.03710
25,2.03871,16.000,6.04194
25,2.04032,16.000,6.03387
26,2.04516,16.000,6.03871
26,2.04839,16.000,6.03226
27,2.04032,16.000,6.03387
28,2.04677,16.000,6.03871
28,2.04032,16.000,6.03548
29,2.04839,16.000,6.03065
29,2.03710,16.000,6.03548
30,2.04194,16.000,6.03387
31,2.04677,16.000,6.04677
31,2.04032,16.000,6.04032
32,2.04355,16.000,6.03548
32,2.03065,16.000,6.03710
33,2.04355,16.000,6.03065
34,2.03387,16.000,6.04194
34,2.05484,16.000,6.03710
35,2.04516,16.000,6.03871
35,2.03871,16.000,6.03710
36,2.04355,16.000,6.03387
37,2.04355,16.000,6.03710
37,2.04516,16.000,6.03710
38,2.04355,16.000,6.03710
38,2.04516,16.000,6.04194
39,2.05000,16.000,6.03710
40,2.04194,16.000,6.04516
40,2.04677,16.000,6.03548
41,2.04355,16.000,6.04355
42,2.04516,16.000,6.03548
42,2.03387,16.000,6.03871
43,2.04516,16.000,6.03871
43,2.04516,16.000,6.03548
44,2.04677,16.000,6.03387
44,2.04516,16.000,6.03226
45,2.04355,16.000,6.03226
46,2.04677,16.000,6.03548
46,2.04194,16.000,6.03065
47,2.04355,16.000,6.03226
47,2.05000,16.000,6.03548
48,2.04355,16.000,6.03387
48,2.04516,16.000,6.03226
49,2.04677,16.000,6.03548
