timestamp,tds_v,tempC,ph_v
20,2.01452,16.000,6.03387
20,2.00323,16.000,6.03871
21,2.01129,16.000,6.03065
21,2.01452,16.000,6.03387
22,1.98710,16.000,6.03710
23,2.02903,16.000,6.04194
23,2.00968,16.000,6.03710
23,2.01452,16.000,6.03226
23,2.01935,16.000,6.03387
24,2.00806,16.000,6.03710
25,2.01613,16.000,6.03871
25,2.00645,16.000,6.04194
26,2.01290,16.000,6.03065
26,2.03871,16.000,6.04355
27,2.00806,16.000,6.04355
28,2.01774,16.000,6.04032
28,2.01290,16.000,6.03065
29,2.01290,16.000,6.03710
30,2.00161,16.000,6.02581
30,2.01290,16.000,6.04355
31,2.01613,16.000,6.03871
31,2.01613,16.000,6.03548
32,2.01935,16.000,6.03710
33,2.02097,16.000,6.04194
33,2.00806,16.000,6.04032
34,2.00968,16.000,6.03710
34,2.00484,16.000,6.03710
35,2.01774,16.000,6.03387
36,2.01613,16.000,6.03065
36,2.01774,16.000,6.03710
37,2.01613,16.000,6.03226
37,2.00323,16.000,6.02903
38,2.00806,16.000,6.03710
39,2.01452,16.000,6.04032
39,2.00484,16.000,6.04194
40,2.01613,16.000,6.03065
40,2.00968,16.000,6.03548
41,2.02258,16.000,6.03548
42,2.02097,16.000,6.03548
42,2.01290,16.000,6.04032
43,2.01452,16.000,6.03710
43,2.01452,16.000,6.03710
44,2.02097,16.000,6.03710
45,2.01774,16.000,6.03871
45,2.00645,16.000,6.03710
46,2.01774,16.000,6.03710
46,2.01774,16.000,6.03871
47,2.01935,16.000,6.03710
48,2.01935,16.000,6.03871
48,2.00161,16.000,6.04032
49,2.01613,16.000,6.03387
49,2.02097,16.000,6.03548
50,2.00806,16.000,6.03871
51,2.01452,16.000,6.04032
51,2.00806,16.000,6.04032
52,1.99677,16.000,6.04194
52,2.01290,16.000,6.03871
53,2.01452,16.000,6.04516
54,2.01452,16.000,6.03548
54,2.01774,16.000,6.03871
55,2.00323,16.000,6.03548
55,2.01935,16.000,6.03548
56,2.01290,16.000,6.03710
57,2.01290,16.000,6.03065
57,2.02742,16.000,6.04677
58,2.01613,16.000,6.03065
58,2.01290,16.000,6.03710
59,2.01613,16.000,6.03387
60,2.01290,16.000,6.03548
60,2.01935,16.000,6.03387
61,2.01452,16.000,6.04194
61,2.01613,16.000,6.03548
62,2.02258,16.000,6.04032
63,2.02419,16.000,6.03871
63,2.00645,16.000,6.04194
64,2.04032,16.000,6.03548
64,2.02258,16.000,6.03871
64,2.01613,16.000,6.03226
65,2.01613,16.000,6.04194
65,2.01452,16.000,6.04032
66,1.99032,16.000,6.03548
67,2.01935,16.000,6.04032
67,2.01129,16.000,6.04677
68,2.01774,16.000,6.03387
68,2.02097,16.000,6.04194
69,2.01935,16.000,6.03871
70,2.00968,16.000,6.03710
70,2.02097,16.000,6.03710
71,2.01935,16.000,6.03871
71,2.01613,16.000,6.04516
72,2.01935,16.000,6.03065
73,2.01613,16.000,6.04516
73,2.01129,16.000,6.04032
74,2.01129,16.000,6.04032
74,2.02097,16.000,6.03226
75,2.00161,16.000,6.03871
76,2.01774,16.000,6.04194
76,2.01935,16.000,6.03548
77,2.01129,16.000,6.04032
77,2.01613,16.000,6.04032
78,2.02258,16.000,6.03226
79,2.01452,16.000,6.04677
79,2.00968,16.000,6.03065
80,2.02097,16.000,6.04194
80,2.01290,16.000,6.04677
81,2.01935,16.000,6.04032
82,2.01613,16.000,6.04032
82,2.01452,16.000,6.04032
83,2.01452,16.000,6.03710
83,2.01774,16.000,6.04032
84,2.00000,16.000,6.04355
85,2.01935,16.000,6.04355
85,2.01290,16.000,6.04032
86,2.01452,16.000,6.03871
86,2.02097,16.000,6.04677
87,2.01290,16.000,6.03387
88,2.01290,16.000,6.03387
88,2.00968,16.000,6.03710
89,2.01129,16.000,6.04032
89,2.02097,16.000,6.03871
90,2.01613,16.000,6.04194
91,2.01290,16.000,6.03871
91,1.99516,16.000,6.04355
92,2.01290,16.000,6.04194
93,2.01290,16.000,6.03871
93,2.02097,16.000,6.03871
94,2.00806,16.000,6.04516
