timestamp,tds_v,tempC,ph_v
20,1.40806,16.000,6.03548
20,1.40806,16.000,6.03710
21,1.41452,16.000,6.03871
22,1.41129,16.000,6.04194
22,1.41129,16.000,6.03387
23,1.41452,16.000,6.03871
23,1.41452,16.000,6.03710
24,1.41290,16.000,6.04032
24,1.41774,16.000,6.03710
24,1.41290,16.000,6.04516
25,1.41452,16.000,6.03710
26,1.42419,16.000,6.03548
26,1.41452,16.000,6.03871
27,1.41774,16.000,6.03226
27,1.41935,16.000,6.03548
28,1.41613,16.000,6.02903
29,1.41774,16.000,6.03548
29,1.41129,16.000,6.04194
30,1.40645,16.000,6.03548
30,1.40645,16.000,6.04194
31,1.42097,16.000,6.04032
32,1.41613,16.000,6.03710
32,1.41129,16.000,6.04032
33,1.41452,16.000,6.02903
33,1.41129,16.000,6.04032
34,1.41613,16.000,6.03871
35,1.41452,16.000,6.03548
35,1.41452,16.000,6.03871
36,1.40968,16.000,6.04194
36,1.41935,16.000,6.04677
37,1.41774,16.000,6.04355
38,1.41452,16.000,6.03548
38,1.40000,16.000,6.04194
39,1.42097,16.000,6.04677
39,1.41290,16.000,6.03871
40,1.41452,16.000,6.03548
41,1.41129,16.000,6.03871
41,1.43387,16.000,6.03710
42,1.41774,16.000,6.04355
42,1.41290,16.000,6.03871
43,1.41129,16.000,6.03710
44,1.40000,16.000,6.03871
44,1.41290,16.000,6.03871
45,1.41935,16.000,6.03548
46,1.41129,16.000,6.04516
46,1.42742,16.000,6.04839
47,1.41290,16.000,6.04194
47,1.41935,16.000,6.03710
48,1.44032,16.000,6.04194
49,1.41129,16.000,6.03871
49,1.38871,16.000,6.03387
50,1.40968,16.000,6.03871
51,1.41774,16.000,6.03548
51,1.41290,16.000,6.04032
52,1.41613,16.000,6.03871
52,1.40806,16.000,6.04032
53,1.41613,16.000,6.04194
54,1.41613,16.000,6.03548
54,1.40645,16.000,6.03065
55,1.41129,16.000,6.04194
55,1.41613,16.000,6.04032
56,1.41290,16.000,6.03548
57,1.42903,16.000,6.03871
57,1.40645,16.000,6.04355
58,1.41452,16.000,6.04032
58,1.41290,16.000,6.03387
59,1.40323,16.000,6.03710
60,1.41129,16.000,6.04032
60,1.40161,16.000,6.04355
61,1.41290,16.000,6.04032
62,1.40968,16.000,6.04194
62,1.41613,16.000,6.03871
63,1.41935,16.000,6.03548
63,1.40323,16.000,6.03710
64,1.40968,16.000,6.04194
65,1.42258,16.000,6.03548
65,1.41613,16.000,6.03710
66,1.41452,16.000,6.04032
66,1.41774,16.000,6.03871
66,1.40968,16.000,6.03226
67,1.40806,16.000,6.03548
67,1.41613,16.000,6.04032
68,1.40484,16.000,6.04032
68,1.41935,16.000,6.03065
69,1.41290,16.000,6.03710
70,1.41613,16.000,6.03226
70,1.41452,16.000,6.04032
71,1.41452,16.000,6.04032
71,1.39194,16.000,6.03548
72,1.41290,16.000,6.03387
73,1.41452,16.000,6.03387
73,1.41935,16.000,6.03710
74,1.40645,16.000,6.03387
74,1.41290,16.000,6.04194
75,1.41935,16.000,6.04032
76,1.41452,16.000,6.03871
76,1.42097,16.000,6.03871
77,1.41129,16.000,6.04355
77,1.42258,16.000,6.03871
78,1.41290,16.000,6.03548
79,1.40968,16.000,6.04355
79,1.42097,16.000,6.03065
80,1.39355,16.000,6.04516
81,1.41452,16.000,6.04194
81,1.41774,16.000,6.03548
82,1.41774,16.000,6.04677
82,1.40645,16.000,6.04355
83,1.40806,16.000,6.04677
84,1.40968,16.000,6.04194
84,1.41774,16.000,6.04194
85,1.41774,16.000,6.03871
85,1.41774,16.000,6.03226
86,1.41452,16.000,6.03387
87,1.39839,16.000,6.04194
87,1.41613,16.000,6.04355
88,1.41774,16.000,6.04516
88,1.41613,16.000,6.03710
89,1.40484,16.000,6.04355
90,1.42419,16.000,6.03710
90,1.41613,16.000,6.04194
91,1.41129,16.000,6.03226
91,1.40806,16.000,6.03710
92,1.41774,16.000,6.04032
93,1.41452,16.000,6.04839
93,1.41452,16.000,6.03065
94,1.40484,16.000,6.04194
