timestamp,tds_v,tempC,ph_v
20,1.90968,16.000,6.03710
21,1.90484,16.000,6.03065
21,1.90323,16.000,6.04516
22,1.89194,16.000,6.04032
22,1.90806,16.000,6.04516
23,1.89677,16.000,6.03387
24,1.90484,16.000,6.03548
24,1.89839,16.000,6.04194
25,1.89516,16.000,6.03871
25,1.89839,16.000,6.03387
26,1.89839,16.000,6.04355
27,1.90161,16.000,6.03871
27,1.90323,16.000,6.04516
28,1.89355,16.000,6.04355
28,1.90968,16.000,6.04355
29,1.90806,16.000,6.04194
30,1.90484,16.000,6.04839
30,1.90000,16.000,6.04355
31,1.89194,16.000,6.03871
31,1.89516,16.000,6.03710
32,1.89677,16.000,6.03710
33,1.89839,16.000,6.03387
33,1.90484,16.000,6.04839
34,1.90968,16.000,6.04032
34,1.89032,16.000,6.04194
35,1.90161,16.000,6.03871
36,1.90161,16.000,6.03871
36,1.90484,16.000,6.04194
37,1.90323,16.000,6.03226
37,1.90161,16.000,6.04032
37,1.89677,16.000,6.03065
38,1.90323,16.000,6.04355
38,1.90323,16.000,6.03871
39,1.90645,16.000,6.04355
39,1.88065,16.000,6.03710
40,1.90323,16.000,6.03710
41,1.89839,16.000,6.03548
41,1.90323,16.000,6.03871
42,1.90161,16.000,6.04032
42,1.90000,16.000,6.04194
43,1.90000,16.000,6.03710
44,1.89839,16.000,6.03710
44,1.89194,16.000,6.04194
45,1.90484,16.000,6.03871
45,1.90806,16.000,6.04194
46,1.88871,16.000,6.04194
47,1.90645,16.000,6.04355
47,1.89677,16.000,6.04839
48,1.90161,16.000,6.03710
48,1.90161,16.000,6.03871
49,1.90161,16.000,6.03871
50,1.90484,16.000,6.03548
50,1.89839,16.000,6.05000
51,1.90484,16.000,6.03710
51,1.90645,16.000,6.04194
52,1.90484,16.000,6.03226
53,1.89516,16.000,6.04194
53,1.89839,16.000,6.05000
54,1.92097,16.000,6.04194
54,1.89194,16.000,6.03387
55,1.90645,16.000,6.04032
56,1.90161,16.000,6.03387
56,1.89677,16.000,6.04516
57,1.89839,16.000,6.03387
58,1.90645,16.000,6.03710
58,1.90323,16.000,6.03226
59,1.90161,16.000,6.04032
59,1.89355,16.000,6.04839
60,1.89355,16.000,6.03710
61,1.90484,16.000,6.03387
61,1.90161,16.000,6.04516
62,1.89677,16.000,6.03226
62,1.89677,16.000,6.03548
63,1.90323,16.000,6.02742
64,1.90645,16.000,6.03871
64,1.89677,16.000,6.04516
65,1.90323,16.000,6.03871
65,1.88548,16.000,6.04355
66,1.90645,16.000,6.03548
67,1.90323,16.000,6.03710
67,1.90161,16.000,6.03871
68,1.89839,16.000,6.04032
68,1.89677,16.000,6.03548
69,1.90000,16.000,6.04355
70,1.90000,16.000,6.04032
70,1.90323,16.000,6.04355
71,1.90645,16.000,6.03548
71,1.89355,16.000,6.03710
72,1.90484,16.000,6.03871
73,1.90161,16.000,6.03387
73,1.90323,16.000,6.05000
74,1.90000,16.000,6.03871
74,1.90161,16.000,6.04516
75,1.89839,16.000,6.04355
76,1.90000,16.000,6.04194
76,1.92903,16.000,6.05645
77,1.90000,16.000,6.03710
77,1.90000,16.000,6.04355
78,1.90323,16.000,6.04032
79,1.90161,16.000,6.03710
79,1.89677,16.000,6.04355
79,1.90484,16.000,6.03548
79,1.90323,16.000,6.03871
80,1.90484,16.000,6.04355
81,1.89194,16.000,6.04355
81,1.89839,16.000,6.04677
82,1.90323,16.000,6.04516
83,1.90161,16.000,6.03710
83,1.90484,16.000,6.04516
84,1.91290,16.000,6.04194
84,1.90000,16.000,6.04839
85,1.90161,16.000,6.04194
86,1.90000,16.000,6.03871
86,1.89677,16.000,6.03871
87,1.90806,16.000,6.03871
87,1.89839,16.000,6.04355
88,1.89677,16.000,6.03871
89,1.89516,16.000,6.03548
89,1.90161,16.000,6.03871
90,1.90000,16.000,6.04032
90,1.89839,16.000,6.04194
91,1.90968,16.000,6.03871
92,1.90000,16.000,6.04032
92,1.89516,16.000,6.03710
93,1.90323,16.000,6.03387
93,1.89839,16.000,6.04032
94,1.90484,16.000,6.04032
